,Rank,Player,Position,M    ,Mi50,CM,MOL,IM,Season,Round
0,1,Aliir Aliir,KEYD,12,0,1,0,3,2023,Round 14
1,2,Ben McKay,KEYD,11,0,3,0,7,2023,Round 14
2,3,Tim English,RUC,10,1,2,0,4,2023,Round 14
3,3,Harry Himmelberg,KEYD,10,0,2,0,3,2023,Round 14
4,3,Eric Hipwood,KEYF,10,5,3,4,0,2023,Round 14
5,6,Sam Docherty,MID,9,0,0,0,0,2023,Round 14
6,6,Connor Idun,DEF,9,0,2,0,3,2023,Round 14
7,6,Brodie Kemp,KEYD,9,0,2,0,6,2023,Round 14
8,6,Isaac Smith,FWD,9,0,0,0,1,2023,Round 14
9,6,Nick Vlastuin,DEF,9,0,0,0,6,2023,Round 14
10,6,Lachie Whitfield,DEF,9,0,0,0,0,2023,Round 14
11,12,Callum M. Brown,FWD,8,4,1,1,2,2023,Round 14
12,12,Finn Callaghan,MID,8,0,0,0,1,2023,Round 14
13,12,Jordan Clark,DEF,8,0,0,0,1,2023,Round 14
14,12,Brennan Cox,KEYD,8,0,2,0,3,2023,Round 14
15,12,Brayden Fiorini,MID,8,0,0,0,0,2023,Round 14
16,12,Mitch Hannan,FWD,8,3,0,1,0,2023,Round 14
17,12,Nic Newman,DEF,8,0,0,0,0,2023,Round 14
18,12,Mark O'Connor,DEF,8,1,0,0,2,2023,Round 14
19,12,Jake Riccardi,KEYF,8,7,1,1,0,2023,Round 14
20,12,Dylan Williams,DEF,8,0,1,0,2,2023,Round 14
21,22,Noah Anderson,MID,7,0,0,0,0,2023,Round 14
22,22,Lachie Ash,DEF,7,1,0,0,0,2023,Round 14
23,22,Levi Casboult,KEYF,7,2,2,2,1,2023,Round 14
24,22,Matthew Cottrell,FWD,7,1,0,2,0,2023,Round 14
25,22,Jeremy Finlayson,KEYF,7,5,1,0,1,2023,Round 14
26,22,Zach Guthrie,DEF,7,0,1,0,1,2023,Round 14
27,22,Jack Henry,KEYD,7,0,2,0,4,2023,Round 14
28,22,Dan Houston,DEF,7,0,1,0,2,2023,Round 14
29,22,Alex Keath,KEYD,7,0,2,0,3,2023,Round 14
30,22,Jack Lukosius,KEYF,7,1,1,0,2,2023,Round 14
31,22,Todd Marshall,KEYF,7,5,3,1,0,2023,Round 14
32,22,Luke McDonald,DEF,7,0,1,0,2,2023,Round 14
33,22,Lachie Schultz,FWD,7,0,0,1,0,2023,Round 14
34,22,Jamarra Ugle-Hagan,KEYF,7,3,3,1,0,2023,Round 14
35,22,Cody Weightman,FWD,7,6,2,2,0,2023,Round 14
36,37,Blake Acres,MID,6,0,0,0,0,2023,Round 14
37,37,Ben Ainsworth,FWD,6,2,1,0,0,2023,Round 14
38,37,Joel Amartey,KEYF,6,1,3,1,2,2023,Round 14
39,37,Charlie Ballard,KEYD,6,0,1,0,4,2023,Round 14
40,37,Noah Balta,KEYD,6,0,3,0,4,2023,Round 14
41,37,Marcus Bontempelli,MID,6,2,2,0,0,2023,Round 14
42,37,Andrew Brayshaw,MID,6,0,0,1,0,2023,Round 14
43,37,Stephen Coniglio,MID,6,1,0,0,0,2023,Round 14
44,37,Charlie Curnow,KEYF,6,3,1,1,0,2023,Round 14
45,37,Tom De Koning,RUC,6,1,3,1,0,2023,Round 14
46,37,Liam Henry,MID,6,0,1,0,0,2023,Round 14
47,37,Jake Kolodjashnij,KEYD,6,0,0,0,2,2023,Round 14
48,37,Mitch McGovern,DEF,6,0,2,0,6,2023,Round 14
49,37,Trent McKenzie,KEYD,6,0,1,0,3,2023,Round 14
50,37,Nathan O'Driscoll,MID,6,0,0,0,3,2023,Round 14
51,37,Connor Rozee,MID,6,1,0,0,0,2023,Round 14
52,37,Bailey Scott,MID,6,1,0,0,1,2023,Round 14
53,37,Jimmy Webster,DEF,6,0,0,1,0,2023,Round 14
54,37,Jacob Weitering,KEYD,6,0,2,0,4,2023,Round 14
55,56,Mark Blicavs,RUC,5,0,0,2,1,2023,Round 14
56,56,Mitch Duncan,DEF,5,0,0,0,0,2023,Round 14
57,56,Aaron Francis,KEYD,5,1,1,0,1,2023,Round 14
58,56,Toby Greene,FWD,5,2,0,1,0,2023,Round 14
59,56,Errol Gulden,MID,5,0,0,1,1,2023,Round 14
60,56,Luke Jackson,RUC,5,0,0,0,4,2023,Round 14
61,56,Lachlan Keeffe,KEYF,5,1,1,0,1,2023,Round 14
62,56,Ben King,KEYF,5,3,2,0,0,2023,Round 14
63,56,Max King,KEYF,5,3,3,0,0,2023,Round 14
64,56,Nick Larkey,KEYF,5,5,3,1,0,2023,Round 14
65,56,Ryan Lester,KEYD,5,0,2,0,3,2023,Round 14
66,56,Jake Lloyd,DEF,5,0,0,0,1,2023,Round 14
67,56,Darcy Macpherson,DEF,5,0,0,0,0,2023,Round 14
68,56,Cam Rayner,FWD,5,1,1,2,0,2023,Round 14
69,56,Jack Ross,MID,5,1,0,0,1,2023,Round 14
70,56,Luke Ryan,DEF,5,0,1,0,1,2023,Round 14
71,56,Jayden Short,DEF,5,0,0,0,1,2023,Round 14
