,Rank,Player,Position,M    ,Mi50,CM,MOL,IM,Season,Round
0,1,Adam Goodes,FWD,10,3,3,1,0,2015,Semi Finals
1,1,Kurt Tippett,KEYF,10,3,4,5,0,2015,Semi Finals
2,3,Grant Birchall,DEF,9,0,0,0,1,2015,Semi Finals
3,3,Taylor Duryea,DEF,9,0,1,0,4,2015,Semi Finals
4,3,Jordan Lewis,MID,9,2,0,2,1,2015,Semi Finals
5,3,Drew Petrie,KEYF,9,4,4,5,0,2015,Semi Finals
6,3,Matthew Suckling,DEF,9,0,0,1,1,2015,Semi Finals
7,3,Jarrad Waite,KEYF,9,4,3,5,0,2015,Semi Finals
8,9,Josh Gibson,KEYD,8,0,0,0,1,2015,Semi Finals
9,9,Rory Laird,DEF,8,0,1,0,2,2015,Semi Finals
10,9,Brian Lake,KEYD,8,0,2,0,3,2015,Semi Finals
11,9,Dane Rampe,DEF,8,0,0,0,0,2015,Semi Finals
12,9,Ryan Schoenmakers,KEYF,8,2,1,1,1,2015,Semi Finals
13,9,Isaac Smith,MID,8,1,0,1,0,2015,Semi Finals
14,9,Nick Smith,DEF,8,0,1,0,3,2015,Semi Finals
15,16,Luke Breust,FWD,7,4,2,3,0,2015,Semi Finals
16,16,Tom Lynch,FWD,7,1,0,0,0,2015,Semi Finals
17,16,Jamie Macmillan,DEF,7,0,1,0,1,2015,Semi Finals
18,16,Jarrad McVeigh,MID,7,0,0,1,1,2015,Semi Finals
19,16,Sam Mitchell,MID,7,1,0,1,1,2015,Semi Finals
20,16,Liam Shiels,MID,7,2,0,1,0,2015,Semi Finals
21,22,James Frawley,KEYD,6,0,1,0,2,2015,Semi Finals
22,22,Taylor Garner,FWD,6,2,0,2,0,2015,Semi Finals
23,22,Isaac Heeney,FWD,6,0,0,2,0,2015,Semi Finals
24,22,Sam Jacobs,RUC,6,0,1,0,2,2015,Semi Finals
25,22,James Rose,FWD,6,1,0,1,0,2015,Semi Finals
26,22,Ben Stratton,DEF,6,1,0,0,2,2015,Semi Finals
27,22,Scott Thompson,MID,6,0,0,0,0,2015,Semi Finals
28,22,Taylor Walker,KEYF,6,2,0,1,1,2015,Semi Finals
29,30,Shaun Burgoyne,DEF,5,0,0,0,0,2015,Semi Finals
30,30,Patrick Dangerfield,MID,5,0,1,0,0,2015,Semi Finals
31,30,Heath Grundy,KEYD,5,0,1,0,1,2015,Semi Finals
32,30,Lachlan Hansen,KEYD,5,0,1,0,2,2015,Semi Finals
33,30,Josh Jenkins,KEYF,5,4,1,0,0,2015,Semi Finals
34,30,Jake Lloyd,MID,5,0,0,0,0,2015,Semi Finals
35,30,Ben McEvoy,RUC,5,0,1,0,1,2015,Semi Finals
36,30,Cyril Rioli,FWD,5,2,1,1,0,2015,Semi Finals
37,38,Shaun Atley,DEF,4,1,0,0,0,2015,Semi Finals
38,38,Todd Goldstein,RUC,4,1,1,1,2,2015,Semi Finals
39,38,Billy Hartung,MID,4,0,0,0,0,2015,Semi Finals
40,38,Luke Hodge,MID,4,2,1,0,2,2015,Semi Finals
41,38,Luke McDonald,DEF,4,0,0,0,2,2015,Semi Finals
42,38,Gary Rohan,FWD,4,0,2,0,1,2015,Semi Finals
43,38,Jarryd Roughead,KEYF,4,0,0,0,1,2015,Semi Finals
44,38,Daniel Talia,KEYD,4,0,2,0,2,2015,Semi Finals
45,38,Dean Towers,FWD,4,0,0,1,0,2015,Semi Finals
46,38,Nathan Van Berlo,MID,4,0,0,0,3,2015,Semi Finals
