,Rank,Player,Position,M    ,Mi50,CM,MOL,IM,Season,Round
0,1,Tom Langdon,DEF,13,0,1,0,7,2018,Preliminary Finals
1,1,Jack Redden,MID,13,1,0,1,0,2018,Preliminary Finals
2,1,Steele Sidebottom,MID,13,0,0,0,2,2018,Preliminary Finals
3,4,Mason Cox,KEYF,11,4,8,3,0,2018,Preliminary Finals
4,5,Jack Riewoldt,KEYF,9,7,3,4,0,2018,Preliminary Finals
5,6,Jack Crisp,DEF,8,0,0,1,2,2018,Preliminary Finals
6,6,Liam Duggan,DEF,8,0,0,0,1,2018,Preliminary Finals
7,6,Shannon Hurn,DEF,8,0,2,0,4,2018,Preliminary Finals
8,9,Tom Barrass,KEYD,7,0,2,1,5,2018,Preliminary Finals
9,9,Jack Darling,KEYF,7,3,3,2,0,2018,Preliminary Finals
10,9,Josh J. Kennedy,KEYF,7,4,3,2,0,2018,Preliminary Finals
11,9,Dom Sheed,MID,7,0,0,0,0,2018,Preliminary Finals
12,13,Angus Brayshaw,MID,6,1,0,0,0,2018,Preliminary Finals
13,13,Chris Masten,MID,6,0,0,1,0,2018,Preliminary Finals
14,13,Chris Mayne,MID,6,0,0,0,1,2018,Preliminary Finals
15,13,Alex Rance,KEYD,6,0,1,0,4,2018,Preliminary Finals
16,13,Willie Rioli,FWD,6,1,0,0,0,2018,Preliminary Finals
17,13,Nick Vlastuin,DEF,6,1,0,0,3,2018,Preliminary Finals
18,13,Elliot Yeo,MID,6,0,1,1,1,2018,Preliminary Finals
19,20,Jeremy Howe,DEF,5,0,0,0,0,2018,Preliminary Finals
20,20,Brayden Maynard,DEF,5,0,0,0,2,2018,Preliminary Finals
21,20,Tom McDonald,KEYF,5,0,0,1,2,2018,Preliminary Finals
22,20,Jaidyn Stephenson,FWD,5,1,1,0,0,2018,Preliminary Finals
23,20,Travis Varcoe,FWD,5,2,1,1,0,2018,Preliminary Finals
24,25,James Aish,MID,4,0,0,0,1,2018,Preliminary Finals
25,25,Tom Cole,DEF,4,0,0,0,1,2018,Preliminary Finals
26,25,Jordan De Goey,FWD,4,4,2,1,0,2018,Preliminary Finals
27,25,Brodie Grundy,RUC,4,0,1,0,0,2018,Preliminary Finals
28,25,James Harmes,MID,4,1,1,0,1,2018,Preliminary Finals
29,25,Bachar Houli,DEF,4,1,0,0,2,2018,Preliminary Finals
30,25,Lewis Jetta,DEF,4,0,0,0,2,2018,Preliminary Finals
31,25,Oscar McDonald,KEYD,4,0,0,0,2,2018,Preliminary Finals
32,25,Jeremy McGovern,KEYD,4,0,1,0,2,2018,Preliminary Finals
33,25,Jake Melksham,FWD,4,0,0,2,0,2018,Preliminary Finals
34,25,Brody Mihocek,KEYF,4,1,2,0,0,2018,Preliminary Finals
35,25,Alex Neal-Bullen,FWD,4,1,1,0,0,2018,Preliminary Finals
36,25,Clayton Oliver,MID,4,0,0,0,0,2018,Preliminary Finals
37,25,Dion Prestia,MID,4,0,0,0,1,2018,Preliminary Finals
38,25,Liam Ryan,FWD,4,2,1,0,0,2018,Preliminary Finals
39,25,Will Schofield,KEYD,4,0,0,0,0,2018,Preliminary Finals
40,25,Charlie Spargo,FWD,4,1,0,0,0,2018,Preliminary Finals
41,42,David Astbury,KEYD,3,0,1,0,0,2018,Preliminary Finals
42,42,Jamie Cripps,FWD,3,0,0,0,0,2018,Preliminary Finals
43,42,Sam Frost,KEYD,3,0,0,0,3,2018,Preliminary Finals
44,42,Max Gawn,RUC,3,1,1,0,1,2018,Preliminary Finals
45,42,Tyson Goldsack,KEYD,3,0,1,0,2,2018,Preliminary Finals
46,42,Levi Greenwood,DEF,3,0,1,0,2,2018,Preliminary Finals
47,42,Mitch Hannan,FWD,3,1,0,1,0,2018,Preliminary Finals
48,42,Will Hoskin-Elliott,FWD,3,0,0,1,0,2018,Preliminary Finals
49,42,Kane Lambert,FWD,3,0,0,0,0,2018,Preliminary Finals
50,42,Mark LeCras,FWD,3,2,0,0,0,2018,Preliminary Finals
51,42,Jordan Lewis,DEF,3,0,0,0,1,2018,Preliminary Finals
52,42,Dustin Martin,MID,3,0,0,0,0,2018,Preliminary Finals
53,42,Toby Nankervis,RUC,3,0,1,0,2,2018,Preliminary Finals
54,42,Christian Salem,DEF,3,0,0,0,1,2018,Preliminary Finals
55,42,Luke Shuey,MID,3,0,0,0,0,2018,Preliminary Finals
56,42,Brayden Sier,MID,3,0,0,0,0,2018,Preliminary Finals
57,42,Josh Thomas,FWD,3,1,0,1,0,2018,Preliminary Finals
58,42,Sam Weideman,KEYF,3,2,2,0,0,2018,Preliminary Finals
59,42,Aaron vandenBerg,FWD,3,0,1,0,0,2018,Preliminary Finals
60,61,Taylor Adams,MID,2,0,0,0,0,2018,Preliminary Finals
61,61,Nathan Broad,DEF,2,0,0,0,0,2018,Preliminary Finals
62,61,Jason Castagna,FWD,2,0,0,1,0,2018,Preliminary Finals
63,61,Reece Conca,MID,2,0,0,0,0,2018,Preliminary Finals
64,61,Jack Higgins,FWD,2,1,1,0,0,2018,Preliminary Finals
65,61,Mark Hutchings,MID,2,0,0,0,0,2018,Preliminary Finals
66,61,Nathan Jones,MID,2,0,0,0,0,2018,Preliminary Finals
67,61,Daniel Rioli,FWD,2,0,1,0,0,2018,Preliminary Finals
68,61,Jayden Short,DEF,2,0,0,0,0,2018,Preliminary Finals
