,Rank,Player,Position,M    ,Mi50,CM,MOL,IM,Season,Round
0,1,Harris Andrews,KEYD,9,0,2,0,4,2023,Grand Final
1,1,Jeremy Howe,KEYD,9,0,0,0,2,2023,Grand Final
2,3,Keidean Coleman,DEF,8,0,0,0,2,2023,Grand Final
3,3,Joe Daniher,KEYF,8,3,3,2,1,2023,Grand Final
4,3,Bobby Hill,FWD,8,6,1,2,0,2023,Grand Final
5,6,Jack Crisp,MID,7,1,2,0,3,2023,Grand Final
6,6,Jamie Elliott,FWD,7,2,1,3,1,2023,Grand Final
7,6,Brandon Starcevich,DEF,7,0,1,0,2,2023,Grand Final
8,9,Josh Dunkley,MID,6,0,0,0,0,2023,Grand Final
9,9,Ryan Lester,KEYD,6,0,0,0,1,2023,Grand Final
10,9,Brody Mihocek,KEYF,6,0,0,2,0,2023,Grand Final
11,9,Lachie Neale,MID,6,0,0,0,0,2023,Grand Final
12,9,Dayne Zorko,FWD,6,0,0,0,0,2023,Grand Final
13,14,Jordan De Goey,MID,5,0,0,1,0,2023,Grand Final
14,14,Will Hoskin-Elliott,FWD,5,0,0,0,1,2023,Grand Final
15,14,Scott Pendlebury,MID,5,1,0,0,0,2023,Grand Final
16,14,Isaac Quaynor,DEF,5,0,0,0,1,2023,Grand Final
17,14,Steele Sidebottom,MID,5,0,0,1,0,2023,Grand Final
18,19,Jarrod Berry,MID,4,0,0,0,0,2023,Grand Final
19,19,Mason Cox,RUC,4,1,3,0,2,2023,Grand Final
20,19,Nick Daicos,MID,4,0,0,0,0,2023,Grand Final
21,19,Jack Ginnivan,FWD,4,1,0,2,0,2023,Grand Final
22,19,Eric Hipwood,KEYF,4,0,0,0,0,2023,Grand Final
23,19,Oleg Markov,DEF,4,0,0,0,1,2023,Grand Final
24,19,Hugh McCluggage,MID,4,0,1,1,0,2023,Grand Final
25,19,Tom Mitchell,MID,4,0,0,0,1,2023,Grand Final
26,27,Darcy Gardiner,KEYD,3,0,0,0,0,2023,Grand Final
27,27,Brayden Maynard,DEF,3,0,0,0,1,2023,Grand Final
28,27,Lincoln McCarthy,FWD,3,1,1,2,0,2023,Grand Final
29,27,Deven Robertson,FWD,3,1,0,0,0,2023,Grand Final
30,27,Darcy Wilmot,DEF,3,0,0,0,0,2023,Grand Final
31,32,Darcy Cameron,RUC,2,0,2,0,1,2023,Grand Final
32,32,Josh Daicos,MID,2,0,0,0,0,2023,Grand Final
33,32,Jaspa Fletcher,MID,2,0,0,0,0,2023,Grand Final
34,32,Patrick Lipinski,FWD,2,0,0,0,0,2023,Grand Final
35,32,Conor McKenna,DEF,2,0,0,0,0,2023,Grand Final
36,32,Darcy Moore,KEYD,2,0,0,0,0,2023,Grand Final
37,32,Cam Rayner,FWD,2,0,0,0,1,2023,Grand Final
38,39,Callum Ah Chee,FWD,1,0,0,0,0,2023,Grand Final
39,39,Zac Bailey,FWD,1,0,0,0,1,2023,Grand Final
40,39,Charlie Cameron,FWD,1,0,0,0,0,2023,Grand Final
41,39,Beau McCreery,FWD,1,0,0,0,0,2023,Grand Final
42,39,Nathan Murphy,KEYD,1,0,0,0,1,2023,Grand Final
43,44,Billy Frampton,KEYD,0,0,0,0,0,2023,Grand Final
44,44,Jarryd Lyons,MID,0,0,0,0,0,2023,Grand Final
45,44,Oscar McInerney,RUC,0,0,0,0,0,2023,Grand Final
