,Rank,Player,Position,M    ,Mi50,CM,MOL,IM,Season,Round
0,1,Darcy Gardiner,KEYD,11,0,2,0,3,2022,Preliminary Finals
1,2,Mitch Duncan,DEF,10,0,0,2,0,2022,Preliminary Finals
2,2,Zach Tuohy,DEF,10,0,0,0,1,2022,Preliminary Finals
3,4,Patrick Dangerfield,MID,9,3,2,2,1,2022,Preliminary Finals
4,4,Jack Henry,KEYD,9,0,0,0,4,2022,Preliminary Finals
5,4,Jake Kolodjashnij,KEYD,9,0,4,0,4,2022,Preliminary Finals
6,7,Zac Bailey,FWD,7,1,0,1,0,2022,Preliminary Finals
7,7,Nick Blakey,DEF,7,0,0,0,4,2022,Preliminary Finals
8,7,Lance Franklin,KEYF,7,3,3,1,0,2022,Preliminary Finals
9,7,Isaac Heeney,FWD,7,3,2,0,0,2022,Preliminary Finals
10,7,Darcy Moore,KEYD,7,0,2,1,4,2022,Preliminary Finals
11,7,Steele Sidebottom,MID,7,0,1,0,1,2022,Preliminary Finals
12,13,Joe Daniher,KEYF,6,2,0,1,0,2022,Preliminary Finals
13,13,Errol Gulden,FWD,6,1,1,0,0,2022,Preliminary Finals
14,13,Eric Hipwood,KEYF,6,2,0,2,0,2022,Preliminary Finals
15,13,Callum Mills,MID,6,0,0,0,1,2022,Preliminary Finals
16,13,Isaac Quaynor,DEF,6,0,0,0,3,2022,Preliminary Finals
17,13,Isaac Smith,FWD,6,1,1,0,0,2022,Preliminary Finals
18,13,Dylan Stephens,MID,6,0,0,0,0,2022,Preliminary Finals
19,20,Harris Andrews,KEYD,5,0,0,0,0,2022,Preliminary Finals
20,20,Jarrod Berry,MID,5,1,0,0,2,2022,Preliminary Finals
21,20,Nick Daicos,DEF,5,0,0,1,0,2022,Preliminary Finals
22,20,Cameron Guthrie,MID,5,0,0,0,0,2022,Preliminary Finals
23,20,Tom Hawkins,KEYF,5,5,1,3,0,2022,Preliminary Finals
24,20,Tom Hickey,RUC,5,0,2,1,1,2022,Preliminary Finals
25,20,Brayden Maynard,DEF,5,0,1,0,3,2022,Preliminary Finals
26,20,Lincoln McCarthy,FWD,5,1,1,0,0,2022,Preliminary Finals
27,20,Tom Papley,FWD,5,2,2,0,1,2022,Preliminary Finals
28,20,Daniel Rich,DEF,5,0,1,0,2,2022,Preliminary Finals
29,20,Tom Stewart,DEF,5,0,1,0,2,2022,Preliminary Finals
30,31,Callum Ah Chee,MID,4,1,0,1,1,2022,Preliminary Finals
31,31,Jed Bews,DEF,4,0,0,0,0,2022,Preliminary Finals
32,31,Keidean Coleman,DEF,4,0,0,0,2,2022,Preliminary Finals
33,31,Sam De Koning,KEYD,4,0,1,0,3,2022,Preliminary Finals
