,Rank,Player,Position,M    ,Mi50,CM,MOL,IM,Season,Round
0,1,Mark Baguley,DEF,14,0,1,1,3,2017,Round 9
1,1,Nick Smith,DEF,14,0,1,0,2,2017,Round 9
2,3,Michael Hartley,KEYD,13,0,3,0,3,2017,Round 9
3,3,Jeremy Howe,DEF,13,0,2,1,6,2017,Round 9
4,5,Shaun Grigg,MID,12,3,1,2,1,2017,Round 9
5,5,Dan Hannebery,MID,12,3,1,1,2,2017,Round 9
6,7,Sam Docherty,DEF,11,0,1,0,4,2017,Round 9
7,7,Josh Smith,DEF,11,1,0,0,2,2017,Round 9
8,9,David Astbury,KEYD,10,0,4,0,4,2017,Round 9
9,9,Brendon Goddard,MID,10,0,0,0,1,2017,Round 9
10,9,James Kelly,DEF,10,0,0,0,2,2017,Round 9
11,9,Jake Lloyd,DEF,10,0,0,0,1,2017,Round 9
12,9,Taylor Walker,KEYF,10,4,1,5,0,2017,Round 9
13,14,Rory Atkins,MID,9,0,1,2,1,2017,Round 9
14,14,Ryan Burton,DEF,9,0,1,0,4,2017,Round 9
15,14,Ricky Henderson,MID,9,0,0,1,1,2017,Round 9
16,14,Michael Hurley,KEYD,9,0,1,0,3,2017,Round 9
17,14,Callum Mills,DEF,9,0,0,0,2,2017,Round 9
18,14,Jayden Short,DEF,9,0,0,0,0,2017,Round 9
19,14,Jobe Watson,MID,9,1,0,2,0,2017,Round 9
20,21,Taylor Adams,MID,8,0,1,1,1,2017,Round 9
21,21,Cale Hooker,KEYF,8,4,3,3,1,2017,Round 9
22,21,Tom Lynch,FWD,8,2,1,2,2,2017,Round 9
23,21,Zach Merrett,MID,8,0,0,0,1,2017,Round 9
24,21,Tom Mitchell,MID,8,1,1,0,1,2017,Round 9
25,21,David Myers,MID,8,0,0,0,0,2017,Round 9
26,21,Darcy Parish,FWD,8,1,0,0,0,2017,Round 9
27,21,Jack Riewoldt,KEYF,8,4,2,3,0,2017,Round 9
28,21,Alex Silvagni,KEYD,8,0,2,0,4,2017,Round 9
29,21,Scott D. Thompson,KEYD,8,0,1,0,6,2017,Round 9
30,21,Jacob Weitering,KEYD,8,1,0,1,2,2017,Round 9
31,21,Maverick Weller,FWD,8,1,0,1,0,2017,Round 9
32,21,Tom Williamson,DEF,8,0,0,0,1,2017,Round 9
33,21,David Zaharakis,MID,8,1,0,1,0,2017,Round 9
34,35,Dayne Beams,MID,7,0,0,0,0,2017,Round 9
35,35,Jack Billings,FWD,7,0,0,0,0,2017,Round 9
36,35,Connor Blakely,MID,7,0,0,0,0,2017,Round 9
37,35,Luke Brown,DEF,7,0,0,0,1,2017,Round 9
38,35,Charles Cameron,FWD,7,5,1,0,0,2017,Round 9
39,35,Travis Colyer,MID,7,0,0,1,0,2017,Round 9
40,35,Jack Crisp,DEF,7,1,0,2,0,2017,Round 9
41,35,Jack Darling,KEYF,7,5,2,3,1,2017,Round 9
