,Rank,Player,Position,M    ,Mi50,CM,MOL,IM,Season,Round
0,1,Grant Birchall,DEF,11,0,1,0,2,2013,Grand Final
1,2,Brian Lake,KEYD,10,0,3,0,6,2013,Grand Final
2,3,Josh Gibson,KEYD,9,0,1,0,1,2013,Grand Final
3,4,Michael Johnson,KEYD,8,0,1,0,3,2013,Grand Final
4,4,Jordan Lewis,MID,8,0,0,1,1,2013,Grand Final
5,6,David Hale,RUC,7,0,3,0,1,2013,Grand Final
6,6,Luke McPharlin,KEYD,7,0,2,0,2,2013,Grand Final
7,8,Lance Franklin,KEYF,6,1,0,2,1,2013,Grand Final
8,8,Jack Gunston,FWD,6,2,2,2,0,2013,Grand Final
9,8,Matthew Pavlich,KEYF,6,3,1,4,0,2013,Grand Final
10,8,Isaac Smith,MID,6,1,0,1,0,2013,Grand Final
11,12,Brent Guerra,DEF,5,0,0,0,1,2013,Grand Final
12,12,Chris Mayne,FWD,5,2,0,1,0,2013,Grand Final
13,14,Luke Breust,FWD,4,1,0,2,0,2013,Grand Final
14,14,Bradley Hill,MID,4,2,0,1,0,2013,Grand Final
15,14,Tendai Mzungu,MID,4,2,1,0,0,2013,Grand Final
16,14,Jarryd Roughead,KEYF,4,2,1,0,1,2013,Grand Final
17,14,Brad Sewell,MID,4,0,0,0,0,2013,Grand Final
18,14,Liam Shiels,MID,4,0,1,0,0,2013,Grand Final
19,14,Lee Spurr,DEF,4,0,0,0,0,2013,Grand Final
20,14,Ben Stratton,KEYD,4,0,0,0,0,2013,Grand Final
21,14,Michael Walters,FWD,4,2,1,1,0,2013,Grand Final
22,23,Hayden Ballantyne,FWD,3,2,0,0,0,2013,Grand Final
23,23,Michael Barlow,MID,3,1,0,0,0,2013,Grand Final
24,23,Zac Dawson,KEYD,3,0,0,0,2,2013,Grand Final
25,23,Nat Fyfe,MID,3,3,2,1,0,2013,Grand Final
26,23,Luke Hodge,DEF,3,0,0,0,2,2013,Grand Final
27,23,David Mundy,MID,3,0,0,0,0,2013,Grand Final
28,23,Danyle Pearce,MID,3,0,0,0,1,2013,Grand Final
29,23,Cyril Rioli,FWD,3,2,1,0,0,2013,Grand Final
30,23,Nicholas Suban,MID,3,1,0,1,1,2013,Grand Final
31,23,Matt de Boer,FWD,3,0,0,0,0,2013,Grand Final
32,33,Ryan Crowley,MID,2,1,0,0,0,2013,Grand Final
33,33,Paul Duffield,DEF,2,0,0,0,1,2013,Grand Final
34,33,Lachie Neale,MID,2,0,0,0,1,2013,Grand Final
35,33,Jonathan Simpkin,MID,2,0,0,0,0,2013,Grand Final
36,37,Max Bailey,RUC,1,0,0,0,0,2013,Grand Final
37,37,Shaun Burgoyne,MID,1,0,0,0,0,2013,Grand Final
38,37,Zac Clarke,RUC,1,0,0,0,0,2013,Grand Final
39,37,Paul Puopolo,FWD,1,0,0,0,0,2013,Grand Final
40,37,Aaron Sandilands,RUC,1,0,1,0,1,2013,Grand Final
41,42,Stephen Hill,MID,0,0,0,0,0,2013,Grand Final
42,42,Sam Mitchell,MID,0,0,0,0,0,2013,Grand Final
43,42,Cam Sutcliffe,DEF,0,0,0,0,0,2013,Grand Final
