,Rank,Player,Position,M    ,Mi50,CM,MOL,IM,Season,Round
0,1,Steele Sidebottom,MID,15,0,0,1,0,2019,Finals Week 1
1,2,Jeremy Howe,KEYD,13,0,0,0,6,2019,Finals Week 1
2,3,Dyson Heppell,MID,11,0,0,1,2,2019,Finals Week 1
3,3,Brad Sheppard,DEF,11,0,0,0,2,2019,Finals Week 1
4,5,Patrick Ambrose,KEYD,10,0,2,0,6,2019,Finals Week 1
5,5,Jaidyn Stephenson,FWD,10,2,0,5,0,2019,Finals Week 1
6,5,Tom Stewart,DEF,10,0,2,0,6,2019,Finals Week 1
7,5,Jake Waterman,KEYF,10,3,1,2,1,2019,Finals Week 1
8,9,Aaron Francis,KEYD,9,0,2,0,3,2019,Finals Week 1
9,9,Andrew Gaff,MID,9,0,0,0,0,2019,Finals Week 1
10,9,Luke Hodge,DEF,9,0,2,0,2,2019,Finals Week 1
11,9,Darcy Moore,KEYD,9,0,6,0,7,2019,Finals Week 1
12,9,Tom Phillips,MID,9,0,0,1,1,2019,Finals Week 1
13,9,Jack Redden,MID,9,0,1,0,1,2019,Finals Week 1
14,9,Heath Shaw,DEF,9,0,1,0,2,2019,Finals Week 1
15,16,Tom Barrass,KEYD,8,0,1,0,5,2019,Finals Week 1
16,16,Jarrod Berry,MID,8,1,1,1,1,2019,Finals Week 1
17,16,Jeremy Cameron,KEYF,8,2,0,1,2,2019,Finals Week 1
18,16,Jack Henry,DEF,8,0,3,0,3,2019,Finals Week 1
19,16,Chris Masten,MID,8,0,0,0,0,2019,Finals Week 1
20,16,Scott Pendlebury,MID,8,0,1,0,0,2019,Finals Week 1
21,22,David Astbury,KEYD,7,0,0,0,1,2019,Finals Week 1
22,22,Allen Christensen,FWD,7,2,1,0,0,2019,Finals Week 1
23,22,Jack Crisp,DEF,7,0,0,0,1,2019,Finals Week 1
24,22,Patrick Dangerfield,MID,7,0,3,0,3,2019,Finals Week 1
25,22,Jamie Elliott,FWD,7,2,2,2,0,2019,Finals Week 1
26,22,Will Hoskin-Elliott,FWD,7,0,1,2,0,2019,Finals Week 1
27,22,Darcy Parish,FWD,7,0,0,0,0,2019,Finals Week 1
28,22,Willie Rioli,FWD,7,0,0,0,1,2019,Finals Week 1
29,22,Mitch Robinson,MID,7,0,0,0,1,2019,Finals Week 1
30,22,Tim Taranto,MID,7,0,0,0,1,2019,Finals Week 1
31,22,Lachie Whitfield,FWD,7,1,0,0,0,2019,Finals Week 1
32,33,Shane Edwards,DEF,6,1,1,0,3,2019,Finals Week 1
33,33,Darcy Gardiner,DEF,6,0,1,0,2,2019,Finals Week 1
34,33,Dylan Grimes,KEYD,6,0,4,0,6,2019,Finals Week 1
35,33,Michael Hurley,KEYD,6,0,0,0,1,2019,Finals Week 1
36,33,Shannon Hurn,DEF,6,0,0,0,4,2019,Finals Week 1
37,33,Josh J. Kennedy,KEYF,6,5,2,1,1,2019,Finals Week 1
38,33,Patrick Lipinski,FWD,6,0,0,1,0,2019,Finals Week 1
39,33,Tom J. Lynch,KEYF,6,2,3,0,2,2019,Finals Week 1
40,33,Chris Mayne,MID,6,0,0,0,1,2019,Finals Week 1
41,33,Lincoln McCarthy,FWD,6,1,2,1,0,2019,Finals Week 1
42,33,Sam Menegola,MID,6,0,1,0,2,2019,Finals Week 1
43,33,Easton Wood,DEF,6,0,4,0,3,2019,Finals Week 1
44,33,Elliot Yeo,MID,6,0,3,0,2,2019,Finals Week 1
45,46,Hayden Crozier,DEF,5,0,0,0,3,2019,Finals Week 1
46,46,Mitch Duncan,MID,5,0,0,0,0,2019,Finals Week 1
47,46,Toby Greene,FWD,5,3,0,2,1,2019,Finals Week 1
48,46,Brayden Ham,FWD,5,0,1,1,0,2019,Finals Week 1
49,46,Lewis Jetta,DEF,5,0,0,0,0,2019,Finals Week 1
50,46,Jayden Laverde,FWD,5,1,1,2,0,2019,Finals Week 1
51,46,Jack Macrae,MID,5,0,1,0,0,2019,Finals Week 1
52,46,Stefan Martin,RUC,5,0,1,0,2,2019,Finals Week 1
53,46,Hugh McCluggage,MID,5,1,0,1,0,2019,Finals Week 1
54,46,Jeremy McGovern,KEYD,5,0,2,0,2,2019,Finals Week 1
55,46,Daniel McStay,KEYF,5,2,2,3,0,2019,Finals Week 1
56,46,Brody Mihocek,KEYF,5,1,1,2,0,2019,Finals Week 1
57,46,Lachie Neale,MID,5,1,1,0,0,2019,Finals Week 1
58,46,Jackson Nelson,DEF,5,0,0,0,0,2019,Finals Week 1
59,46,Mark O'Connor,DEF,5,0,0,0,1,2019,Finals Week 1
60,46,Cam Rayner,FWD,5,2,1,0,0,2019,Finals Week 1
61,46,Mason Redman,DEF,5,0,0,1,1,2019,Finals Week 1
62,46,Will Schofield,KEYD,5,0,0,0,1,2019,Finals Week 1
63,46,Adam Treloar,MID,5,0,0,0,0,2019,Finals Week 1
64,46,Alex Witherden,DEF,5,0,1,0,1,2019,Finals Week 1
65,66,Noah Answerth,DEF,4,0,0,0,0,2019,Finals Week 1
66,66,Jason Castagna,FWD,4,1,1,0,1,2019,Finals Week 1
67,66,Jamie Cripps,FWD,4,1,1,0,1,2019,Finals Week 1
68,66,Jack Darling,KEYF,4,3,1,2,0,2019,Finals Week 1
69,66,Phil Davis,KEYD,4,0,3,0,4,2019,Finals Week 1
70,66,Brett Deledio,FWD,4,0,1,1,0,2019,Finals Week 1
71,66,Brandon Ellis,MID,4,0,0,0,1,2019,Finals Week 1
72,66,Brodie Grundy,RUC,4,0,1,1,0,2019,Finals Week 1
73,66,Tom Hawkins,KEYF,4,1,2,1,0,2019,Finals Week 1
74,66,Eric Hipwood,KEYF,4,1,1,0,0,2019,Finals Week 1
75,66,Mark Hutchings,MID,4,0,0,1,0,2019,Finals Week 1
76,66,Jake Kolodjashnij,DEF,4,0,2,1,2,2019,Finals Week 1
77,66,Kyle Langford,FWD,4,0,1,0,0,2019,Finals Week 1
78,66,Andrew McGrath,MID,4,0,0,0,0,2019,Finals Week 1
79,66,Harry Perryman,MID,4,0,0,0,0,2019,Finals Week 1
80,66,Liam Ryan,FWD,4,0,1,0,1,2019,Finals Week 1
81,66,Dom Sheed,MID,4,0,1,0,1,2019,Finals Week 1
82,66,Dylan Shiel,MID,4,0,0,0,0,2019,Finals Week 1
83,66,Luke Shuey,MID,4,0,0,0,0,2019,Finals Week 1
84,66,Bailey Smith,FWD,4,0,0,0,0,2019,Finals Week 1
85,66,Will Snelling,FWD,4,1,0,0,0,2019,Finals Week 1
86,66,Matthew Suckling,DEF,4,0,0,0,1,2019,Finals Week 1
87,66,Sam Taylor,KEYD,4,0,1,0,2,2019,Finals Week 1
88,66,Rupert Wills,MID,4,0,0,0,0,2019,Finals Week 1
89,90,Taylor Adams,MID,3,1,0,0,0,2019,Finals Week 1
90,90,Tom Bellchambers,RUC,3,0,1,0,1,2019,Finals Week 1
91,90,Mitch Brown,KEYF,3,0,0,0,0,2019,Finals Week 1
92,90,Zaine Cordy,KEYD,3,0,0,0,1,2019,Finals Week 1
93,90,Aidan Corr,KEYD,3,0,0,0,2,2019,Finals Week 1
94,90,Brent Daniels,FWD,3,1,0,1,0,2019,Finals Week 1
95,90,Tim English,RUC,3,0,1,0,2,2019,Finals Week 1
96,90,Orazio Fantasia,FWD,3,0,0,0,0,2019,Finals Week 1
97,90,Jeremy Finlayson,KEYF,3,1,0,0,0,2019,Finals Week 1
98,90,Jacob Hopper,MID,3,0,0,0,0,2019,Finals Week 1
99,90,Bachar Houli,DEF,3,0,0,0,1,2019,Finals Week 1
100,90,Adam Kennedy,DEF,3,0,0,0,0,2019,Finals Week 1
101,90,Daniel Lloyd,FWD,3,1,1,1,0,2019,Finals Week 1
