,Rank,Player,Position,T    ,Ti50,PA,DHPA,S,CDOOO,CDL,CDL%,Season,Round
0,1,David Armitage,MID,17,4,32,13,0,1,1,100,2016,Round 10
1,2,Kieren Jack,MID,13,2,27,14,0,0,0,0,2016,Round 10
2,3,Josh P. Kennedy,MID,12,3,31,14,1,0,0,0,2016,Round 10
3,3,Matthew Kreuzer,RUC,12,3,24,10,1,0,0,0,2016,Round 10
4,3,Andrew Swallow,MID,12,0,38,24,1,1,0,0,2016,Round 10
5,6,Levi Greenwood,FWD,11,1,21,5,2,0,0,0,2016,Round 10
6,7,James Kelly,DEF,10,1,18,11,0,0,0,0,2016,Round 10
7,7,Jack Macrae,FWD,10,1,19,7,1,0,0,0,2016,Round 10
8,7,Tom Mitchell,MID,10,4,22,9,0,0,0,0,2016,Round 10
9,7,Tom Nicholls,RUC,10,1,18,8,2,1,0,0,2016,Round 10
10,11,Ed Curnow,MID,9,3,23,14,1,0,0,0,2016,Round 10
11,11,Sam Gray,MID,9,1,19,5,0,0,0,0,2016,Round 10
12,11,Toby Greene,FWD,9,2,16,5,2,0,0,0,2016,Round 10
13,11,Zach Merrett,MID,9,0,24,7,0,0,0,0,2016,Round 10
14,11,Liam Shiels,MID,9,0,30,12,0,0,0,0,2016,Round 10
15,11,Jack Steven,MID,9,2,24,7,0,0,0,0,2016,Round 10
16,11,Dayne Zorko,MID,9,2,30,20,1,0,0,0,2016,Round 10
17,18,Gary Ablett,MID,8,0,14,9,0,0,0,0,2016,Round 10
18,18,Richard Douglas,FWD,8,0,30,14,0,0,0,0,2016,Round 10
19,18,Brad Ebert,MID,8,0,22,11,1,0,0,0,2016,Round 10
20,18,Brayden Maynard,DEF,8,0,20,16,2,1,0,0,2016,Round 10
21,18,Matthew Pavlich,KEYF,8,4,12,2,2,0,0,0,2016,Round 10
22,18,Dion Prestia,MID,8,0,18,10,0,0,0,0,2016,Round 10
23,18,Cyril Rioli,FWD,8,1,16,3,1,0,0,0,2016,Round 10
24,18,Rory Sloane,MID,8,0,34,12,1,1,0,0,2016,Round 10
25,26,Jimmy Bartel,MID,7,1,9,3,0,1,1,100,2016,Round 10
26,26,Craig Bird,MID,7,1,25,14,0,0,0,0,2016,Round 10
27,26,Shaun Burgoyne,DEF,7,0,17,8,1,1,0,0,2016,Round 10
28,26,Patrick Cripps,MID,7,4,30,15,1,1,0,0,2016,Round 10
29,26,Jack Crisp,MID,7,0,24,15,1,0,0,0,2016,Round 10
30,26,Nick Dal Santo,MID,7,0,28,17,0,0,0,0,2016,Round 10
31,26,Bryce Gibbs,MID,7,1,18,9,2,1,0,0,2016,Round 10
32,26,Josh Gibson,KEYD,7,0,16,10,5,2,0,0,2016,Round 10
33,26,Jade Gresham,FWD,7,3,17,8,0,0,0,0,2016,Round 10
34,26,Sam Kerridge,MID,7,3,22,6,1,0,0,0,2016,Round 10
35,26,Leigh Montagna,DEF,7,0,17,10,0,0,0,0,2016,Round 10
36,26,Shane Mumford,RUC,7,0,25,8,5,1,0,0,2016,Round 10
37,26,Robin Nahas,FWD,7,3,24,5,0,0,0,0,2016,Round 10
38,26,Callum Sinclair,RUC,7,1,22,5,0,0,0,0,2016,Round 10
39,26,Daniel Wells,MID,7,1,21,14,0,1,0,0,2016,Round 10
40,41,Michael Barlow,MID,6,2,14,6,0,0,0,0,2016,Round 10
41,41,Jarryd Blair,FWD,6,2,23,7,1,0,0,0,2016,Round 10
42,41,Jamie Cripps,FWD,6,1,19,2,1,1,0,0,2016,Round 10
43,41,Luke Dahlhaus,FWD,6,0,21,12,1,0,0,0,2016,Round 10
44,41,Patrick Dangerfield,MID,6,0,12,9,2,1,0,0,2016,Round 10
45,41,Ryan Davis,FWD,6,2,17,4,0,0,0,0,2016,Round 10
46,41,Mitch Duncan,MID,6,1,25,14,0,0,0,0,2016,Round 10
47,41,Luke Dunstan,MID,6,0,17,8,2,1,0,0,2016,Round 10
48,41,Lance Franklin,KEYF,6,2,9,2,0,0,0,0,2016,Round 10
49,41,Sam Gilbert,KEYD,6,0,20,6,0,0,0,0,2016,Round 10
50,41,Todd Goldstein,RUC,6,0,13,9,3,2,0,0,2016,Round 10
51,41,Brodie Grundy,RUC,6,1,18,6,2,0,0,0,2016,Round 10
52,41,Josh Kelly,MID,6,1,23,9,2,1,0,0,2016,Round 10
53,41,Will Langford,MID,6,1,15,6,0,0,0,0,2016,Round 10
54,41,Tom Liberatore,MID,6,2,15,6,1,0,0,0,2016,Round 10
55,41,Scott Lycett,RUC,6,3,9,3,0,1,0,0,2016,Round 10
56,41,Daniel Merrett,KEYD,6,0,17,11,4,3,1,33.3,2016,Round 10
57,41,Dale Morris,KEYD,6,0,13,12,1,1,0,0,2016,Round 10
58,41,Jack Newnes,MID,6,1,16,9,0,0,0,0,2016,Round 10
59,41,Scott Pendlebury,MID,6,1,17,8,1,0,0,0,2016,Round 10
60,41,Matthew Priddis,MID,6,1,19,6,0,0,0,0,2016,Round 10
61,41,Daniel Rich,MID,6,1,21,12,1,0,0,0,2016,Round 10
62,41,Nick Riewoldt,KEYF,6,3,17,8,2,1,1,100,2016,Round 10
