,Rank,Player,Position,T    ,Ti50,PA,DHPA,S,CDOOO,CDL,CDL%,Season,Round
0,1,Jack Ziebell,MID,19,3,38,17,1,0,0,0,2016,Round 3
1,2,Josh P. Kennedy,MID,13,2,32,13,1,0,0,0,2016,Round 3
2,3,Andrew Swallow,MID,11,0,31,15,1,0,0,0,2016,Round 3
3,4,Shaun Burgoyne,DEF,10,0,20,13,4,2,0,0,2016,Round 3
4,4,Nat Fyfe,MID,10,2,27,16,0,0,0,0,2016,Round 3
5,4,James Harmes,DEF,10,3,22,7,0,0,0,0,2016,Round 3
6,4,Shane Mumford,RUC,10,1,16,9,1,1,1,100,2016,Round 3
7,8,Ollie Wines,MID,9,2,25,5,0,0,0,0,2016,Round 3
8,9,Gary Ablett,MID,8,0,17,7,2,0,0,0,2016,Round 3
9,9,Jimmy Bartel,MID,8,2,17,7,1,1,0,0,2016,Round 3
10,9,Patrick Cripps,MID,8,0,27,7,0,0,0,0,2016,Round 3
11,9,Brendon Goddard,MID,8,1,18,9,1,0,0,0,2016,Round 3
12,9,Will Langford,MID,8,0,20,9,0,0,0,0,2016,Round 3
13,9,Mark LeCras,FWD,8,0,13,5,1,0,0,0,2016,Round 3
14,9,Anthony McDonald-Tipungwuti,DEF,8,0,18,15,2,0,0,0,2016,Round 3
15,9,Zach Merrett,MID,8,2,26,11,0,0,0,0,2016,Round 3
16,9,Sam Mitchell,MID,8,0,22,14,0,0,0,0,2016,Round 3
17,9,Matthew Priddis,MID,8,0,17,11,0,0,0,0,2016,Round 3
18,9,Adam Treloar,MID,8,0,15,9,0,0,0,0,2016,Round 3
19,9,Elliot Yeo,FWD,8,1,13,4,2,1,1,100,2016,Round 3
20,21,Michael Barlow,MID,7,0,16,10,1,0,0,0,2016,Round 3
21,21,Luke Dunstan,MID,7,2,25,9,0,0,0,0,2016,Round 3
22,21,Orazio Fantasia,FWD,7,1,26,14,1,0,0,0,2016,Round 3
23,21,Ryan Griffen,MID,7,0,16,7,0,1,0,0,2016,Round 3
24,21,Kyle Langford,FWD,7,0,18,12,1,0,0,0,2016,Round 3
25,21,Tom Mitchell,MID,7,0,19,7,1,1,1,100,2016,Round 3
26,21,Joel Selwood,MID,7,0,15,4,0,0,0,0,2016,Round 3
27,21,Scott Thompson,MID,7,3,19,7,1,0,0,0,2016,Round 3
28,21,Callan Ward,MID,7,0,19,11,0,0,0,0,2016,Round 3
29,21,Daniel Wells,MID,7,1,26,9,0,0,0,0,2016,Round 3
30,21,David Zaharakis,MID,7,0,20,11,0,0,0,0,2016,Round 3
31,21,Matt de Boer,FWD,7,0,20,12,0,0,0,0,2016,Round 3
32,33,Taylor Adams,MID,6,0,28,15,0,0,0,0,2016,Round 3
33,33,Ryan Bastinac,MID,6,0,21,14,0,1,1,100,2016,Round 3
34,33,Mark Blicavs,MID,6,2,20,7,0,0,0,0,2016,Round 3
35,33,Trent Cotchin,MID,6,1,19,13,1,0,0,0,2016,Round 3
36,33,Caleb Daniel,FWD,6,2,16,6,2,0,0,0,2016,Round 3
37,33,Brad Ebert,MID,6,1,29,10,0,0,0,0,2016,Round 3
38,33,Taylor Garner,FWD,6,2,11,4,0,1,1,100,2016,Round 3
39,33,Stephen Hill,MID,6,2,21,8,1,0,0,0,2016,Round 3
40,33,Kieren Jack,MID,6,0,28,11,1,0,0,0,2016,Round 3
41,33,Neville Jetta,DEF,6,0,12,6,1,2,0,0,2016,Round 3
42,33,Darcy Lang,FWD,6,3,19,5,2,0,0,0,2016,Round 3
43,33,Luke Parker,MID,6,1,16,6,0,0,0,0,2016,Round 3
44,33,Liam Picken,MID,6,2,12,5,0,0,0,0,2016,Round 3
45,33,Jared Polec,MID,6,1,15,6,1,1,0,0,2016,Round 3
46,33,Cyril Rioli,FWD,6,2,16,10,0,0,0,0,2016,Round 3
47,33,Tom Scully,MID,6,0,21,8,0,0,0,0,2016,Round 3
48,33,Dylan Shiel,MID,6,1,18,11,1,0,0,0,2016,Round 3
49,33,Luke Shuey,MID,6,0,18,5,1,2,1,50,2016,Round 3
50,33,Jack Steven,MID,6,0,26,11,0,0,0,0,2016,Round 3
51,33,Koby Stevens,FWD,6,0,11,6,0,0,0,0,2016,Round 3
52,33,Dayne Zorko,MID,6,0,27,20,1,2,2,100,2016,Round 3
53,54,David Armitage,MID,5,0,24,7,0,0,0,0,2016,Round 3
54,54,Hayden Ballantyne,FWD,5,3,19,9,0,0,0,0,2016,Round 3
55,54,Jack Billings,FWD,5,0,10,0,0,1,1,100,2016,Round 3
56,54,Mitch Brown,KEYF,5,0,12,4,0,0,0,0,2016,Round 3
57,54,Tomas Bugg,MID,5,0,19,6,0,0,0,0,2016,Round 3
58,54,Josh Caddy,FWD,5,1,14,7,0,0,0,0,2016,Round 3
59,54,Clay Cameron,KEYD,5,0,15,8,4,2,1,50,2016,Round 3
60,54,Luke Dahlhaus,FWD,5,0,13,3,1,1,1,100,2016,Round 3
61,54,Sam Day,KEYF,5,1,16,5,5,1,0,0,2016,Round 3
62,54,Sam Docherty,DEF,5,1,17,14,5,4,2,50,2016,Round 3
63,54,Mitch Duncan,MID,5,2,14,5,1,0,0,0,2016,Round 3
64,54,Bryce Gibbs,MID,5,0,18,8,1,0,0,0,2016,Round 3
65,54,Todd Goldstein,RUC,5,1,20,7,2,3,3,100,2016,Round 3
66,54,Sam Gray,MID,5,1,20,4,1,0,0,0,2016,Round 3
67,54,Pearce Hanley,MID,5,1,21,12,1,0,0,0,2016,Round 3
68,54,Jarrod Harbrow,DEF,5,0,15,12,2,0,0,0,2016,Round 3
69,54,Brent Harvey,FWD,5,1,19,8,0,0,0,0,2016,Round 3
70,54,Tom Hickey,RUC,5,2,23,8,3,0,0,0,2016,Round 3
71,54,Bachar Houli,DEF,5,0,11,8,2,3,0,0,2016,Round 3
72,54,Tom Jonas,DEF,5,0,8,5,11,0,0,0,2016,Round 3
73,54,Nathan Jones,MID,5,1,15,7,0,0,0,0,2016,Round 3
74,54,Shane Kersten,KEYF,5,3,8,0,0,0,0,0,2016,Round 3
75,54,Tom Liberatore,MID,5,2,20,3,0,0,0,0,2016,Round 3
76,54,Brayden Maynard,DEF,5,0,16,12,0,1,0,0,2016,Round 3
77,54,Luke McDonald,DEF,5,1,13,11,3,0,0,0,2016,Round 3
78,54,Ben McEvoy,RUC,5,0,15,7,2,1,0,0,2016,Round 3
79,54,Mitch McGovern,KEYF,5,2,12,6,2,0,0,0,2016,Round 3
80,54,Alex Pearce,KEYD,5,0,19,7,5,0,0,0,2016,Round 3
81,54,Paul Puopolo,FWD,5,1,23,5,0,0,0,0,2016,Round 3
