,Rank,Player,Position,T    ,Ti50,PA,DHPA,S,CDOOO,CDL,CDL%,Season,Round
0,1,Shaun Grigg,MID,12,1,19,9,1,0,0,0,2015,Round 4
1,1,Aaron vandenBerg,FWD,12,3,21,10,0,0,0,0,2015,Round 4
2,3,Patrick Cripps,MID,11,2,18,10,1,0,0,0,2015,Round 4
3,3,Jamie Cripps,FWD,11,6,22,7,1,0,0,0,2015,Round 4
4,3,Jack Steven,MID,11,3,21,10,0,0,0,0,2015,Round 4
5,6,Ed Curnow,MID,10,1,23,9,0,0,0,0,2015,Round 4
6,6,Mitch Robinson,FWD,10,2,23,13,1,0,0,0,2015,Round 4
7,8,Luke Dunstan,MID,9,1,25,14,0,0,0,0,2015,Round 4
8,8,Colin Garland,DEF,9,0,19,18,3,0,0,0,2015,Round 4
9,8,Hamish Hartlett,MID,9,1,33,18,0,0,0,0,2015,Round 4
10,8,Jarrad McVeigh,MID,9,0,18,4,0,0,0,0,2015,Round 4
11,8,Adam Schneider,FWD,9,0,23,9,0,0,0,0,2015,Round 4
12,13,Dyson Heppell,MID,8,1,19,8,2,1,0,0,2015,Round 4
13,13,George Horlin-Smith,MID,8,0,17,6,0,0,0,0,2015,Round 4
14,13,Matthew Lobbe,RUC,8,1,16,10,4,1,0,0,2015,Round 4
15,13,Matthew Priddis,MID,8,1,18,5,0,0,0,0,2015,Round 4
16,13,Isaac Smith,MID,8,2,30,9,1,1,0,0,2015,Round 4
17,13,David Swallow,MID,8,2,28,12,0,1,0,0,2015,Round 4
18,13,Jack Ziebell,MID,8,0,14,9,0,0,0,0,2015,Round 4
19,20,Dennis Armfield,FWD,7,1,18,4,0,0,0,0,2015,Round 4
20,20,David Armitage,MID,7,0,33,20,0,0,0,0,2015,Round 4
21,20,Mark Blicavs,RUC,7,0,15,5,1,1,1,100,2015,Round 4
22,20,Marcus Bontempelli,MID,7,0,20,12,2,2,0,0,2015,Round 4
23,20,Shaun Burgoyne,DEF,7,1,16,7,0,1,1,100,2015,Round 4
24,20,Andrew Carrazzo,MID,7,1,11,6,0,0,0,0,2015,Round 4
25,20,Patrick Dangerfield,MID,7,2,18,7,0,0,0,0,2015,Round 4
26,20,Richard Douglas,MID,7,1,22,11,0,0,0,0,2015,Round 4
