,Rank,Player,Position,T    ,Ti50,PA,DHPA,S,CDOOO,CDL,CDL%,Season,Round
0,1,Jack Steele,MID,14,0,30,12,0,0,0,0,2021,Round 20
1,2,Andrew Brayshaw,MID,12,1,30,14,3,0,0,0,2021,Round 20
2,3,Hugh McCluggage,MID,11,2,28,9,0,0,0,0,2021,Round 20
3,3,Jaeger O'Meara,MID,11,0,26,11,1,1,0,0,2021,Round 20
4,5,Willem Drew,MID,10,3,26,9,0,0,0,0,2021,Round 20
5,5,Matthew Kennedy,MID,10,0,24,13,1,0,0,0,2021,Round 20
6,5,Rory Laird,MID,10,2,21,9,0,0,0,0,2021,Round 20
7,5,Touk Miller,MID,10,1,29,21,0,0,0,0,2021,Round 20
8,5,Shane Mumford,RUC,10,3,21,13,0,0,0,0,2021,Round 20
9,10,Conor Nash,FWD,9,1,21,7,0,0,0,0,2021,Round 20
10,10,Alex Neal-Bullen,FWD,9,6,20,3,1,0,0,0,2021,Round 20
11,10,Jack Silvagni,FWD,9,2,23,13,2,2,0,0,2021,Round 20
12,13,Ed Curnow,MID,8,0,16,7,0,0,0,0,2021,Round 20
13,13,James Harmes,MID,8,2,29,14,1,1,0,0,2021,Round 20
14,13,Zak Jones,MID,8,2,22,9,0,0,0,0,2021,Round 20
15,13,Tom Liberatore,MID,8,1,21,4,0,0,0,0,2021,Round 20
16,17,Jed Anderson,MID,7,0,30,16,0,0,0,0,2021,Round 20
17,17,Marcus Bontempelli,MID,7,1,20,5,0,0,0,0,2021,Round 20
18,17,Darcy MacPherson,FWD,7,1,32,19,0,0,0,0,2021,Round 20
19,17,Ned Reeves,RUC,7,0,12,2,7,3,1,33.3,2021,Round 20
20,17,Bailey Smith,MID,7,0,25,11,0,0,0,0,2021,Round 20
21,17,James Worpel,MID,7,0,23,12,0,0,0,0,2021,Round 20
22,23,Travis Boak,MID,6,2,17,3,0,0,0,0,2021,Round 20
23,23,Adam Cerra,MID,6,0,21,13,0,0,0,0,2021,Round 20
24,23,Patrick Cripps,MID,6,1,19,10,1,0,0,0,2021,Round 20
25,23,Brayden Fiorini,MID,6,0,23,13,0,0,0,0,2021,Round 20
26,23,Sam Flanders,FWD,6,0,25,11,0,0,0,0,2021,Round 20
27,23,Denver Grainger-Barras,KEYD,6,0,13,10,4,0,0,0,2021,Round 20
28,23,Brodie Grundy,RUC,6,0,12,8,2,1,0,0,2021,Round 20
29,23,Callum Mills,MID,6,0,19,16,0,0,0,0,2021,Round 20
30,23,Reilly O'Brien,RUC,6,0,12,5,2,1,1,100,2021,Round 20
31,23,Matt Rowell,MID,6,1,23,16,0,1,1,100,2021,Round 20
32,23,Tom Williamson,DEF,6,1,17,12,1,0,0,0,2021,Round 20
33,23,Chad Wingard,FWD,6,1,23,4,0,0,0,0,2021,Round 20
34,35,Karl Amon,MID,5,1,19,7,0,0,0,0,2021,Round 20
35,35,Shai Bolton,MID,5,3,19,5,0,0,0,0,2021,Round 20
