,Rank,Player,Position,T    ,Ti50,PA,DHPA,S,CDOOO,CDL,CDL%,Season,Round
0,1,Jack Graham,MID,9,1,21,11,0,0,0,0,2020,Finals Week 1
1,1,Cameron Guthrie,MID,9,5,21,11,1,1,0,0,2020,Finals Week 1
2,1,Tom Rockliff,MID,9,2,33,13,1,0,0,0,2020,Finals Week 1
3,4,Taylor Adams,MID,8,0,20,10,0,0,0,0,2020,Finals Week 1
4,4,Jack Crisp,DEF,8,0,22,18,0,0,0,0,2020,Finals Week 1
5,4,Levi Greenwood,MID,8,1,13,3,0,0,0,0,2020,Finals Week 1
6,4,Tim Kelly,MID,8,1,22,5,0,0,0,0,2020,Finals Week 1
7,8,Hamish Hartlett,DEF,7,0,17,13,2,1,1,100,2020,Finals Week 1
8,8,Oscar McInerney,RUC,7,0,15,6,1,0,0,0,2020,Finals Week 1
9,8,Luke Shuey,MID,7,1,20,10,0,0,0,0,2020,Finals Week 1
10,11,Callum Ah Chee,DEF,6,0,16,11,0,1,0,0,2020,Finals Week 1
11,11,Marcus Bontempelli,MID,6,0,18,8,1,0,0,0,2020,Finals Week 1
12,11,Mitch Duncan,MID,6,2,28,11,0,0,0,0,2020,Finals Week 1
13,11,Sam Powell-Pepper,FWD,6,2,17,4,0,0,0,0,2020,Finals Week 1
14,11,Sebastian Ross,MID,6,0,13,8,0,0,0,0,2020,Finals Week 1
15,11,Jack Steele,MID,6,0,18,11,0,0,0,0,2020,Finals Week 1
16,17,Mark Blicavs,KEYD,5,0,19,12,1,0,0,0,2020,Finals Week 1
17,17,Travis Boak,MID,5,0,16,6,1,1,0,0,2020,Finals Week 1
18,17,Jamie Cripps,FWD,5,0,19,7,0,0,0,0,2020,Finals Week 1
19,17,Hayden Crozier,DEF,5,1,10,4,2,0,0,0,2020,Finals Week 1
20,17,Hugh McCluggage,MID,5,2,15,8,0,0,0,0,2020,Finals Week 1
21,17,Ollie Wines,MID,5,0,18,10,0,0,0,0,2020,Finals Week 1
22,17,Dayne Zorko,MID,5,1,25,9,0,0,0,0,2020,Finals Week 1
23,24,Brendon Ah Chee,FWD,4,2,15,4,0,0,0,0,2020,Finals Week 1
24,24,Karl Amon,MID,4,0,19,11,0,0,0,0,2020,Finals Week 1
25,24,David Astbury,KEYD,4,0,7,6,4,3,1,33.3,2020,Finals Week 1
26,24,Josh Bruce,KEYF,4,1,14,1,2,0,0,0,2020,Finals Week 1
27,24,Zak Butters,FWD,4,2,13,4,1,1,1,100,2020,Finals Week 1
28,24,Charlie Cameron,FWD,4,0,15,3,0,0,0,0,2020,Finals Week 1
29,24,Josh Dunkley,FWD,4,3,20,4,1,0,0,0,2020,Finals Week 1
30,24,Tom Hawkins,KEYF,4,2,9,2,0,0,0,0,2020,Finals Week 1
31,24,Lincoln McCarthy,FWD,4,0,13,4,1,0,0,0,2020,Finals Week 1
32,24,Marlion Pickett,MID,4,2,15,4,1,1,0,0,2020,Finals Week 1
33,24,Dion Prestia,MID,4,1,14,7,0,0,0,0,2020,Finals Week 1
34,24,Connor Rozee,FWD,4,2,16,4,0,0,0,0,2020,Finals Week 1
35,36,Jake Aarts,FWD,3,1,15,4,0,0,0,0,2020,Finals Week 1
36,36,Gary Ablett,FWD,3,1,14,3,0,0,0,0,2020,Finals Week 1
37,36,Jarrod Berry,MID,3,1,18,8,0,0,0,0,2020,Finals Week 1
38,36,Jack Billings,MID,3,1,11,4,0,0,0,0,2020,Finals Week 1
39,36,Ryan Burton,DEF,3,0,10,7,3,0,0,0,2020,Finals Week 1
40,36,Caleb Daniel,DEF,3,0,9,6,2,2,2,100,2020,Finals Week 1
41,36,Charlie Dixon,KEYF,3,2,11,1,2,0,0,0,2020,Finals Week 1
42,36,Brad Ebert,FWD,3,0,14,6,0,0,0,0,2020,Finals Week 1
43,36,Jamie Elliott,FWD,3,2,15,3,0,0,0,0,2020,Finals Week 1
44,36,Tim English,RUC,3,0,15,8,1,0,0,0,2020,Finals Week 1
45,36,Darcy Gardiner,KEYD,3,0,8,6,4,5,2,40,2020,Finals Week 1
46,36,Robbie Gray,FWD,3,0,11,8,0,0,0,0,2020,Finals Week 1
47,36,Dylan Grimes,KEYD,3,0,6,4,2,3,2,66.7,2020,Finals Week 1
48,36,Brodie Grundy,RUC,3,0,8,5,2,0,0,0,2020,Finals Week 1
49,36,Jack Henry,DEF,3,0,15,11,5,1,0,0,2020,Finals Week 1
50,36,Bachar Houli,DEF,3,0,13,8,1,1,0,0,2020,Finals Week 1
51,36,Ben Long,DEF,3,0,14,13,1,1,0,0,2020,Finals Week 1
52,36,Jack Macrae,MID,3,0,11,6,1,0,0,0,2020,Finals Week 1
53,36,Stefan Martin,RUC,3,0,7,3,3,1,0,0,2020,Finals Week 1
54,36,Kamdyn McIntosh,MID,3,0,9,5,1,0,0,0,2020,Finals Week 1
55,36,Sam Menegola,MID,3,1,8,4,1,0,0,0,2020,Finals Week 1
56,36,Steven Motlop,FWD,3,1,13,3,0,0,0,0,2020,Finals Week 1
57,36,Nic Naitanui,RUC,3,0,11,3,0,0,0,0,2020,Finals Week 1
58,36,Lachie Neale,MID,3,0,23,8,1,0,0,0,2020,Finals Week 1
59,36,Brandan Parfitt,MID,3,0,24,13,1,0,0,0,2020,Finals Week 1
60,36,Daniel Rich,DEF,3,0,11,10,1,1,0,0,2020,Finals Week 1
61,36,Ed Richards,FWD,3,0,12,3,0,0,0,0,2020,Finals Week 1
62,36,Jack Riewoldt,KEYF,3,3,14,4,1,0,0,0,2020,Finals Week 1
63,36,Daniel Rioli,FWD,3,0,11,4,0,0,0,0,2020,Finals Week 1
64,36,Gary Rohan,FWD,3,1,11,1,0,0,0,0,2020,Finals Week 1
65,36,Joel Selwood,MID,3,0,22,10,0,0,0,0,2020,Finals Week 1
66,36,Jayden Short,DEF,3,0,11,6,1,2,0,0,2020,Finals Week 1
67,36,Roarke Smith,FWD,3,1,8,4,1,0,0,0,2020,Finals Week 1
68,69,Tom Atkins,FWD,2,0,19,9,0,0,0,0,2020,Finals Week 1
69,69,Liam Baker,DEF,2,1,8,4,0,0,0,0,2020,Finals Week 1
70,69,Dan Butler,FWD,2,0,17,5,0,0,0,0,2020,Finals Week 1
71,69,Jason Castagna,FWD,2,1,6,1,0,0,0,0,2020,Finals Week 1
72,69,Keidean Coleman,FWD,2,0,7,1,0,0,0,0,2020,Finals Week 1
73,69,Josh Daicos,MID,2,0,14,9,0,0,0,0,2020,Finals Week 1
74,69,Patrick Dangerfield,MID,2,1,12,3,1,0,0,0,2020,Finals Week 1
75,69,Jack Darling,KEYF,2,0,9,3,2,0,0,0,2020,Finals Week 1
76,69,Andrew Gaff,MID,2,1,11,4,1,0,0,0,2020,Finals Week 1
77,69,Will Hoskin-Elliott,FWD,2,2,5,0,0,0,0,0,2020,Finals Week 1
78,69,Tom Jonas,KEYD,2,0,6,5,8,2,0,0,2020,Finals Week 1
79,69,Zak Jones,MID,2,0,21,13,1,0,0,0,2020,Finals Week 1
80,69,Josh J. Kennedy,KEYF,2,2,3,0,0,0,0,0,2020,Finals Week 1
81,69,Ryan Lester,DEF,2,0,8,4,4,5,1,20,2020,Finals Week 1
82,69,Tom Liberatore,MID,2,0,18,7,0,0,0,0,2020,Finals Week 1
83,69,Scott Lycett,RUC,2,0,9,4,1,1,0,0,2020,Finals Week 1
84,69,Jack Madgen,KEYD,2,0,9,8,2,1,1,100,2020,Finals Week 1
85,69,Todd Marshall,KEYF,2,1,5,2,0,0,0,0,2020,Finals Week 1
86,69,Dustin Martin,FWD,2,1,9,2,0,0,0,0,2020,Finals Week 1
87,69,Chris Mayne,MID,2,0,9,4,0,0,0,0,2020,Finals Week 1
88,69,Jackson Nelson,DEF,2,0,9,6,1,1,0,0,2020,Finals Week 1
89,69,John Noble,DEF,2,0,6,1,1,0,0,0,2020,Finals Week 1
90,69,Scott Pendlebury,MID,2,0,16,6,0,0,0,0,2020,Finals Week 1
91,69,Cam Rayner,FWD,2,0,16,5,0,0,0,0,2020,Finals Week 1
92,69,Jack Redden,MID,2,0,16,11,0,0,0,0,2020,Finals Week 1
93,69,Mitch Robinson,MID,2,0,12,6,0,1,0,0,2020,Finals Week 1
94,69,Paddy Ryder,RUC,2,0,11,7,2,1,0,0,2020,Finals Week 1
95,69,Brandon Starcevich,DEF,2,0,10,5,1,4,1,25,2020,Finals Week 1
96,69,Easton Wood,DEF,2,0,4,3,2,0,0,0,2020,Finals Week 1
97,98,Oscar Allen,KEYF,1,1,7,2,2,1,1,100,2020,Finals Week 1
98,98,Zac Bailey,FWD,1,1,12,5,0,0,0,0,2020,Finals Week 1
99,98,Shai Bolton,MID,1,1,7,2,0,0,0,0,2020,Finals Week 1
100,98,Darcy Byrne-Jones,DEF,1,0,8,6,1,1,1,100,2020,Finals Week 1
101,98,Darcy Cameron,KEYF,1,1,4,2,1,0,0,0,2020,Finals Week 1
102,98,Hunter Clark,DEF,1,0,15,12,2,3,1,33.3,2020,Finals Week 1
103,98,Nick Coffield,DEF,1,0,8,7,1,0,0,0,2020,Finals Week 1
104,98,Zaine Cordy,KEYD,1,0,5,2,2,0,0,0,2020,Finals Week 1
105,98,Trent Cotchin,MID,1,0,14,6,2,0,0,0,2020,Finals Week 1
106,98,Mason Cox,KEYF,1,0,6,1,0,0,0,0,2020,Finals Week 1
107,98,Jordan De Goey,FWD,1,0,5,1,0,0,0,0,2020,Finals Week 1
108,98,Xavier Duursma,MID,1,0,11,7,1,0,0,0,2020,Finals Week 1
