,Rank,Player,Position,T    ,Ti50,PA,DHPA,S,CDOOO,CDL,CDL%,Season,Round
0,1,Rory Laird,MID,12,1,22,8,1,0,0,0,2023,Round 6
1,1,Matt Rowell,MID,12,0,30,18,0,0,0,0,2023,Round 6
2,3,Andrew Brayshaw,MID,11,1,32,22,0,0,0,0,2023,Round 6
3,4,Marcus Bontempelli,MID,10,6,25,8,1,0,0,0,2023,Round 6
4,4,Willem Drew,MID,10,2,20,10,1,0,0,0,2023,Round 6
5,4,Jai Newcombe,MID,10,3,28,13,0,0,0,0,2023,Round 6
6,4,James Rowbottom,MID,10,1,29,15,2,1,1,100,2023,Round 6
7,4,Tim Taranto,MID,10,0,32,13,0,1,1,100,2023,Round 6
8,9,Max Michalanney,DEF,9,0,17,14,2,1,0,0,2023,Round 6
9,10,Jye Caldwell,FWD,8,0,24,12,1,0,0,0,2023,Round 6
10,10,Stephen Coniglio,MID,8,2,24,9,1,0,0,0,2023,Round 6
11,10,Reuben Ginbey,MID,8,0,15,4,0,2,2,100,2023,Round 6
12,10,Isaac Heeney,FWD,8,4,24,9,3,0,0,0,2023,Round 6
13,10,Tom Liberatore,MID,8,2,38,16,0,0,0,0,2023,Round 6
14,10,Callum Mills,MID,8,2,17,9,2,2,1,50,2023,Round 6
15,10,Tom Mitchell,MID,8,0,23,9,0,0,0,0,2023,Round 6
16,17,Darcy Byrne-Jones,FWD,7,3,27,5,1,0,0,0,2023,Round 6
17,17,Patrick Cripps,MID,7,0,30,19,0,0,0,0,2023,Round 6
18,17,Tim English,RUC,7,0,18,11,4,1,0,0,2023,Round 6
19,17,Max Holmes,MID,7,0,15,7,0,0,0,0,2023,Round 6
20,17,Ned Long,FWD,7,2,21,9,1,0,0,0,2023,Round 6
21,17,Jack Macrae,FWD,7,4,30,14,0,0,0,0,2023,Round 6
22,17,Conor Nash,MID,7,1,23,8,1,0,0,0,2023,Round 6
23,17,Jaeger O'Meara,MID,7,0,29,18,1,0,0,0,2023,Round 6
24,17,Mitch Owens,KEYF,7,3,23,6,0,0,0,0,2023,Round 6
25,17,Josh Rachele,FWD,7,2,18,10,1,0,0,0,2023,Round 6
26,17,Connor Rozee,MID,7,0,23,10,0,0,0,0,2023,Round 6
27,17,Rory Sloane,MID,7,1,21,10,0,0,0,0,2023,Round 6
