,Rank,Player,Position,T    ,Ti50,PA,DHPA,S,CDOOO,CDL,CDL%,Season,Round
0,1,Chris Mayne,FWD,13,6,39,5,1,0,0,0,2013,Preliminary Finals
1,2,Jordan Lewis,MID,9,1,21,9,0,1,0,0,2013,Preliminary Finals
2,3,Hayden Ballantyne,FWD,8,4,23,3,1,0,0,0,2013,Preliminary Finals
3,3,Michael Barlow,MID,8,3,35,16,0,0,0,0,2013,Preliminary Finals
4,3,Josh P. Kennedy,MID,8,0,31,25,0,0,0,0,2013,Preliminary Finals
5,6,Jude Bolton,FWD,7,1,19,6,0,0,0,0,2013,Preliminary Finals
6,6,Joel Corey,MID,7,1,22,14,0,0,0,0,2013,Preliminary Finals
7,6,Ben McGlynn,FWD,7,2,37,13,0,0,0,0,2013,Preliminary Finals
8,6,Shane Mumford,RUC,7,1,29,11,1,2,1,50,2013,Preliminary Finals
9,6,Paul Puopolo,FWD,7,3,29,5,0,1,1,100,2013,Preliminary Finals
10,11,Shaun Burgoyne,MID,6,2,16,6,0,0,0,0,2013,Preliminary Finals
11,11,Jarrad McVeigh,DEF,6,0,22,10,0,0,0,0,2013,Preliminary Finals
12,11,Luke Parker,MID,6,0,22,12,0,0,0,0,2013,Preliminary Finals
13,11,Dane Rampe,DEF,6,0,13,8,3,2,0,0,2013,Preliminary Finals
14,15,Ryan Crowley,MID,5,2,12,4,0,1,0,0,2013,Preliminary Finals
15,15,Dan Hannebery,MID,5,0,16,11,0,0,0,0,2013,Preliminary Finals
16,15,James Kelly,MID,5,4,27,12,0,0,0,0,2013,Preliminary Finals
17,15,Tendai Mzungu,MID,5,3,19,9,0,0,0,0,2013,Preliminary Finals
18,19,Jimmy Bartel,DEF,4,1,14,11,2,3,2,66.7,2013,Preliminary Finals
19,19,Craig Bird,FWD,4,0,13,5,0,0,0,0,2013,Preliminary Finals
20,19,Luke Breust,FWD,4,2,18,2,1,0,0,0,2013,Preliminary Finals
21,19,Allen Christensen,FWD,4,2,18,5,1,1,1,100,2013,Preliminary Finals
22,19,Josh Gibson,KEYD,4,0,12,11,6,6,1,16.7,2013,Preliminary Finals
23,19,David Hale,RUC,4,2,12,3,2,0,0,0,2013,Preliminary Finals
24,19,Stephen Hill,MID,4,0,17,9,1,1,0,0,2013,Preliminary Finals
25,19,Steve Johnson,MID,4,0,17,10,0,1,0,0,2013,Preliminary Finals
26,19,Steven Motlop,FWD,4,3,13,4,0,0,0,0,2013,Preliminary Finals
27,19,Ryan O'Keefe,MID,4,0,24,12,1,1,1,100,2013,Preliminary Finals
28,19,Joel Selwood,MID,4,0,23,15,0,0,0,0,2013,Preliminary Finals
29,19,Brad Sewell,MID,4,0,16,6,1,0,0,0,2013,Preliminary Finals
30,19,Ben Stratton,KEYD,4,0,12,11,6,2,1,50,2013,Preliminary Finals
31,19,Nicholas Suban,MID,4,1,24,8,0,1,0,0,2013,Preliminary Finals
32,33,Zac Clarke,RUC,3,1,17,9,2,0,0,0,2013,Preliminary Finals
33,33,Mitch Duncan,MID,3,1,11,7,2,0,0,0,2013,Preliminary Finals
34,33,Nat Fyfe,MID,3,1,20,5,0,0,0,0,2013,Preliminary Finals
35,33,Nick Malceski,DEF,3,0,11,9,2,0,0,0,2013,Preliminary Finals
36,33,David Mundy,MID,3,0,15,10,1,0,0,0,2013,Preliminary Finals
37,33,Jordan Murdoch,FWD,3,2,12,4,0,0,0,0,2013,Preliminary Finals
38,33,Matthew Pavlich,KEYF,3,1,12,4,2,0,0,0,2013,Preliminary Finals
39,33,Mike Pyke,RUC,3,0,14,6,2,0,0,0,2013,Preliminary Finals
40,33,Cyril Rioli,FWD,3,2,10,1,2,1,1,100,2013,Preliminary Finals
41,33,Matt de Boer,FWD,3,2,16,3,0,0,0,0,2013,Preliminary Finals
42,43,Max Bailey,RUC,2,0,7,4,2,0,0,0,2013,Preliminary Finals
43,43,Mark Blicavs,RUC,2,0,14,7,2,1,0,0,2013,Preliminary Finals
44,43,Lance Franklin,KEYF,2,1,7,0,2,0,0,0,2013,Preliminary Finals
45,43,Brent Guerra,DEF,2,0,5,3,1,0,0,0,2013,Preliminary Finals
46,43,Jack Gunston,FWD,2,2,18,0,0,0,0,0,2013,Preliminary Finals
47,43,Luke Hodge,DEF,2,0,10,5,5,1,0,0,2013,Preliminary Finals
48,43,Kieren Jack,MID,2,0,22,14,0,0,0,0,2013,Preliminary Finals
49,43,Tom Lonergan,KEYD,2,0,13,11,5,4,0,0,2013,Preliminary Finals
50,43,Andrew Mackie,DEF,2,0,12,12,3,3,1,33.3,2013,Preliminary Finals
51,43,Sam Mitchell,MID,2,0,7,5,0,0,0,0,2013,Preliminary Finals
52,43,Danyle Pearce,MID,2,0,15,4,0,0,0,0,2013,Preliminary Finals
53,43,Ted Richards,KEYD,2,0,6,6,4,6,1,16.7,2013,Preliminary Finals
54,43,Jared Rivers,KEYD,2,0,9,7,1,2,0,0,2013,Preliminary Finals
55,43,Liam Shiels,MID,2,0,11,4,0,0,0,0,2013,Preliminary Finals
56,43,Nick Smith,DEF,2,0,6,6,4,3,0,0,2013,Preliminary Finals
57,43,Lee Spurr,DEF,2,0,7,6,2,0,0,0,2013,Preliminary Finals
58,43,Michael Walters,FWD,2,2,13,1,0,0,0,0,2013,Preliminary Finals
59,43,Jesse White,KEYF,2,0,8,7,1,1,0,0,2013,Preliminary Finals
60,61,Shane Biggs,DEF,1,0,7,4,1,1,0,0,2013,Preliminary Finals
61,61,Josh Caddy,MID,1,0,11,5,1,0,0,0,2013,Preliminary Finals
62,61,Paul Duffield,DEF,1,0,9,6,0,0,0,0,2013,Preliminary Finals
63,61,Andrejs Everitt,DEF,1,0,9,5,2,2,1,50,2013,Preliminary Finals
64,61,Cameron Guthrie,DEF,1,0,7,6,2,3,1,33.3,2013,Preliminary Finals
65,61,Tom Hawkins,KEYF,1,1,9,2,0,0,0,0,2013,Preliminary Finals
66,61,Josh Hunt,DEF,1,0,9,8,1,2,0,0,2013,Preliminary Finals
67,61,Michael Johnson,KEYD,1,0,7,6,1,0,0,0,2013,Preliminary Finals
68,61,Brian Lake,KEYD,1,0,5,5,3,3,0,0,2013,Preliminary Finals
69,61,Luke McPharlin,KEYD,1,0,5,5,7,5,0,0,2013,Preliminary Finals
70,61,James Podsiadly,KEYF,1,1,10,3,1,1,1,100,2013,Preliminary Finals
