,Rank,Player,Position,T    ,Ti50,PA,DHPA,S,CDOOO,CDL,CDL%,Season,Round
0,1,Tom Rockliff,MID,14,0,34,23,1,1,1,100,2015,Round 22
1,2,Mitch Robinson,FWD,13,1,37,23,0,0,0,0,2015,Round 22
2,2,Jack Viney,MID,13,2,32,16,0,0,0,0,2015,Round 22
3,4,Paul Chapman,FWD,11,1,18,4,0,0,0,0,2015,Round 22
4,5,Levi Greenwood,MID,10,1,23,12,1,0,0,0,2015,Round 22
5,5,Bernie Vince,MID,10,0,25,13,0,0,0,0,2015,Round 22
6,7,Shane Edwards,FWD,9,4,22,7,0,0,0,0,2015,Round 22
7,7,Ben Howlett,FWD,9,2,22,11,0,0,0,0,2015,Round 22
8,7,Touk Miller,FWD,9,0,27,15,0,0,0,0,2015,Round 22
9,7,Matt de Boer,FWD,9,4,31,9,0,1,1,100,2015,Round 22
10,11,Brad Ebert,MID,8,0,18,7,0,0,0,0,2015,Round 22
11,11,Taylor Garner,FWD,8,1,24,10,1,0,0,0,2015,Round 22
12,11,Kieren Jack,MID,8,0,22,15,0,0,0,0,2015,Round 22
13,11,Jordan Roughead,KEYD,8,1,15,9,5,1,1,100,2015,Round 22
14,15,David Armitage,MID,7,0,23,13,2,1,0,0,2015,Round 22
15,15,Mark Baguley,DEF,7,0,19,13,8,5,0,0,2015,Round 22
16,15,Mark Blicavs,RUC,7,0,23,14,1,0,0,0,2015,Round 22
17,15,Jack Crisp,MID,7,1,29,12,1,0,0,0,2015,Round 22
18,15,Luke Dahlhaus,FWD,7,2,15,9,0,0,0,0,2015,Round 22
19,15,Jordan De Goey,FWD,7,1,20,10,0,0,0,0,2015,Round 22
20,15,Billy Evans,FWD,7,3,20,13,0,0,0,0,2015,Round 22
21,15,Toby Greene,FWD,7,0,10,4,0,0,0,0,2015,Round 22
22,15,Brodie Grundy,RUC,7,0,12,7,1,1,0,0,2015,Round 22
23,15,Hamish Hartlett,MID,7,1,17,5,1,0,0,0,2015,Round 22
24,15,Josh Kelly,MID,7,2,21,7,0,0,0,0,2015,Round 22
25,15,Will Langford,MID,7,2,37,12,0,0,0,0,2015,Round 22
26,15,Matthew Lobbe,RUC,7,0,15,5,5,0,0,0,2015,Round 22
27,15,Jack Macrae,MID,7,2,17,10,2,0,0,0,2015,Round 22
28,15,Robin Nahas,FWD,7,2,13,7,0,0,0,0,2015,Round 22
