,Rank,Player,Position,T    ,Ti50,PA,DHPA,S,CDOOO,CDL,CDL%,Season,Round
0,1,Stephen Coniglio,FWD,8,3,21,8,0,0,0,0,2021,Semi Finals
1,1,Max Holmes,FWD,8,1,22,7,0,0,0,0,2021,Semi Finals
2,1,Shane Mumford,RUC,8,0,12,6,0,0,0,0,2021,Semi Finals
3,1,Joel Selwood,MID,8,0,28,14,1,1,0,0,2021,Semi Finals
4,5,Josh Dunkley,FWD,7,3,24,10,3,0,0,0,2021,Semi Finals
5,5,Tim English,RUC,7,2,12,3,3,0,0,0,2021,Semi Finals
6,5,Jacob Hopper,MID,7,2,18,9,0,0,0,0,2021,Semi Finals
7,5,Josh Kelly,MID,7,0,25,13,0,0,0,0,2021,Semi Finals
8,9,Tom Liberatore,MID,6,1,32,18,0,0,0,0,2021,Semi Finals
9,9,Lincoln McCarthy,FWD,6,5,15,2,0,0,0,0,2021,Semi Finals
10,9,Aaron Naughton,KEYF,6,1,12,3,2,0,0,0,2021,Semi Finals
11,12,Lachie Ash,DEF,5,0,17,9,1,1,0,0,2021,Semi Finals
12,12,Charlie Cameron,FWD,5,3,14,1,0,0,0,0,2021,Semi Finals
13,12,Jarryd Lyons,MID,5,0,19,14,0,1,0,0,2021,Semi Finals
14,12,Jack Macrae,MID,5,0,16,7,0,0,0,0,2021,Semi Finals
15,12,Sam Menegola,MID,5,0,22,11,0,0,0,0,2021,Semi Finals
16,12,Daniel Rich,DEF,5,0,11,8,4,3,0,0,2021,Semi Finals
17,12,Mitch Robinson,MID,5,0,16,12,0,0,0,0,2021,Semi Finals
18,12,Adam Treloar,FWD,5,1,18,8,2,0,0,0,2021,Semi Finals
19,12,Callan Ward,MID,5,0,13,4,1,1,0,0,2021,Semi Finals
20,12,Lewis Young,KEYD,5,0,12,5,6,2,0,0,2021,Semi Finals
21,12,Dayne Zorko,MID,5,0,29,7,0,1,1,100,2021,Semi Finals
22,23,Patrick Dangerfield,MID,4,0,13,3,1,0,0,0,2021,Semi Finals
23,23,Tom Fullarton,RUC,4,1,12,4,1,0,0,0,2021,Semi Finals
24,23,Cameron Guthrie,MID,4,0,17,4,1,0,0,0,2021,Semi Finals
