,Rank,Player,Position,T    ,Ti50,PA,DHPA,S,CDOOO,CDL,CDL%,Season,Round
0,1,Liam Shiels,MID,14,6,32,13,0,0,0,0,2018,Round 4
1,2,Clayton Oliver,MID,11,2,27,13,3,0,0,0,2018,Round 4
2,2,Devon Smith,FWD,11,1,22,7,1,0,0,0,2018,Round 4
3,2,Tim Taranto,MID,11,6,31,10,0,0,0,0,2018,Round 4
4,2,Adam Treloar,MID,11,0,32,17,0,0,0,0,2018,Round 4
5,6,Luke Parker,MID,10,1,19,12,0,0,0,0,2018,Round 4
6,7,Luke Breust,FWD,9,3,27,9,2,1,0,0,2018,Round 4
7,7,Cameron Ellis-Yolmen,MID,9,1,37,20,0,0,0,0,2018,Round 4
8,7,Daniel Howe,MID,9,2,26,12,2,0,0,0,2018,Round 4
9,7,Jaeger O'Meara,MID,9,0,28,12,0,0,0,0,2018,Round 4
10,7,Scott Selwood,MID,9,1,32,12,0,2,0,0,2018,Round 4
11,12,Callum L. Brown,FWD,8,1,28,12,0,0,0,0,2018,Round 4
12,12,Ben Cunnington,MID,8,0,14,9,1,0,0,0,2018,Round 4
13,12,Richard Douglas,FWD,8,1,43,19,0,0,0,0,2018,Round 4
14,12,Jack Gunston,KEYF,8,2,22,10,2,0,0,0,2018,Round 4
15,12,Ricky Henderson,MID,8,0,14,8,1,0,0,0,2018,Round 4
16,12,Zach Merrett,MID,8,1,31,16,0,0,0,0,2018,Round 4
17,12,Paul Puopolo,FWD,8,2,20,9,0,0,0,0,2018,Round 4
18,19,James Aish,MID,7,2,14,2,2,0,0,0,2018,Round 4
19,19,Stephen Coniglio,MID,7,2,30,10,1,0,0,0,2018,Round 4
20,19,Mitchell Crowden,FWD,7,1,22,12,0,1,1,100,2018,Round 4
21,19,Ed Curnow,MID,7,3,22,8,0,1,1,100,2018,Round 4
22,19,Josh Dunkley,FWD,7,1,18,4,1,0,0,0,2018,Round 4
23,19,Luke Dunstan,MID,7,0,19,13,1,0,0,0,2018,Round 4
24,19,Brad Ebert,MID,7,0,29,18,0,0,0,0,2018,Round 4
25,19,Dyson Heppell,MID,7,2,17,7,0,0,0,0,2018,Round 4
26,19,Kieren Jack,FWD,7,1,19,10,0,0,0,0,2018,Round 4
27,19,Ben Jacobs,MID,7,0,13,6,1,1,1,100,2018,Round 4
28,19,Brandan Parfitt,FWD,7,2,31,9,0,0,0,0,2018,Round 4
29,19,Joel Selwood,MID,7,0,26,15,1,0,0,0,2018,Round 4
30,19,Steele Sidebottom,MID,7,1,20,10,0,0,0,0,2018,Round 4
31,32,Tomas Bugg,FWD,6,1,20,6,1,0,0,0,2018,Round 4
32,32,Jason Castagna,FWD,6,1,19,3,1,0,0,0,2018,Round 4
33,32,Reece Conca,MID,6,1,23,6,0,0,0,0,2018,Round 4
34,32,Patrick Cripps,MID,6,1,16,7,1,0,0,0,2018,Round 4
35,32,Patrick Dangerfield,FWD,6,0,17,5,1,0,0,0,2018,Round 4
36,32,Orazio Fantasia,FWD,6,3,15,2,1,1,0,0,2018,Round 4
37,32,Jack Henry,DEF,6,0,12,9,2,2,1,50,2018,Round 4
38,32,Sam Menegola,FWD,6,0,24,8,0,0,0,0,2018,Round 4
39,32,Touk Miller,MID,6,2,19,5,1,0,0,0,2018,Round 4
40,32,Sam Murray,DEF,6,0,10,7,3,1,0,0,2018,Round 4
41,32,Alex Neal-Bullen,FWD,6,1,32,22,1,0,0,0,2018,Round 4
42,32,Paul Seedsman,MID,6,0,23,16,1,0,0,0,2018,Round 4
43,32,Kayne Turner,FWD,6,1,19,5,0,0,0,0,2018,Round 4
44,45,Jed Anderson,MID,5,0,15,4,0,0,0,0,2018,Round 4
45,45,Luke Dahlhaus,FWD,5,1,27,6,0,0,0,0,2018,Round 4
46,45,Jordan De Goey,FWD,5,3,12,1,1,1,1,100,2018,Round 4
47,45,Trent Dumont,MID,5,0,18,12,0,0,0,0,2018,Round 4
48,45,Jarrod Garlett,FWD,5,2,14,5,1,0,0,0,2018,Round 4
49,45,Sam Gilbert,KEYD,5,0,15,10,3,1,0,0,2018,Round 4
50,45,Hugh Greenwood,MID,5,0,22,8,1,1,0,0,2018,Round 4
51,45,Dylan Grimes,DEF,5,0,12,6,4,1,0,0,2018,Round 4
52,45,Hamish Hartlett,DEF,5,0,13,11,5,1,0,0,2018,Round 4
53,45,Sam Jacobs,RUC,5,1,15,8,2,0,0,0,2018,Round 4
54,45,Lin Jong,FWD,5,2,18,3,0,0,0,0,2018,Round 4
55,45,Matthew Kennedy,MID,5,0,17,7,1,0,0,0,2018,Round 4
56,45,Dean Kent,FWD,5,0,14,3,1,1,0,0,2018,Round 4
57,45,Toby McLean,FWD,5,1,16,5,0,0,0,0,2018,Round 4
58,45,Tom Mitchell,MID,5,0,28,17,0,1,1,100,2018,Round 4
59,45,Harry Morrison,FWD,5,0,16,9,3,0,0,0,2018,Round 4
60,45,Jack Redden,MID,5,0,22,13,0,0,0,0,2018,Round 4
61,45,Ed Richards,DEF,5,0,11,5,4,2,0,0,2018,Round 4
62,45,Mitch Robinson,FWD,5,0,22,15,1,3,0,0,2018,Round 4
63,45,Tommy Sheridan,MID,5,0,23,16,1,1,0,0,2018,Round 4
64,45,Isaac Smith,MID,5,0,19,11,2,2,0,0,2018,Round 4
65,45,Ed Vickers-Willis,DEF,5,0,18,12,3,0,0,0,2018,Round 4
66,45,Josh Wagner,DEF,5,0,23,14,4,1,0,0,2018,Round 4
67,45,Michael Walters,FWD,5,2,21,16,0,0,0,0,2018,Round 4
68,45,Jack Watts,KEYF,5,2,24,9,0,0,0,0,2018,Round 4
69,45,Elliot Yeo,MID,5,1,16,7,0,0,0,0,2018,Round 4
70,71,Shaun Atley,FWD,4,3,17,3,0,1,0,0,2018,Round 4
71,71,Dayne Beams,MID,4,0,14,10,0,0,0,0,2018,Round 4
72,71,Angus Brayshaw,MID,4,0,18,9,1,0,0,0,2018,Round 4
73,71,Andrew Brayshaw,MID,4,0,13,6,0,0,0,0,2018,Round 4
74,71,Nick Coffield,DEF,4,0,11,9,1,0,0,0,2018,Round 4
75,71,Trent Cotchin,MID,4,1,21,6,1,0,0,0,2018,Round 4
76,71,Jamie Cripps,FWD,4,2,20,4,1,0,0,0,2018,Round 4
77,71,Mitch Duncan,MID,4,0,22,9,1,0,0,0,2018,Round 4
78,71,Oliver Florent,MID,4,0,12,6,3,1,1,100,2018,Round 4
79,71,Nat Fyfe,MID,4,1,24,9,1,0,0,0,2018,Round 4
80,71,Jeff Garlett,FWD,4,2,17,2,0,0,0,0,2018,Round 4
81,71,Billy Gowers,FWD,4,1,11,1,0,0,0,0,2018,Round 4
82,71,Sam Gray,FWD,4,0,13,6,3,0,0,0,2018,Round 4
83,71,Robbie Gray,FWD,4,0,17,11,1,0,0,0,2018,Round 4
84,71,Josh Green,FWD,4,3,14,3,0,0,0,0,2018,Round 4
85,71,Toby Greene,FWD,4,0,10,3,0,0,0,0,2018,Round 4
86,71,Will Hayward,FWD,4,0,20,11,1,0,0,0,2018,Round 4
87,71,Michael Hibberd,DEF,4,0,12,6,6,5,0,0,2018,Round 4
88,71,Will Hoskin-Elliott,FWD,4,0,18,5,1,1,0,0,2018,Round 4
89,71,Bachar Houli,DEF,4,0,12,9,2,3,1,33.3,2018,Round 4
90,71,Dougal Howard,KEYD,4,0,9,6,3,0,0,0,2018,Round 4
91,71,Lewis Jetta,DEF,4,0,11,8,0,1,0,0,2018,Round 4
92,71,Jason Johannisen,DEF,4,1,10,6,3,3,0,0,2018,Round 4
93,71,Tom Jonas,KEYD,4,0,5,4,11,4,0,0,2018,Round 4
94,71,Matthew Kreuzer,RUC,4,0,11,7,2,0,0,0,2018,Round 4
95,71,Tom Langdon,DEF,4,0,10,8,3,1,1,100,2018,Round 4
96,71,Jack Lonie,FWD,4,2,20,8,0,0,0,0,2018,Round 4
97,71,Jarryd Lyons,MID,4,1,17,7,0,0,0,0,2018,Round 4
98,71,Jack Macrae,MID,4,0,21,8,0,0,0,0,2018,Round 4
99,71,Anthony McDonald-Tipungwuti,FWD,4,1,24,7,0,0,0,0,2018,Round 4
100,71,Wayne Milera,DEF,4,1,15,6,6,0,0,0,2018,Round 4
101,71,Tim O'Brien,KEYF,4,1,15,8,4,0,0,0,2018,Round 4
102,71,Cameron O'Shea,DEF,4,0,12,7,4,3,0,0,2018,Round 4
103,71,Tom Phillips,MID,4,0,18,8,0,0,0,0,2018,Round 4
104,71,Dion Prestia,MID,4,0,16,5,0,0,0,0,2018,Round 4
105,71,Jack Riewoldt,KEYF,4,1,17,4,1,0,0,0,2018,Round 4
106,71,Tom Rockliff,MID,4,0,12,8,0,0,0,0,2018,Round 4
107,71,Sebastian Ross,MID,4,0,15,7,0,0,0,0,2018,Round 4
108,71,Jarryd Roughead,KEYF,4,1,11,4,2,0,0,0,2018,Round 4
109,71,Shane Savage,DEF,4,0,15,12,2,1,0,0,2018,Round 4
110,71,Kade Simpson,DEF,4,0,14,11,1,0,0,0,2018,Round 4
111,71,Jack Steele,MID,4,1,18,8,0,0,0,0,2018,Round 4
112,71,Daniel Talia,KEYD,4,0,9,8,8,8,1,12.5,2018,Round 4
113,71,Josh Thomas,FWD,4,1,16,4,0,0,0,0,2018,Round 4
114,71,Adam Tomlinson,MID,4,1,15,4,1,0,0,0,2018,Round 4
115,71,Daniel Venables,FWD,4,1,9,4,0,0,0,0,2018,Round 4
116,71,Callan Ward,MID,4,1,17,8,0,0,0,0,2018,Round 4
117,71,Jarrod Witts,RUC,4,1,17,6,5,2,2,100,2018,Round 4
118,119,Blake Acres,FWD,3,0,19,10,1,2,1,50,2018,Round 4
119,119,Bailey Banfield,FWD,3,0,22,11,1,0,0,0,2018,Round 4
120,119,Eddie Betts,FWD,3,2,18,2,1,0,0,0,2018,Round 4
121,119,Charles Cameron,FWD,3,0,14,4,0,0,0,0,2018,Round 4
122,119,Levi Casboult,KEYF,3,1,10,3,2,0,0,0,2018,Round 4
123,119,Ben Crocker,FWD,3,3,16,2,1,0,0,0,2018,Round 4
124,119,Jordan Cunico,MID,3,0,19,11,1,1,0,0,2018,Round 4
125,119,Charlie Curnow,KEYF,3,1,13,2,0,0,0,0,2018,Round 4
126,119,Sam Day,KEYF,3,1,8,1,3,0,0,0,2018,Round 4
127,119,Liam Duggan,DEF,3,0,19,8,4,0,0,0,2018,Round 4
128,119,Brayden Fiorini,MID,3,1,14,4,0,0,0,0,2018,Round 4
129,119,Lachie Fogarty,FWD,3,1,17,2,2,1,0,0,2018,Round 4
130,119,James Frawley,KEYD,3,2,10,4,1,0,0,0,2018,Round 4
131,119,Bayley Fritsch,FWD,3,0,7,6,5,0,0,0,2018,Round 4
132,119,Andrew Gaff,MID,3,0,15,7,1,0,0,0,2018,Round 4
133,119,Jarryn Geary,DEF,3,0,16,6,0,0,0,0,2018,Round 4
134,119,Bryce Gibbs,MID,3,0,19,9,0,0,0,0,2018,Round 4
135,119,Conor Glass,DEF,3,0,24,19,1,1,0,0,2018,Round 4
136,119,Shaun Grigg,MID,3,2,10,6,2,0,0,0,2018,Round 4
137,119,Blake Hardwick,DEF,3,0,16,11,0,1,1,100,2018,Round 4
138,119,James Harmes,MID,3,0,27,14,3,1,0,0,2018,Round 4
139,119,Billy Hartung,MID,3,0,13,4,0,0,0,0,2018,Round 4
140,119,Isaac Heeney,FWD,3,1,11,5,1,0,0,0,2018,Round 4
141,119,Tom Hickey,RUC,3,0,16,7,2,0,0,0,2018,Round 4
142,119,Shaun Higgins,MID,3,2,19,12,0,0,0,0,2018,Round 4
143,119,Harry Himmelberg,KEYF,3,2,14,7,4,0,0,0,2018,Round 4
144,119,Nick Holman,FWD,3,1,16,5,0,0,0,0,2018,Round 4
145,119,Dan Houston,DEF,3,0,8,4,0,0,0,0,2018,Round 4
146,119,Jarman Impey,DEF,3,0,12,7,0,0,0,0,2018,Round 4
147,119,Tim Kelly,FWD,3,0,27,8,0,0,0,0,2018,Round 4
148,119,Rory Laird,DEF,3,0,19,11,1,1,0,0,2018,Round 4
149,119,Kane Lambert,FWD,3,0,24,10,4,1,0,0,2018,Round 4
150,119,Mark LeCras,FWD,3,0,13,4,1,0,0,0,2018,Round 4
151,119,Jordan Lewis,DEF,3,0,14,12,0,0,0,0,2018,Round 4
152,119,Daniel Lloyd,FWD,3,0,16,8,0,0,0,0,2018,Round 4
153,119,Rowan Marshall,KEYF,3,1,10,2,0,0,0,0,2018,Round 4
154,119,Stefan Martin,RUC,3,0,14,8,1,1,1,100,2018,Round 4
155,119,Luke McDonald,DEF,3,0,8,5,0,0,0,0,2018,Round 4
