,Rank,Player,Position,T    ,Ti50,PA,DHPA,S,CDOOO,CDL,CDL%,Season,Round
0,1,Brad Ebert,MID,12,3,29,10,0,0,0,0,2017,Round 23
1,1,Scott Selwood,MID,12,0,26,16,1,0,0,0,2017,Round 23
2,3,Jaeger O'Meara,MID,11,0,21,8,0,0,0,0,2017,Round 23
3,4,David Mundy,FWD,10,0,23,10,0,1,1,100,2017,Round 23
4,5,Josh Kelly,MID,9,2,22,6,0,0,0,0,2017,Round 23
5,5,Ben McEvoy,RUC,9,0,18,13,4,0,0,0,2017,Round 23
6,5,Toby Nankervis,RUC,9,1,21,11,3,1,0,0,2017,Round 23
7,5,Jake Neade,FWD,9,5,21,3,0,0,0,0,2017,Round 23
8,5,Rory Sloane,MID,9,2,29,13,1,0,0,0,2017,Round 23
9,10,Jacob Hopper,MID,8,1,15,7,1,0,0,0,2017,Round 23
10,10,Luke Parker,MID,8,2,15,5,1,0,0,0,2017,Round 23
11,10,Matthew Priddis,MID,8,0,27,11,1,0,0,0,2017,Round 23
12,10,Liam Shiels,MID,8,0,20,11,0,0,0,0,2017,Round 23
13,10,Jack Steele,MID,8,1,27,11,2,0,0,0,2017,Round 23
14,10,Nicholas Suban,MID,8,0,31,19,0,0,0,0,2017,Round 23
15,10,Adam Treloar,MID,8,1,26,13,0,0,0,0,2017,Round 23
16,17,Jed Anderson,FWD,7,6,20,2,1,0,0,0,2017,Round 23
17,17,Matt Crouch,MID,7,4,20,8,0,0,0,0,2017,Round 23
18,17,Jack Graham,MID,7,2,29,8,0,0,0,0,2017,Round 23
19,17,Jack Macrae,MID,7,0,19,7,0,2,1,50,2017,Round 23
20,17,Touk Miller,MID,7,0,20,9,0,0,0,0,2017,Round 23
21,17,Darcy Parish,FWD,7,3,29,12,0,0,0,0,2017,Round 23
22,23,Ben Ainsworth,FWD,6,2,19,3,0,0,0,0,2017,Round 23
23,23,Will Brodie,MID,6,0,17,12,0,0,0,0,2017,Round 23
24,23,Stephen Coniglio,MID,6,0,15,11,0,1,1,100,2017,Round 23
25,23,Jack Crisp,DEF,6,0,20,12,4,1,1,100,2017,Round 23
26,23,Brad Crouch,MID,6,1,19,7,1,0,0,0,2017,Round 23
27,23,Patrick Dangerfield,MID,6,0,16,8,0,0,0,0,2017,Round 23
28,23,Trent Dumont,MID,6,3,21,5,0,1,0,0,2017,Round 23
29,23,Nat Fyfe,MID,6,0,26,16,3,0,0,0,2017,Round 23
30,23,Josh P. Kennedy,MID,6,2,22,7,0,1,1,100,2017,Round 23
31,23,Sam Kerridge,MID,6,1,17,5,0,1,0,0,2017,Round 23
32,23,Jack Lonie,FWD,6,3,23,6,0,0,0,0,2017,Round 23
33,23,Toby McLean,FWD,6,1,17,1,0,0,0,0,2017,Round 23
34,23,Tom Mitchell,MID,6,1,17,4,0,0,0,0,2017,Round 23
35,23,Drew Petrie,KEYF,6,2,16,6,6,0,0,0,2017,Round 23
36,23,Paul Puopolo,FWD,6,2,22,5,0,0,0,0,2017,Round 23
37,23,Gary Rohan,FWD,6,4,15,2,1,0,0,0,2017,Round 23
38,23,Jarryd Roughead,KEYF,6,2,10,4,2,0,0,0,2017,Round 23
39,23,Steele Sidebottom,MID,6,0,31,10,0,1,1,100,2017,Round 23
40,23,Zac Smith,RUC,6,0,14,10,4,0,0,0,2017,Round 23
41,23,Josh Thomas,FWD,6,1,24,12,0,0,0,0,2017,Round 23
42,23,David Zaharakis,MID,6,0,21,9,0,0,0,0,2017,Round 23
43,23,Dayne Zorko,MID,6,1,21,4,0,0,0,0,2017,Round 23
44,45,Phil Davis,KEYD,5,0,12,10,6,6,3,50,2017,Round 23
45,45,Brett Deledio,FWD,5,1,15,5,0,0,0,0,2017,Round 23
46,45,Josh Dunkley,FWD,5,2,26,5,1,0,0,0,2017,Round 23
47,45,Luke Dunstan,MID,5,1,24,6,0,0,0,0,2017,Round 23
48,45,Darcy Gardiner,DEF,5,0,11,11,5,3,1,33.3,2017,Round 23
49,45,Jeff Garlett,FWD,5,2,14,3,0,0,0,0,2017,Round 23
50,45,Shaun Grigg,MID,5,1,18,4,0,0,0,0,2017,Round 23
51,45,Cameron Guthrie,MID,5,0,15,8,0,0,0,0,2017,Round 23
52,45,Dyson Heppell,MID,5,1,21,4,0,0,0,0,2017,Round 23
53,45,Jayden Hunt,DEF,5,1,18,10,3,1,1,100,2017,Round 23
54,45,Nathan Jones,MID,5,0,16,9,0,1,1,100,2017,Round 23
55,45,James Kelly,DEF,5,0,19,13,1,0,0,0,2017,Round 23
56,45,Kayle Kirby,FWD,5,3,16,3,1,0,0,0,2017,Round 23
57,45,Billy Longer,RUC,5,1,22,7,6,2,0,0,2017,Round 23
58,45,Sam Mayes,DEF,5,0,12,9,1,0,0,0,2017,Round 23
59,45,Brayden Maynard,DEF,5,0,26,9,1,0,0,0,2017,Round 23
60,45,Declan Mountford,DEF,5,0,15,7,2,0,0,0,2017,Round 23
61,45,Jordan Murdoch,MID,5,0,25,9,1,0,0,0,2017,Round 23
62,45,Alex Neal-Bullen,FWD,5,1,19,1,1,0,0,0,2017,Round 23
63,45,Sam Powell-Pepper,MID,5,2,37,16,0,0,0,0,2017,Round 23
64,45,Luke Ryan,DEF,5,0,12,9,4,0,0,0,2017,Round 23
65,45,Brad Sheppard,DEF,5,0,21,13,0,0,0,0,2017,Round 23
66,45,Luke Shuey,MID,5,1,23,9,1,0,0,0,2017,Round 23
67,45,David Swallow,MID,5,0,14,12,1,0,0,0,2017,Round 23
68,45,Lindsay Thomas,FWD,5,2,16,4,0,0,0,0,2017,Round 23
69,45,Zac Williams,DEF,5,0,13,6,2,0,0,0,2017,Round 23
70,45,Ollie Wines,MID,5,1,16,7,0,0,0,0,2017,Round 23
71,72,Taylor Adams,MID,4,0,14,11,1,0,0,0,2017,Round 23
72,72,Mark Baguley,DEF,4,0,10,9,3,2,1,50,2017,Round 23
73,72,Dayne Beams,MID,4,1,11,3,0,0,0,0,2017,Round 23
74,72,Eddie Betts,FWD,4,3,18,4,0,0,0,0,2017,Round 23
75,72,Jack Billings,FWD,4,1,18,7,1,0,0,0,2017,Round 23
76,72,Mark Blicavs,MID,4,1,20,10,3,0,0,0,2017,Round 23
77,72,Riley Bonner,DEF,4,1,6,3,3,2,0,0,2017,Round 23
78,72,Marcus Bontempelli,MID,4,0,19,4,2,0,0,0,2017,Round 23
79,72,Nathan Broad,DEF,4,0,15,13,3,2,0,0,2017,Round 23
80,72,Wylie Buzza,KEYF,4,0,11,2,1,0,0,0,2017,Round 23
81,72,Charles Cameron,FWD,4,1,16,4,1,0,0,0,2017,Round 23
82,72,Jason Castagna,FWD,4,1,17,3,2,0,0,0,2017,Round 23
83,72,Harry Cunningham,FWD,4,1,9,6,0,0,0,0,2017,Round 23
84,72,Mitch Duncan,MID,4,0,16,7,0,0,0,0,2017,Round 23
85,72,Shane Edwards,FWD,4,1,17,7,0,0,0,0,2017,Round 23
86,72,Bryce Gibbs,MID,4,2,18,7,0,0,0,0,2017,Round 23
87,72,Tyson Goldsack,KEYD,4,3,15,1,1,0,0,0,2017,Round 23
88,72,Todd Goldstein,RUC,4,1,10,5,4,3,0,0,2017,Round 23
