,Rank,Player,Position,T    ,Ti50,PA,DHPA,S,CDOOO,CDL,CDL%,Season,Round
0,1,Gary Ablett,MID,17,0,28,19,0,1,1,100,2015,Round 16
1,1,Tom Rockliff,MID,17,2,27,15,0,0,0,0,2015,Round 16
2,3,Mitch Robinson,FWD,12,1,24,15,2,0,0,0,2015,Round 16
3,4,Jimmy Bartel,MID,11,1,27,11,0,1,0,0,2015,Round 16
4,4,Steven Motlop,FWD,11,3,28,10,0,0,0,0,2015,Round 16
5,6,Marcus Bontempelli,MID,10,5,26,9,1,0,0,0,2015,Round 16
6,6,Jack Redpath,KEYF,10,5,13,4,2,0,0,0,2015,Round 16
7,8,Ed Curnow,MID,9,2,16,8,0,0,0,0,2015,Round 16
8,8,Shaun Grigg,MID,9,1,17,6,1,0,0,0,2015,Round 16
9,8,Ben Jacobs,MID,9,1,22,9,0,0,0,0,2015,Round 16
10,8,Josh P. Kennedy,MID,9,2,24,10,0,1,1,100,2015,Round 16
11,8,Chris Mayne,FWD,9,3,22,4,1,0,0,0,2015,Round 16
12,8,David Mundy,MID,9,1,19,6,1,0,0,0,2015,Round 16
13,8,Liam Picken,MID,9,1,26,10,0,0,0,0,2015,Round 16
14,15,Jarryn Geary,DEF,8,0,16,11,3,0,0,0,2015,Round 16
15,15,Neville Jetta,DEF,8,0,11,10,4,2,1,50,2015,Round 16
16,15,Cyril Rioli,FWD,8,1,20,4,4,0,0,0,2015,Round 16
17,15,Brent Stanton,MID,8,1,20,7,0,1,1,100,2015,Round 16
18,15,Scott Thompson,MID,8,0,19,9,0,0,0,0,2015,Round 16
19,20,Mark Baguley,DEF,7,0,13,11,3,1,0,0,2015,Round 16
20,20,Michael Barlow,FWD,7,2,17,7,0,0,0,0,2015,Round 16
21,20,Tom Bell,FWD,7,1,15,8,0,0,0,0,2015,Round 16
22,20,Travis Boak,MID,7,0,16,9,0,1,0,0,2015,Round 16
23,20,Josh Caddy,MID,7,3,17,3,3,0,0,0,2015,Round 16
24,20,Jamie Cripps,FWD,7,5,23,3,0,0,0,0,2015,Round 16
25,20,Ben Cunnington,MID,7,2,18,9,0,0,0,0,2015,Round 16
26,20,Luke Dahlhaus,FWD,7,4,20,7,1,0,0,0,2015,Round 16
27,20,Luke Dunstan,MID,7,0,26,13,1,0,0,0,2015,Round 16
28,20,Corey Enright,DEF,7,0,14,9,2,2,1,50,2015,Round 16
29,20,Brendon Goddard,MID,7,1,18,11,1,0,0,0,2015,Round 16
30,20,Levi Greenwood,MID,7,2,14,5,0,0,0,0,2015,Round 16
31,20,Hamish Hartlett,MID,7,0,17,7,1,2,0,0,2015,Round 16
32,20,Luke Hodge,MID,7,1,24,10,2,2,1,50,2015,Round 16
33,20,Jack Hombsch,KEYD,7,0,15,11,2,5,3,60,2015,Round 16
34,20,Jarman Impey,DEF,7,1,22,13,0,0,0,0,2015,Round 16
35,20,Brodie Martin,MID,7,0,15,5,0,0,0,0,2015,Round 16
36,20,Jarrad McVeigh,MID,7,4,25,11,1,2,0,0,2015,Round 16
37,20,Scott Pendlebury,MID,7,1,24,14,1,0,0,0,2015,Round 16
38,20,Jordan Roughead,KEYD,7,0,12,12,9,7,4,57.1,2015,Round 16
39,20,Liam Shiels,MID,7,1,27,8,0,0,0,0,2015,Round 16
40,20,Nicholas Suban,MID,7,0,17,4,0,1,0,0,2015,Round 16
41,20,Jack Viney,MID,7,1,17,10,1,0,0,0,2015,Round 16
42,20,Chris Yarran,DEF,7,0,16,12,2,2,0,0,2015,Round 16
43,20,David Zaharakis,MID,7,0,13,9,0,0,0,0,2015,Round 16
44,45,David Armitage,MID,6,3,22,13,0,0,0,0,2015,Round 16
45,45,Jed Bews,DEF,6,0,13,5,4,2,0,0,2015,Round 16
46,45,Tom Boyd,KEYF,6,1,12,9,2,1,0,0,2015,Round 16
47,45,Shaun Burgoyne,DEF,6,0,15,9,0,1,1,100,2015,Round 16
48,45,Patrick Cripps,MID,6,1,19,9,1,0,0,0,2015,Round 16
49,45,Tom Downie,RUC,6,1,18,2,2,0,0,0,2015,Round 16
50,45,Sam Fisher,KEYD,6,0,11,8,0,0,0,0,2015,Round 16
51,45,Kieren Jack,MID,6,1,19,12,1,1,1,100,2015,Round 16
52,45,Josh Kelly,MID,6,3,12,4,0,0,0,0,2015,Round 16
53,45,Matthew Lobbe,RUC,6,0,12,7,2,0,0,0,2015,Round 16
54,45,Tom Mitchell,MID,6,0,17,11,0,0,0,0,2015,Round 16
55,45,Nic Naitanui,RUC,6,1,14,5,2,0,0,0,2015,Round 16
56,45,Paul Puopolo,FWD,6,2,26,5,0,0,0,0,2015,Round 16
57,45,Jack Redden,MID,6,2,10,4,0,0,0,0,2015,Round 16
58,45,Michael Rischitelli,MID,6,0,25,18,1,0,0,0,2015,Round 16
59,45,Tom Scully,MID,6,1,12,5,0,1,1,100,2015,Round 16
60,45,Ariel Steinberg,KEYD,6,0,9,5,4,1,1,100,2015,Round 16
61,45,Dom Tyson,MID,6,2,18,7,0,0,0,0,2015,Round 16
62,45,Travis Varcoe,FWD,6,2,14,5,0,0,0,0,2015,Round 16
63,45,Jarrad Waite,KEYF,6,6,10,0,2,0,0,0,2015,Round 16
64,45,Justin Westhoff,KEYF,6,4,12,5,1,0,0,0,2015,Round 16
65,45,Simon White,KEYD,6,1,10,6,3,2,0,0,2015,Round 16
66,45,Chad Wingard,FWD,6,0,14,10,0,0,0,0,2015,Round 16
67,45,Dayne Zorko,FWD,6,1,22,10,0,0,0,0,2015,Round 16
68,45,Matt de Boer,FWD,6,0,13,9,0,0,0,0,2015,Round 16
69,70,Jed Adcock,FWD,5,4,16,2,1,0,0,0,2015,Round 16
70,70,Shaun Atley,DEF,5,2,14,3,1,2,0,0,2015,Round 16
71,70,Mark Blicavs,RUC,5,0,11,7,0,0,0,0,2015,Round 16
72,70,Angus Brayshaw,FWD,5,3,19,3,0,0,0,0,2015,Round 16
73,70,Stephen Coniglio,MID,5,1,20,7,1,1,1,100,2015,Round 16
74,70,Trent Cotchin,MID,5,1,18,4,1,0,0,0,2015,Round 16
75,70,Stewart Crameri,FWD,5,2,15,5,2,1,0,0,2015,Round 16
76,70,Jack Crisp,MID,5,1,20,8,0,0,0,0,2015,Round 16
77,70,Daniel Cross,DEF,5,0,8,4,5,1,0,0,2015,Round 16
78,70,Harry Cunningham,FWD,5,3,15,3,0,0,0,0,2015,Round 16
79,70,Sam Day,KEYF,5,0,10,9,0,0,0,0,2015,Round 16
80,70,Tory Dickson,FWD,5,3,12,5,0,0,0,0,2015,Round 16
81,70,Richard Douglas,MID,5,1,24,13,0,0,0,0,2015,Round 16
82,70,Brad Ebert,MID,5,0,20,8,1,1,1,100,2015,Round 16
83,70,Jeff Garlett,FWD,5,1,12,4,0,0,0,0,2015,Round 16
84,70,Sam Gilbert,DEF,5,0,17,10,1,1,0,0,2015,Round 16
85,70,Adam Goodes,FWD,5,2,14,3,2,0,0,0,2015,Round 16
86,70,Jonathon Griffin,RUC,5,0,8,2,0,0,0,0,2015,Round 16
87,70,Mitch Hallahan,MID,5,1,25,18,0,0,0,0,2015,Round 16
88,70,Jeremy Howe,DEF,5,0,8,7,1,0,0,0,2015,Round 16
89,70,Shane Kersten,KEYF,5,4,11,3,1,0,0,0,2015,Round 16
90,70,Jayden Laverde,FWD,5,2,8,2,0,0,0,0,2015,Round 16
91,70,Jordan Lewis,MID,5,1,12,4,0,0,0,0,2015,Round 16
92,70,Billy Longer,RUC,5,0,19,13,4,1,1,100,2015,Round 16
93,70,David Mackay,MID,5,0,10,7,0,0,0,0,2015,Round 16
94,70,Jack Macrae,MID,5,0,20,9,1,0,0,0,2015,Round 16
95,70,Ben McEvoy,RUC,5,0,18,11,4,1,0,0,2015,Round 16
96,70,Touk Miller,FWD,5,2,19,11,0,0,0,0,2015,Round 16
97,70,Toby Nankervis,RUC,5,0,12,7,1,1,1,100,2015,Round 16
98,70,Jake Neade,FWD,5,3,20,7,0,1,1,100,2015,Round 16
99,70,Luke Shuey,MID,5,0,16,6,0,0,0,0,2015,Round 16
100,70,Devon Smith,FWD,5,2,22,5,0,0,0,0,2015,Round 16
101,70,Zac Smith,RUC,5,1,12,8,4,1,0,0,2015,Round 16
102,70,Jack Steele,FWD,5,2,20,1,0,0,0,0,2015,Round 16
103,70,Billy Stretch,MID,5,0,7,5,1,0,0,0,2015,Round 16
104,70,Matt Taberner,KEYF,5,3,11,0,3,0,0,0,2015,Round 16
105,70,Adam Treloar,MID,5,2,14,5,0,0,0,0,2015,Round 16
106,70,Kayne Turner,FWD,5,3,13,5,0,0,0,0,2015,Round 16
107,70,Bernie Vince,MID,5,1,12,6,0,0,0,0,2015,Round 16
108,70,Callan Ward,MID,5,1,17,8,0,0,0,0,2015,Round 16
109,70,Maverick Weller,FWD,5,2,15,6,1,0,0,0,2015,Round 16
110,70,Jack Ziebell,MID,5,2,12,3,0,1,0,0,2015,Round 16
111,112,James Aish,MID,4,0,8,4,0,0,0,0,2015,Round 16
112,112,Dayne Beams,MID,4,0,14,4,0,0,0,0,2015,Round 16
113,112,Josh Bruce,KEYF,4,1,14,2,1,0,0,0,2015,Round 16
114,112,Dylan Buckley,DEF,4,1,6,3,2,4,1,25,2015,Round 16
115,112,Andrew Carrazzo,MID,4,1,14,3,0,0,0,0,2015,Round 16
116,112,Allen Christensen,FWD,4,0,11,5,0,0,0,0,2015,Round 16
117,112,Patrick Dangerfield,MID,4,0,9,4,1,0,0,0,2015,Round 16
118,112,Michael Firrito,KEYD,4,0,15,12,4,1,0,0,2015,Round 16
119,112,Martin Gleeson,DEF,4,0,14,7,1,2,2,100,2015,Round 16
120,112,Todd Goldstein,RUC,4,2,20,9,2,0,0,0,2015,Round 16
121,112,Brodie Grundy,RUC,4,0,9,8,1,1,0,0,2015,Round 16
122,112,Jarrod Harbrow,DEF,4,0,15,11,1,1,0,0,2015,Round 16
123,112,Brent Harvey,FWD,4,2,19,5,0,0,0,0,2015,Round 16
124,112,Ryan Harwood,DEF,4,0,8,6,2,1,0,0,2015,Round 16
125,112,Stephen Hill,MID,4,0,10,7,0,0,0,0,2015,Round 16
126,112,Nick Holman,DEF,4,0,13,6,1,1,1,100,2015,Round 16
127,112,Sam Jacobs,RUC,4,1,8,3,1,0,0,0,2015,Round 16
128,112,Ben Kennedy,FWD,4,3,11,4,0,0,0,0,2015,Round 16
129,112,Jake Kolodjashnij,KEYD,4,0,11,11,6,3,0,0,2015,Round 16
130,112,Brian Lake,KEYD,4,0,12,10,1,3,1,33.3,2015,Round 16
131,112,Tom Langdon,DEF,4,0,13,11,4,3,0,0,2015,Round 16
132,112,Andrew Mackie,DEF,4,0,11,8,2,1,0,0,2015,Round 16
133,112,Dustin Martin,FWD,4,1,11,7,0,0,0,0,2015,Round 16
134,112,Brayden Maynard,DEF,4,0,12,9,0,0,0,0,2015,Round 16
135,112,Trent McKenzie,DEF,4,0,11,11,4,2,1,50,2015,Round 16
136,112,Angus Monfries,FWD,4,0,11,6,0,0,0,0,2015,Round 16
137,112,Marc Murphy,MID,4,1,15,8,0,0,0,0,2015,Round 16
138,112,Lachie Neale,MID,4,0,9,5,0,0,0,0,2015,Round 16
139,112,Chris Newman,DEF,4,1,16,5,0,0,0,0,2015,Round 16
140,112,Cameron O'Shea,DEF,4,1,15,11,2,0,0,0,2015,Round 16
141,112,Matthew Priddis,MID,4,1,16,2,0,0,0,0,2015,Round 16
142,112,Josh Prudden,DEF,4,0,13,9,2,3,2,66.7,2015,Round 16
143,112,Sam Rowe,KEYD,4,1,10,5,5,1,0,0,2015,Round 16
144,112,Tommy Sheridan,DEF,4,0,14,8,1,1,0,0,2015,Round 16
145,112,Isaac Smith,MID,4,0,9,5,2,1,0,0,2015,Round 16
146,112,Lee Spurr,DEF,4,0,9,7,3,2,0,0,2015,Round 16
147,112,Brent Staker,FWD,4,0,7,3,1,0,0,0,2015,Round 16
148,112,Jack Steven,MID,4,1,22,9,0,0,0,0,2015,Round 16
149,112,Cam Sutcliffe,DEF,4,1,14,8,2,1,1,100,2015,Round 16
150,112,Dane Swan,MID,4,1,17,9,0,0,0,0,2015,Round 16
151,112,Alan Toovey,DEF,4,0,15,13,7,4,0,0,2015,Round 16
152,112,Mitch Wallis,MID,4,0,16,8,0,0,0,0,2015,Round 16
153,112,Aaron Young,MID,4,0,10,10,0,0,0,0,2015,Round 16
154,112,Aaron vandenBerg,FWD,4,1,15,5,1,0,0,0,2015,Round 16
155,156,Patrick Ambrose,FWD,3,1,23,7,0,1,0,0,2015,Round 16
156,156,Jason Ashby,DEF,3,0,10,6,2,0,0,0,2015,Round 16
157,156,Ryan Bastinac,MID,3,2,19,8,0,0,0,0,2015,Round 16
158,156,Nathan Brown,KEYD,3,0,8,8,11,2,0,0,2015,Round 16
159,156,Clay Cameron,KEYD,3,0,10,8,4,2,1,50,2015,Round 16
160,156,Tom Campbell,RUC,3,1,9,3,2,1,0,0,2015,Round 16
161,156,Justin Clarke,KEYD,3,0,6,5,1,4,3,75,2015,Round 16
162,156,Matt Crouch,MID,3,0,13,4,0,0,0,0,2015,Round 16
163,156,Jordan De Goey,FWD,3,0,18,7,1,0,0,0,2015,Round 16
164,156,Mitch Duncan,MID,3,0,16,6,1,0,0,0,2015,Round 16
165,156,Brandon Ellis,MID,3,1,13,5,0,0,0,0,2015,Round 16
166,156,Lance Franklin,KEYF,3,2,9,0,2,0,0,0,2015,Round 16
167,156,Jack Frost,KEYD,3,0,11,9,4,3,0,0,2015,Round 16
168,156,Toby Greene,FWD,3,1,9,1,2,0,0,0,2015,Round 16
169,156,Cory Gregson,FWD,3,3,13,6,0,0,0,0,2015,Round 16
170,156,Ryan Griffen,MID,3,1,9,5,2,0,0,0,2015,Round 16
171,156,Heath Grundy,KEYD,3,0,6,5,3,4,2,50,2015,Round 16
172,156,Jack Gunston,KEYF,3,0,10,5,0,1,1,100,2015,Round 16
173,156,Cameron Guthrie,MID,3,1,16,7,0,0,0,0,2015,Round 16
174,156,James Gwilt,KEYD,3,0,10,8,2,4,0,0,2015,Round 16
175,156,David Hale,RUC,3,0,9,3,0,0,0,0,2015,Round 16
176,156,Aaron Hall,FWD,3,0,14,5,1,0,0,0,2015,Round 16
177,156,Pearce Hanley,MID,3,1,4,2,0,0,0,0,2015,Round 16
178,156,Dyson Heppell,MID,3,1,16,4,2,0,0,0,2015,Round 16
179,156,Shaun Higgins,FWD,3,1,15,3,0,0,0,0,2015,Round 16
180,156,Brandon Jack,FWD,3,1,19,5,0,0,0,0,2015,Round 16
181,156,Michael Jamison,KEYD,3,0,5,5,4,2,0,0,2015,Round 16
182,156,Josh Jenkins,KEYF,3,1,10,4,4,0,0,0,2015,Round 16
183,156,Jason Johannisen,DEF,3,0,12,10,0,1,1,100,2015,Round 16
184,156,Zak Jones,DEF,3,1,11,7,0,0,0,0,2015,Round 16
185,156,James Kelly,MID,3,0,12,6,1,0,0,0,2015,Round 16
186,156,Josh J. Kennedy,KEYF,3,2,8,1,1,0,0,0,2015,Round 16
187,156,Riley Knight,FWD,3,2,10,4,0,0,0,0,2015,Round 16
188,156,Matthew Kreuzer,RUC,3,1,15,6,1,0,0,0,2015,Round 16
189,156,Rory Laird,DEF,3,0,7,2,1,3,1,33.3,2015,Round 16
190,156,Darcy Lang,FWD,3,1,14,5,1,0,0,0,2015,Round 16
191,156,Tom Lonergan,KEYD,3,0,7,5,8,6,1,16.7,2015,Round 16
192,156,Brandon Matera,FWD,3,1,9,4,0,0,0,0,2015,Round 16
193,156,Matthew McDonough,FWD,3,2,12,2,1,0,0,0,2015,Round 16
194,156,Leigh Montagna,MID,3,0,9,6,0,0,0,0,2015,Round 16
195,156,Jack Newnes,MID,3,1,16,7,0,0,0,0,2015,Round 16
196,156,Adam Oxley,MID,3,1,9,7,2,0,0,0,2015,Round 16
197,156,Daniel Rich,DEF,3,1,11,4,1,1,0,0,2015,Round 16
198,156,Dylan Roberton,DEF,3,0,8,7,2,1,1,100,2015,Round 16
199,156,Aaron Sandilands,RUC,3,0,7,4,1,0,0,0,2015,Round 16
200,156,Rhyce Shaw,DEF,3,1,7,3,2,2,1,50,2015,Round 16
201,156,Jake Stringer,FWD,3,0,12,2,0,1,1,100,2015,Round 16
202,156,Lewis Taylor,FWD,3,0,10,4,1,0,0,0,2015,Round 16
