,Rank,Player,Position,G    ,B,GA,GA%,SAG,SI,SL,Season,Round
0,1,Charles Cameron,FWD,5,1,0,83.3,6,6,0,2017,Preliminary Finals
1,2,Harry Himmelberg,KEYF,4,1,0,80,5,6,0,2017,Preliminary Finals
2,2,Josh Jenkins,KEYF,4,0,0,66.7,6,7,0,2017,Preliminary Finals
3,2,Daniel Rioli,FWD,4,0,0,100,4,9,2,2017,Preliminary Finals
4,5,Dustin Martin,MID,3,3,2,37.5,8,13,3,2017,Preliminary Finals
5,5,Callan Ward,MID,3,1,1,75,4,5,0,2017,Preliminary Finals
6,7,Eddie Betts,FWD,2,0,2,100,2,8,2,2017,Preliminary Finals
7,7,Dan Butler,FWD,2,0,1,100,2,4,0,2017,Preliminary Finals
8,7,Patrick Dangerfield,MID,2,3,0,33.3,6,8,2,2017,Preliminary Finals
9,7,Tom Lynch,FWD,2,0,1,100,2,10,2,2017,Preliminary Finals
10,7,Paul Seedsman,MID,2,1,1,66.7,3,6,1,2017,Preliminary Finals
11,7,Taylor Walker,KEYF,2,0,3,66.7,3,10,1,2017,Preliminary Finals
12,13,Josh Caddy,FWD,1,1,2,50,2,7,1,2017,Preliminary Finals
13,13,Jason Castagna,FWD,1,1,1,20,5,8,2,2017,Preliminary Finals
14,13,Nakia Cockatoo,FWD,1,0,1,100,1,3,0,2017,Preliminary Finals
15,13,Matt Crouch,MID,1,0,1,100,1,7,3,2017,Preliminary Finals
16,13,Mitch Duncan,MID,1,2,0,33.3,3,7,1,2017,Preliminary Finals
17,13,Shane Edwards,FWD,1,1,0,50,2,8,3,2017,Preliminary Finals
18,13,Tom Hawkins,KEYF,1,0,0,100,1,2,0,2017,Preliminary Finals
19,13,Lachie Henderson,KEYD,1,0,0,100,1,6,3,2017,Preliminary Finals
20,13,Sam Jacobs,RUC,1,0,0,100,1,7,4,2017,Preliminary Finals
21,13,Josh Kelly,MID,1,1,0,50,2,6,1,2017,Preliminary Finals
22,13,Riley Knight,FWD,1,0,0,100,1,4,0,2017,Preliminary Finals
23,13,Kane Lambert,FWD,1,0,3,100,1,9,3,2017,Preliminary Finals
24,13,Darcy Lang,FWD,1,3,0,25,4,5,2,2017,Preliminary Finals
25,13,Sam Menegola,FWD,1,1,0,50,2,5,1,2017,Preliminary Finals
26,13,Steven Motlop,FWD,1,0,2,100,1,9,2,2017,Preliminary Finals
27,13,Andy Otten,KEYF,1,0,1,100,1,6,2,2017,Preliminary Finals
28,13,Jonathon Patton,KEYF,1,1,0,25,4,5,1,2017,Preliminary Finals
29,13,Jack Riewoldt,KEYF,1,0,0,100,1,4,0,2017,Preliminary Finals
30,13,Joel Selwood,MID,1,1,0,50,2,6,0,2017,Preliminary Finals
31,13,Jacob Townsend,FWD,1,1,0,50,2,6,2,2017,Preliminary Finals
32,33,David Astbury,KEYD,0,0,0,0,0,0,0,2017,Preliminary Finals
33,33,Rory Atkins,MID,0,0,2,0,1,4,1,2017,Preliminary Finals
34,33,Jed Bews,DEF,0,1,0,0,1,4,1,2017,Preliminary Finals
35,33,Mark Blicavs,MID,0,0,0,0,0,2,1,2017,Preliminary Finals
36,33,Nathan Broad,DEF,0,0,0,0,0,1,1,2017,Preliminary Finals
37,33,Luke Brown,DEF,0,0,0,0,0,3,1,2017,Preliminary Finals
38,33,Stephen Coniglio,MID,0,0,0,0,1,2,0,2017,Preliminary Finals
39,33,Aidan Corr,KEYD,0,0,0,0,0,1,0,2017,Preliminary Finals
40,33,Trent Cotchin,MID,0,1,0,0,1,6,2,2017,Preliminary Finals
41,33,Brad Crouch,MID,0,2,0,0,2,7,3,2017,Preliminary Finals
42,33,Phil Davis,KEYD,0,0,0,0,0,6,2,2017,Preliminary Finals
43,33,Brett Deledio,FWD,0,0,0,0,1,1,1,2017,Preliminary Finals
44,33,Richard Douglas,MID,0,1,0,0,1,6,0,2017,Preliminary Finals
45,33,Brandon Ellis,DEF,0,0,0,0,0,2,0,2017,Preliminary Finals
46,33,Jack Graham,MID,0,0,0,0,1,6,3,2017,Preliminary Finals
47,33,Toby Greene,FWD,0,1,0,0,1,6,0,2017,Preliminary Finals
48,33,Hugh Greenwood,MID,0,0,0,0,0,1,0,2017,Preliminary Finals
49,33,Shaun Grigg,MID,0,0,1,0,0,5,0,2017,Preliminary Finals
50,33,Dylan Grimes,DEF,0,1,0,0,1,2,1,2017,Preliminary Finals
51,33,Kyle Hartigan,KEYD,0,0,0,0,0,3,1,2017,Preliminary Finals
52,33,Nick Haynes,DEF,0,0,0,0,0,3,3,2017,Preliminary Finals
53,33,Jacob Hopper,MID,0,0,0,0,0,5,1,2017,Preliminary Finals
54,33,Bachar Houli,DEF,0,0,0,0,0,0,0,2017,Preliminary Finals
55,33,Steve Johnson,FWD,0,0,0,0,1,3,0,2017,Preliminary Finals
56,33,Jake Kelly,DEF,0,0,0,0,0,2,0,2017,Preliminary Finals
57,33,Jake Kolodjashnij,DEF,0,1,0,0,1,1,1,2017,Preliminary Finals
58,33,Rory Laird,DEF,0,0,0,0,0,5,1,2017,Preliminary Finals
59,33,Jake Lever,KEYD,0,0,0,0,0,5,2,2017,Preliminary Finals
60,33,Rory Lobb,KEYF,0,0,1,0,0,4,2,2017,Preliminary Finals
61,33,Tom Lonergan,KEYD,0,0,0,0,0,3,1,2017,Preliminary Finals
62,33,David Mackay,MID,0,0,0,0,0,5,4,2017,Preliminary Finals
63,33,Andrew Mackie,DEF,0,0,0,0,0,3,1,2017,Preliminary Finals
64,33,Kamdyn McIntosh,MID,0,1,0,0,1,3,0,2017,Preliminary Finals
65,33,Daniel Menzel,FWD,0,1,0,0,2,1,1,2017,Preliminary Finals
66,33,Toby Nankervis,RUC,0,0,0,0,0,3,2,2017,Preliminary Finals
67,33,Brandan Parfitt,FWD,0,0,1,0,1,5,1,2017,Preliminary Finals
68,33,Dion Prestia,MID,0,0,2,0,1,6,1,2017,Preliminary Finals
69,33,Alex Rance,KEYD,0,0,0,0,0,1,1,2017,Preliminary Finals
70,33,Tom Scully,MID,0,1,2,0,1,8,1,2017,Preliminary Finals
71,33,Scott Selwood,MID,0,0,0,0,0,2,0,2017,Preliminary Finals
72,33,Heath Shaw,DEF,0,0,0,0,0,3,1,2017,Preliminary Finals
73,33,Dylan Shiel,MID,0,1,0,0,2,2,0,2017,Preliminary Finals
74,33,Rory Sloane,MID,0,1,0,0,1,6,1,2017,Preliminary Finals
75,33,Zac Smith,RUC,0,0,1,0,0,4,3,2017,Preliminary Finals
76,33,Rhys Stanley,RUC,0,1,1,0,1,5,2,2017,Preliminary Finals
77,33,Tom Stewart,DEF,0,0,0,0,0,2,1,2017,Preliminary Finals
78,33,Daniel Talia,KEYD,0,0,0,0,0,1,1,2017,Preliminary Finals
79,33,Tim Taranto,FWD,0,0,0,0,0,2,0,2017,Preliminary Finals
80,33,Harry Taylor,KEYF,0,0,0,0,0,0,0,2017,Preliminary Finals
81,33,Adam Tomlinson,KEYD,0,0,0,0,0,3,1,2017,Preliminary Finals
82,33,Zach Tuohy,DEF,0,0,0,0,1,5,1,2017,Preliminary Finals
83,33,Nick Vlastuin,DEF,0,0,0,0,0,1,1,2017,Preliminary Finals
84,33,Lachie Whitfield,MID,0,0,2,0,0,5,1,2017,Preliminary Finals
85,33,Zac Williams,DEF,0,1,1,0,2,6,1,2017,Preliminary Finals
86,33,Nathan Wilson,DEF,0,0,1,0,1,3,2,2017,Preliminary Finals
87,33,Matt de Boer,FWD,0,1,0,0,1,8,4,2017,Preliminary Finals
