,Rank,Player,Position,G    ,B,GA,GA%,SAG,SI,SL,Season,Round
0,1,Kyle Langford,KEYF,5,3,0,62.5,8,10,0,2023,Round 21
1,1,Jamarra Ugle-Hagan,KEYF,5,1,1,55.6,9,12,0,2023,Round 21
2,3,Oliver Henry,FWD,4,0,1,80,5,10,0,2023,Round 21
3,3,Hayden McLean,RUC,4,0,1,100,4,8,0,2023,Round 21
4,3,Willie Rioli,FWD,4,0,3,80,5,9,1,2023,Round 21
5,6,Marcus Bontempelli,MID,3,1,1,75,4,11,6,2023,Round 21
6,6,Luke Breust,FWD,3,1,2,60,5,9,2,2023,Round 21
7,6,Kade Chandler,FWD,3,0,1,100,3,4,0,2023,Round 21
8,6,Jamie Elliott,FWD,3,1,0,75,4,6,1,2023,Round 21
9,6,Darcy Fogarty,KEYF,3,2,1,60,5,7,0,2023,Round 21
10,6,Eddie Ford,FWD,3,0,0,100,3,5,1,2023,Round 21
11,6,Toby Greene,FWD,3,1,0,75,4,6,1,2023,Round 21
12,6,Shane McAdam,FWD,3,0,0,100,3,3,0,2023,Round 21
13,6,Aaron Naughton,KEYF,3,2,2,42.9,7,9,1,2023,Round 21
14,6,Alex Neal-Bullen,FWD,3,1,1,75,4,9,1,2023,Round 21
15,6,Kysaiah Pickett,FWD,3,0,2,60,5,8,1,2023,Round 21
16,6,Sam Powell-Pepper,FWD,3,0,1,100,3,6,0,2023,Round 21
17,6,Jack Riewoldt,KEYF,3,2,0,60,5,6,0,2023,Round 21
18,6,Brandon Ryan,KEYF,3,0,0,75,4,3,0,2023,Round 21
19,6,Sam Sturt,FWD,3,0,0,75,4,3,0,2023,Round 21
20,21,Blake Acres,MID,2,0,1,100,2,5,0,2023,Round 21
21,21,Oscar Allen,KEYF,2,1,1,50,4,6,0,2023,Round 21
22,21,Joel Amartey,KEYF,2,0,0,100,2,3,0,2023,Round 21
23,21,Callum M. Brown,FWD,2,0,0,66.7,3,3,0,2023,Round 21
24,21,Dan Butler,FWD,2,0,1,100,2,4,2,2023,Round 21
25,21,Charlie Cameron,FWD,2,2,2,40,5,9,1,2023,Round 21
26,21,Jeremy Cameron,KEYF,2,2,1,28.6,7,9,0,2023,Round 21
27,21,Levi Casboult,KEYF,2,1,1,66.7,3,7,1,2023,Round 21
28,21,Jamie Cripps,FWD,2,2,3,40,5,9,2,2023,Round 21
29,21,Caleb Daniel,FWD,2,0,0,100,2,6,0,2023,Round 21
30,21,Joe Daniher,KEYF,2,1,0,66.7,3,6,0,2023,Round 21
31,21,Jack Darling,KEYF,2,0,0,100,2,3,1,2023,Round 21
32,21,Jordan De Goey,MID,2,0,0,100,2,4,0,2023,Round 21
33,21,Michael Frederick,FWD,2,1,0,66.7,3,4,0,2023,Round 21
34,21,Todd Goldstein,RUC,2,0,0,100,2,7,6,2023,Round 21
35,21,Errol Gulden,MID,2,2,0,50,4,8,0,2023,Round 21
36,21,Jack Gunston,KEYF,2,0,1,66.7,3,4,0,2023,Round 21
