,Rank,Player,Position,G    ,B,GA,GA%,SAG,SI,SL,Season,Round
0,1,Peter Wright,RUC,7,0,0,87.5,8,9,4,2021,Round 21
1,2,Joe Daniher,KEYF,4,1,0,80,5,10,0,2021,Round 21
2,2,Toby Greene,FWD,4,1,0,80,5,8,3,2021,Round 21
3,2,Jack Higgins,FWD,4,1,0,66.7,6,5,0,2021,Round 21
4,2,Cameron Zurhaar,FWD,4,0,0,100,4,4,0,2021,Round 21
5,6,Ben Brown,KEYF,3,0,1,60,5,6,1,2021,Round 21
6,6,Josh Bruce,KEYF,3,2,0,42.9,7,6,2,2021,Round 21
7,6,Travis Colyer,FWD,3,1,1,75,4,6,1,2021,Round 21
8,6,Jack Ginnivan,FWD,3,0,0,100,3,4,0,2021,Round 21
9,6,Dean Kent,FWD,3,0,2,75,4,7,1,2021,Round 21
10,6,Jacob Koschitzke,KEYF,3,0,0,75,4,5,0,2021,Round 21
11,6,Lincoln McCarthy,FWD,3,2,0,50,6,6,1,2021,Round 21
12,13,Zac Bailey,FWD,2,2,1,40,5,9,1,2021,Round 21
13,13,Liam Baker,DEF,2,0,2,100,2,9,2,2021,Round 21
14,13,Callum M. Brown,FWD,2,0,0,100,2,3,0,2021,Round 21
15,13,Zak Butters,FWD,2,0,0,100,2,4,2,2021,Round 21
16,13,Charlie Cameron,FWD,2,0,2,50,4,7,1,2021,Round 21
17,13,Nakia Cockatoo,FWD,2,0,0,100,2,5,0,2021,Round 21
18,13,Callum Coleman-Jones,KEYF,2,0,0,100,2,5,1,2021,Round 21
19,13,Jamie Cripps,FWD,2,2,0,33.3,6,6,1,2021,Round 21
20,13,Jack Darling,KEYF,2,1,0,66.7,3,6,0,2021,Round 21
21,13,Jordan Dawson,DEF,2,1,1,66.7,3,5,1,2021,Round 21
22,13,Shane Edwards,MID,2,0,0,100,2,3,1,2021,Round 21
23,13,Jamie Elliott,FWD,2,1,0,66.7,3,4,0,2021,Round 21
24,13,Aaron Francis,KEYD,2,0,1,66.7,3,4,0,2021,Round 21
25,13,Errol Gulden,FWD,2,1,1,66.7,3,4,0,2021,Round 21
26,13,Will Hayward,FWD,2,1,1,66.7,3,4,2,2021,Round 21
27,13,Jack Henry,KEYD,2,0,1,100,2,4,1,2021,Round 21
28,13,Harry Himmelberg,KEYF,2,1,2,66.7,3,7,1,2021,Round 21
