,Rank,Player,Position,G    ,B,GA,GA%,SAG,SI,SL,Season,Round
0,1,Charlie Cameron,FWD,3,0,0,100,3,5,2,2020,Finals Week 1
1,1,Mason Cox,KEYF,3,0,1,100,3,4,0,2020,Finals Week 1
2,1,Jack Darling,KEYF,3,2,1,60,5,7,0,2020,Finals Week 1
3,1,Josh J. Kennedy,KEYF,3,4,0,42.9,7,8,1,2020,Finals Week 1
4,1,Brody Mihocek,KEYF,3,0,0,100,3,5,0,2020,Finals Week 1
5,1,Steven Motlop,FWD,3,0,1,75,4,5,0,2020,Finals Week 1
6,7,Oscar Allen,KEYF,2,0,0,100,2,5,2,2020,Finals Week 1
7,7,Jordan De Goey,FWD,2,0,1,100,2,6,0,2020,Finals Week 1
8,7,Brad Ebert,FWD,2,2,0,50,4,6,1,2020,Finals Week 1
9,7,Jarryn Geary,DEF,2,1,1,66.7,3,7,1,2020,Finals Week 1
10,7,Max King,KEYF,2,1,0,66.7,3,4,1,2020,Finals Week 1
11,7,Tim Membrey,KEYF,2,1,1,50,4,9,0,2020,Finals Week 1
12,7,Jack Riewoldt,KEYF,2,2,0,50,4,4,0,2020,Finals Week 1
13,7,Daniel Rioli,FWD,2,0,0,100,2,2,1,2020,Finals Week 1
14,7,Paddy Ryder,RUC,2,0,1,100,2,7,3,2020,Finals Week 1
15,7,Rhys Stanley,RUC,2,1,0,66.7,3,5,2,2020,Finals Week 1
16,17,Taylor Adams,MID,1,0,0,100,1,7,2,2020,Finals Week 1
17,17,Brayden Ainsworth,FWD,1,0,1,50,2,2,0,2020,Finals Week 1
18,17,Zac Bailey,FWD,1,0,0,100,1,3,0,2020,Finals Week 1
19,17,Liam Baker,DEF,1,0,0,100,1,2,0,2020,Finals Week 1
20,17,Josh Bruce,KEYF,1,0,0,100,1,1,0,2020,Finals Week 1
21,17,Dan Butler,FWD,1,1,0,50,2,5,0,2020,Finals Week 1
22,17,Jason Castagna,FWD,1,0,1,100,1,4,0,2020,Finals Week 1
23,17,Trent Cotchin,MID,1,0,1,100,1,3,1,2020,Finals Week 1
24,17,Jamie Cripps,FWD,1,2,2,33.3,3,7,1,2020,Finals Week 1
25,17,Hayden Crozier,DEF,1,1,0,50,2,4,1,2020,Finals Week 1
26,17,Patrick Dangerfield,MID,1,0,0,100,1,6,1,2020,Finals Week 1
27,17,Caleb Daniel,DEF,1,0,0,100,1,4,2,2020,Finals Week 1
28,17,Charlie Dixon,KEYF,1,0,0,100,1,4,0,2020,Finals Week 1
29,17,Josh Dunkley,FWD,1,1,2,50,2,5,0,2020,Finals Week 1
30,17,Jamie Elliott,FWD,1,1,0,50,2,4,2,2020,Finals Week 1
31,17,Will Hoskin-Elliott,FWD,1,1,1,50,2,7,0,2020,Finals Week 1
32,17,Lachie Hunter,MID,1,1,0,50,2,4,0,2020,Finals Week 1
33,17,Jason Johannisen,DEF,1,0,0,100,1,4,0,2020,Finals Week 1
34,17,Peter Ladhams,RUC,1,1,0,50,2,5,2,2020,Finals Week 1
35,17,Tom Liberatore,MID,1,0,0,100,1,3,2,2020,Finals Week 1
36,17,Jack Lonie,FWD,1,1,2,50,2,6,0,2020,Finals Week 1
37,17,Todd Marshall,KEYF,1,0,0,100,1,1,0,2020,Finals Week 1
38,17,Hugh McCluggage,MID,1,1,1,50,2,7,3,2020,Finals Week 1
39,17,Oscar McInerney,RUC,1,0,0,100,1,3,2,2020,Finals Week 1
40,17,Kamdyn McIntosh,MID,1,1,1,50,2,3,0,2020,Finals Week 1
41,17,Daniel McStay,KEYF,1,0,0,100,1,1,0,2020,Finals Week 1
42,17,Aaron Naughton,KEYF,1,0,1,100,1,2,0,2020,Finals Week 1
43,17,Lachie Neale,MID,1,0,0,100,1,5,2,2020,Finals Week 1
44,17,John Noble,DEF,1,0,0,100,1,2,0,2020,Finals Week 1
45,17,Cam Rayner,FWD,1,0,2,100,1,3,0,2020,Finals Week 1
46,17,Daniel Rich,DEF,1,0,0,100,1,4,1,2020,Finals Week 1
47,17,Connor Rozee,FWD,1,0,0,100,1,4,0,2020,Finals Week 1
48,17,Liam Ryan,FWD,1,0,2,100,1,6,1,2020,Finals Week 1
49,17,Joel Selwood,MID,1,1,0,50,2,6,2,2020,Finals Week 1
50,17,Zach Tuohy,MID,1,1,0,50,2,3,1,2020,Finals Week 1
51,17,Mitch Wallis,FWD,1,2,1,33.3,3,4,0,2020,Finals Week 1
52,53,Jake Aarts,FWD,0,0,0,0,0,0,0,2020,Finals Week 1
53,53,Gary Ablett,FWD,0,0,0,0,1,4,1,2020,Finals Week 1
54,53,Callum Ah Chee,DEF,0,0,0,0,0,2,1,2020,Finals Week 1
55,53,Brendon Ah Chee,FWD,0,0,0,0,1,3,0,2020,Finals Week 1
56,53,Karl Amon,MID,0,0,0,0,0,1,0,2020,Finals Week 1
57,53,Harris Andrews,KEYD,0,0,0,0,0,3,1,2020,Finals Week 1
