,Rank,Player,Position,G    ,B,GA,GA%,SAG,SI,SL,Season,Round
0,1,Ben Brown,KEYF,4,1,0,80,5,6,0,2014,Finals Week 1
1,1,Joe Daniher,KEYF,4,1,1,66.7,6,9,1,2014,Finals Week 1
2,1,Matthew Pavlich,KEYF,4,1,0,80,5,6,0,2014,Finals Week 1
3,4,Lance Franklin,KEYF,3,3,0,50,6,10,0,2014,Finals Week 1
4,4,Jack Gunston,FWD,3,1,0,75,4,7,0,2014,Finals Week 1
5,4,Jordan Lewis,MID,3,0,0,100,3,7,1,2014,Finals Week 1
6,4,Ben McGlynn,MID,3,0,0,75,4,6,2,2014,Finals Week 1
7,4,Jake Neade,FWD,3,0,0,100,3,9,2,2014,Finals Week 1
8,4,Jack Riewoldt,KEYF,3,2,1,60,5,6,0,2014,Finals Week 1
9,4,Joel Selwood,MID,3,0,3,100,3,8,4,2014,Finals Week 1
10,4,Lindsay Thomas,FWD,3,1,0,50,6,6,2,2014,Finals Week 1
11,12,Jimmy Bartel,FWD,2,0,0,100,2,7,0,2014,Finals Week 1
12,12,Paul Chapman,FWD,2,1,0,66.7,3,10,4,2014,Finals Week 1
13,12,Travis Colyer,FWD,2,0,1,100,2,6,0,2014,Finals Week 1
14,12,Brad Ebert,MID,2,0,0,100,2,5,0,2014,Finals Week 1
15,12,Nathan Gordon,FWD,2,0,1,100,2,6,1,2014,Finals Week 1
16,12,Angus Monfries,FWD,2,2,0,40,5,9,2,2014,Finals Week 1
17,12,Tendai Mzungu,MID,2,0,0,100,2,3,2,2014,Finals Week 1
18,12,Drew Petrie,KEYF,2,2,0,50,4,7,0,2014,Finals Week 1
19,12,Jared Polec,MID,2,0,1,100,2,5,1,2014,Finals Week 1
20,12,Paul Puopolo,FWD,2,0,0,100,2,3,0,2014,Finals Week 1
21,12,Jarryd Roughead,KEYF,2,3,0,40,5,6,0,2014,Finals Week 1
22,12,Jay Schulz,KEYF,2,1,2,50,4,6,0,2014,Finals Week 1
23,12,Justin Westhoff,KEYF,2,1,0,66.7,3,8,2,2014,Finals Week 1
24,12,Ollie Wines,MID,2,0,3,66.7,3,8,2,2014,Finals Week 1
25,12,Chad Wingard,FWD,2,2,1,50,4,12,3,2014,Finals Week 1
26,27,Tom Bellchambers,RUC,1,1,0,50,2,3,0,2014,Finals Week 1
27,27,Mark Blicavs,RUC,1,0,0,50,2,4,0,2014,Finals Week 1
28,27,Travis Boak,MID,1,0,2,100,1,13,2,2014,Finals Week 1
29,27,Luke Breust,FWD,1,1,0,33.3,3,4,1,2014,Finals Week 1
30,27,Reece Conca,MID,1,1,1,50,2,5,1,2014,Finals Week 1
31,27,Ben Cunnington,MID,1,0,1,50,2,8,4,2014,Finals Week 1
32,27,Nick Dal Santo,FWD,1,0,0,100,1,5,1,2014,Finals Week 1
33,27,Brett Deledio,FWD,1,1,1,50,2,9,1,2014,Finals Week 1
34,27,Shane Edwards,FWD,1,0,0,100,1,4,1,2014,Finals Week 1
35,27,Nat Fyfe,MID,1,0,0,50,2,4,1,2014,Finals Week 1
36,27,Sam Gibson,MID,1,0,0,100,1,4,1,2014,Finals Week 1
37,27,Brendon Goddard,MID,1,0,1,100,1,4,0,2014,Finals Week 1
38,27,Adam Goodes,FWD,1,1,1,50,2,5,1,2014,Finals Week 1
39,27,Robbie Gray,FWD,1,2,4,33.3,3,14,1,2014,Finals Week 1
40,27,Levi Greenwood,MID,1,0,0,100,1,6,0,2014,Finals Week 1
41,27,Ben Griffiths,KEYF,1,2,0,33.3,3,5,1,2014,Finals Week 1
42,27,Shaun Grigg,MID,1,0,0,100,1,3,1,2014,Finals Week 1
43,27,David Hale,RUC,1,0,0,50,2,5,0,2014,Finals Week 1
44,27,Dan Hannebery,MID,1,1,2,50,2,7,2,2014,Finals Week 1
45,27,Tom Hawkins,KEYF,1,2,1,33.3,3,5,0,2014,Finals Week 1
46,27,Luke Hodge,MID,1,1,0,50,2,6,1,2014,Finals Week 1
47,27,Ben Howlett,FWD,1,0,0,100,1,4,1,2014,Finals Week 1
48,27,Kieren Jack,MID,1,2,1,33.3,3,9,2,2014,Finals Week 1
49,27,Lewis Jetta,FWD,1,2,1,33.3,3,6,1,2014,Finals Week 1
50,27,Steve Johnson,MID,1,0,0,100,1,4,1,2014,Finals Week 1
51,27,Will Langford,MID,1,1,1,50,2,5,3,2014,Finals Week 1
52,27,Ivan Maric,RUC,1,0,0,100,1,6,3,2014,Finals Week 1
53,27,David Mundy,MID,1,0,0,100,1,3,0,2014,Finals Week 1
54,27,Jordan Murdoch,FWD,1,0,0,100,1,2,0,2014,Finals Week 1
55,27,Luke Parker,FWD,1,1,0,50,2,7,2,2014,Finals Week 1
56,27,Mike Pyke,RUC,1,1,0,50,2,4,1,2014,Finals Week 1
57,27,Paddy Ryder,RUC,1,1,0,50,2,5,1,2014,Finals Week 1
58,27,Isaac Smith,FWD,1,0,0,50,2,7,0,2014,Finals Week 1
59,27,Cam Sutcliffe,DEF,1,0,0,100,1,3,1,2014,Finals Week 1
60,27,Kurt Tippett,KEYF,1,1,0,33.3,3,3,1,2014,Finals Week 1
61,27,Josh Walker,KEYF,1,0,0,100,1,3,0,2014,Finals Week 1
62,27,Michael Walters,FWD,1,1,3,50,2,5,2,2014,Finals Week 1
63,27,Matthew White,FWD,1,0,0,100,1,3,1,2014,Finals Week 1
64,27,Jack Ziebell,MID,1,0,1,100,1,5,1,2014,Finals Week 1
65,66,Shaun Atley,DEF,0,1,0,0,1,7,0,2014,Finals Week 1
66,66,Mark Baguley,DEF,0,0,0,0,0,2,2,2014,Finals Week 1
67,66,Hayden Ballantyne,FWD,0,1,0,0,1,3,0,2014,Finals Week 1
68,66,Michael Barlow,MID,0,0,0,0,0,3,1,2014,Finals Week 1
69,66,Ryan Bastinac,MID,0,0,0,0,0,0,0,2014,Finals Week 1
70,66,Jake Batchelor,DEF,0,0,0,0,0,0,0,2014,Finals Week 1
71,66,Grant Birchall,DEF,0,0,1,0,0,9,3,2014,Finals Week 1
72,66,Craig Bird,MID,0,0,0,0,0,3,0,2014,Finals Week 1
73,66,Aaron Black,KEYF,0,0,0,0,0,5,0,2014,Finals Week 1
74,66,Matthew Broadbent,DEF,0,1,0,0,1,2,0,2014,Finals Week 1
75,66,Shaun Burgoyne,DEF,0,0,1,0,0,4,2,2014,Finals Week 1
76,66,Josh Caddy,MID,0,0,0,0,0,3,0,2014,Finals Week 1
77,66,Alipate Carlile,KEYD,0,0,0,0,0,4,1,2014,Finals Week 1
78,66,Jonathon Ceglar,RUC,0,0,0,0,0,5,2,2014,Finals Week 1
79,66,Troy Chaplin,KEYD,0,0,0,0,0,2,0,2014,Finals Week 1
80,66,Zac Clarke,RUC,0,0,0,0,0,1,0,2014,Finals Week 1
81,66,Kane Cornes,MID,0,0,0,0,0,8,2,2014,Finals Week 1
82,66,Trent Cotchin,MID,0,0,0,0,0,0,0,2014,Finals Week 1
