,Rank,Player,Position,G    ,B,GA,GA%,SAG,SI,SL,Season,Round
0,1,Eric Hipwood,KEYF,4,1,2,80,5,10,0,2022,Semi Finals
1,2,Charlie Cameron,FWD,3,1,0,75,4,4,0,2022,Semi Finals
2,2,Jack Ginnivan,FWD,3,1,0,60,5,6,1,2022,Semi Finals
3,4,Zac Bailey,FWD,2,0,0,100,2,3,0,2022,Semi Finals
4,4,Jack Crisp,MID,2,0,0,100,2,7,1,2022,Semi Finals
5,4,Jamie Elliott,FWD,2,2,0,50,4,6,2,2022,Semi Finals
6,4,Michael Frederick,FWD,2,0,0,66.7,3,3,0,2022,Semi Finals
7,4,Bayley Fritsch,FWD,2,0,0,100,2,3,1,2022,Semi Finals
8,4,Ed Langdon,MID,2,1,0,66.7,3,5,1,2022,Semi Finals
9,4,Griffin Logue,KEYD,2,0,0,100,2,4,0,2022,Semi Finals
10,4,Daniel McStay,KEYF,2,1,2,66.7,3,8,2,2022,Semi Finals
11,4,Brody Mihocek,KEYF,2,1,0,50,4,7,1,2022,Semi Finals
12,4,Alex Neal-Bullen,FWD,2,1,1,66.7,3,8,0,2022,Semi Finals
13,4,Kysaiah Pickett,FWD,2,1,0,40,5,4,0,2022,Semi Finals
14,4,Lachie Schultz,FWD,2,0,1,66.7,3,4,1,2022,Semi Finals
15,4,Michael Walters,FWD,2,0,0,66.7,3,4,0,2022,Semi Finals
16,17,Callum Ah Chee,MID,1,0,0,100,1,1,0,2022,Semi Finals
17,17,Angus Brayshaw,DEF,1,0,0,50,2,4,1,2022,Semi Finals
18,17,Mason Cox,RUC,1,0,0,50,2,4,2,2022,Semi Finals
19,17,Jordan De Goey,MID,1,0,2,100,1,12,4,2022,Semi Finals
20,17,Darcy Fort,RUC,1,0,0,100,1,2,2,2022,Semi Finals
21,17,Hugh McCluggage,MID,1,1,1,50,2,8,1,2022,Semi Finals
22,17,Jake Melksham,FWD,1,0,1,100,1,2,0,2022,Semi Finals
23,17,David Mundy,MID,1,0,0,100,1,2,0,2022,Semi Finals
24,17,Harrison Petty,KEYD,1,0,1,100,1,3,0,2022,Semi Finals
25,26,Blake Acres,MID,0,0,1,0,0,5,2,2022,Semi Finals
26,26,James Aish,MID,0,0,0,0,0,1,0,2022,Semi Finals
27,26,Jye Amiss,KEYF,0,0,2,0,0,4,0,2022,Semi Finals
28,26,Harris Andrews,KEYD,0,0,0,0,0,4,2,2022,Semi Finals
29,26,Noah Answerth,DEF,0,0,1,0,0,2,1,2022,Semi Finals
30,26,Bailey Banfield,FWD,0,0,0,0,0,0,0,2022,Semi Finals
31,26,Jarrod Berry,MID,0,1,0,0,1,6,2,2022,Semi Finals
32,26,Trent Bianco,FWD,0,0,0,0,0,4,1,2022,Semi Finals
