,Rank,Player,Position,G    ,B,GA,GA%,SAG,SI,SL,Season,Round
0,1,Jack Gunston,FWD,4,2,3,66.7,6,12,0,2013,Preliminary Finals
1,1,Steve Johnson,MID,4,1,1,80,5,9,1,2013,Preliminary Finals
2,3,Shaun Burgoyne,MID,3,0,1,100,3,10,2,2013,Preliminary Finals
3,3,Michael Walters,FWD,3,2,0,60,5,7,1,2013,Preliminary Finals
4,5,Harry Cunningham,DEF,2,0,0,100,2,3,1,2013,Preliminary Finals
5,5,Nat Fyfe,MID,2,0,0,66.7,3,9,1,2013,Preliminary Finals
6,5,David Hale,RUC,2,2,2,50,4,11,1,2013,Preliminary Finals
7,5,Bradley Hill,MID,2,1,0,66.7,3,8,2,2013,Preliminary Finals
8,5,Steven Motlop,FWD,2,0,3,100,2,9,1,2013,Preliminary Finals
9,5,Matthew Pavlich,KEYF,2,2,0,50,4,7,0,2013,Preliminary Finals
10,5,Gary Rohan,FWD,2,1,2,50,4,4,0,2013,Preliminary Finals
11,5,Nicholas Suban,MID,2,1,1,66.7,3,6,0,2013,Preliminary Finals
12,13,Hayden Ballantyne,FWD,1,2,0,33.3,3,6,0,2013,Preliminary Finals
13,13,Michael Barlow,MID,1,1,2,50,2,8,2,2013,Preliminary Finals
14,13,Jimmy Bartel,DEF,1,0,0,100,1,3,0,2013,Preliminary Finals
15,13,Jude Bolton,FWD,1,0,0,100,1,4,0,2013,Preliminary Finals
16,13,Luke Breust,FWD,1,3,2,20,5,11,1,2013,Preliminary Finals
17,13,Josh Caddy,MID,1,0,0,100,1,3,1,2013,Preliminary Finals
18,13,Allen Christensen,FWD,1,0,0,33.3,3,2,0,2013,Preliminary Finals
19,13,Ryan Crowley,MID,1,0,0,100,1,6,0,2013,Preliminary Finals
20,13,Paul Duffield,DEF,1,0,0,100,1,7,1,2013,Preliminary Finals
21,13,Lance Franklin,KEYF,1,0,0,50,2,8,3,2013,Preliminary Finals
22,13,Brent Guerra,DEF,1,0,0,100,1,4,0,2013,Preliminary Finals
23,13,Cameron Guthrie,DEF,1,0,0,100,1,2,1,2013,Preliminary Finals
24,13,Dan Hannebery,MID,1,1,1,50,2,3,0,2013,Preliminary Finals
25,13,Tom Hawkins,KEYF,1,1,1,50,2,5,1,2013,Preliminary Finals
26,13,Lewis Jetta,FWD,1,0,0,50,2,1,0,2013,Preliminary Finals
27,13,Ben McGlynn,FWD,1,0,2,100,1,4,1,2013,Preliminary Finals
28,13,Jarrad McVeigh,DEF,1,0,0,50,2,6,1,2013,Preliminary Finals
29,13,Jordan Murdoch,FWD,1,0,0,100,1,6,2,2013,Preliminary Finals
30,13,Lachie Neale,MID,1,0,0,100,1,2,1,2013,Preliminary Finals
31,13,Luke Parker,MID,1,2,0,33.3,3,5,1,2013,Preliminary Finals
32,13,Mike Pyke,RUC,1,0,0,50,2,3,1,2013,Preliminary Finals
33,13,Joel Selwood,MID,1,0,0,100,1,5,1,2013,Preliminary Finals
34,13,Harry Taylor,KEYD,1,0,0,100,1,1,0,2013,Preliminary Finals
35,13,Nathan Vardy,RUC,1,0,1,100,1,4,2,2013,Preliminary Finals
36,37,Max Bailey,RUC,0,0,1,0,0,2,2,2013,Preliminary Finals
37,37,Shane Biggs,DEF,0,0,0,0,0,2,0,2013,Preliminary Finals
38,37,Grant Birchall,DEF,0,0,0,0,0,4,2,2013,Preliminary Finals
39,37,Craig Bird,FWD,0,0,0,0,0,0,0,2013,Preliminary Finals
40,37,Mark Blicavs,RUC,0,0,0,0,0,2,1,2013,Preliminary Finals
41,37,Zac Clarke,RUC,0,0,2,0,0,5,3,2013,Preliminary Finals
42,37,Joel Corey,MID,0,0,0,0,0,6,2,2013,Preliminary Finals
43,37,Zac Dawson,KEYD,0,0,0,0,0,1,1,2013,Preliminary Finals
44,37,Mitch Duncan,MID,0,0,0,0,0,5,1,2013,Preliminary Finals
45,37,Andrejs Everitt,DEF,0,0,1,0,0,6,3,2013,Preliminary Finals
46,37,Josh Gibson,KEYD,0,0,0,0,0,5,3,2013,Preliminary Finals
47,37,Heath Grundy,KEYD,0,0,0,0,0,2,1,2013,Preliminary Finals
48,37,Stephen Hill,MID,0,0,1,0,0,5,0,2013,Preliminary Finals
49,37,Luke Hodge,DEF,0,0,0,0,0,2,2,2013,Preliminary Finals
50,37,Josh Hunt,DEF,0,0,0,0,0,0,0,2013,Preliminary Finals
51,37,Kieren Jack,MID,0,0,0,0,0,2,1,2013,Preliminary Finals
52,37,Michael Johnson,KEYD,0,0,1,0,0,4,2,2013,Preliminary Finals
53,37,James Kelly,MID,0,0,0,0,0,1,0,2013,Preliminary Finals
54,37,Josh P. Kennedy,MID,0,0,1,0,0,3,1,2013,Preliminary Finals
55,37,Brian Lake,KEYD,0,0,0,0,0,3,1,2013,Preliminary Finals
56,37,Jordan Lewis,MID,0,1,0,0,1,6,1,2013,Preliminary Finals
57,37,Tom Lonergan,KEYD,0,0,0,0,0,0,0,2013,Preliminary Finals
58,37,Andrew Mackie,DEF,0,0,0,0,0,3,1,2013,Preliminary Finals
59,37,Nick Malceski,DEF,0,0,0,0,0,2,2,2013,Preliminary Finals
60,37,Chris Mayne,FWD,0,2,0,0,2,8,2,2013,Preliminary Finals
61,37,Luke McPharlin,KEYD,0,0,0,0,0,2,1,2013,Preliminary Finals
62,37,Sam Mitchell,MID,0,0,1,0,0,11,2,2013,Preliminary Finals
63,37,Shane Mumford,RUC,0,0,0,0,0,2,1,2013,Preliminary Finals
64,37,David Mundy,MID,0,1,0,0,1,8,1,2013,Preliminary Finals
65,37,Tendai Mzungu,MID,0,0,1,0,0,4,2,2013,Preliminary Finals
66,37,Ryan O'Keefe,MID,0,1,0,0,1,3,0,2013,Preliminary Finals
67,37,Danyle Pearce,MID,0,0,1,0,0,5,2,2013,Preliminary Finals
68,37,James Podsiadly,KEYF,0,1,1,0,2,6,2,2013,Preliminary Finals
69,37,Paul Puopolo,FWD,0,0,0,0,1,9,4,2013,Preliminary Finals
70,37,Dane Rampe,DEF,0,0,0,0,0,5,2,2013,Preliminary Finals
71,37,Ted Richards,KEYD,0,0,0,0,0,7,3,2013,Preliminary Finals
