,Rank,Player,Position,G    ,B,GA,GA%,SAG,SI,SL,Season,Round
0,1,Jack Graham,MID,3,0,0,100,3,4,1,2017,Grand Final
1,2,Dustin Martin,MID,2,2,2,50,4,9,3,2017,Grand Final
2,2,Jack Riewoldt,KEYF,2,3,0,40,5,7,1,2017,Grand Final
3,2,Rory Sloane,MID,2,0,0,100,2,6,1,2017,Grand Final
4,2,Jacob Townsend,FWD,2,0,0,100,2,5,1,2017,Grand Final
5,2,Taylor Walker,KEYF,2,0,0,66.7,3,3,0,2017,Grand Final
6,7,Eddie Betts,FWD,1,2,0,33.3,3,3,1,2017,Grand Final
7,7,Dan Butler,FWD,1,0,1,100,1,3,1,2017,Grand Final
8,7,Josh Caddy,FWD,1,1,0,33.3,3,6,2,2017,Grand Final
9,7,Charles Cameron,FWD,1,0,1,100,1,5,0,2017,Grand Final
10,7,Jason Castagna,FWD,1,0,0,100,1,3,0,2017,Grand Final
11,7,Brad Crouch,MID,1,0,0,100,1,1,0,2017,Grand Final
12,7,Hugh Greenwood,MID,1,0,0,100,1,2,1,2017,Grand Final
13,7,Shaun Grigg,MID,1,0,1,50,2,5,1,2017,Grand Final
14,7,Bachar Houli,DEF,1,2,0,33.3,3,4,0,2017,Grand Final
15,7,Kane Lambert,FWD,1,0,2,100,1,7,3,2017,Grand Final
16,7,Dion Prestia,MID,1,2,1,33.3,3,8,3,2017,Grand Final
17,18,David Astbury,KEYD,0,0,0,0,0,0,0,2017,Grand Final
18,18,Rory Atkins,MID,0,0,0,0,2,1,1,2017,Grand Final
19,18,Nathan Broad,DEF,0,0,0,0,0,2,1,2017,Grand Final
20,18,Luke Brown,DEF,0,0,0,0,0,0,0,2017,Grand Final
21,18,Trent Cotchin,MID,0,0,1,0,0,4,1,2017,Grand Final
22,18,Matt Crouch,MID,0,0,1,0,0,6,1,2017,Grand Final
23,18,Richard Douglas,MID,0,0,0,0,0,6,2,2017,Grand Final
24,18,Shane Edwards,FWD,0,0,2,0,1,10,4,2017,Grand Final
25,18,Brandon Ellis,DEF,0,0,0,0,0,1,1,2017,Grand Final
26,18,Dylan Grimes,DEF,0,0,0,0,0,1,0,2017,Grand Final
27,18,Kyle Hartigan,KEYD,0,0,0,0,0,0,0,2017,Grand Final
28,18,Sam Jacobs,RUC,0,1,0,0,1,7,7,2017,Grand Final
29,18,Josh Jenkins,KEYF,0,1,0,0,1,2,0,2017,Grand Final
30,18,Jake Kelly,DEF,0,0,0,0,0,0,0,2017,Grand Final
31,18,Riley Knight,FWD,0,1,0,0,1,1,0,2017,Grand Final
32,18,Rory Laird,DEF,0,0,0,0,0,3,3,2017,Grand Final
33,18,Jake Lever,KEYD,0,0,1,0,0,1,1,2017,Grand Final
34,18,Tom Lynch,FWD,0,1,0,0,1,4,0,2017,Grand Final
35,18,David Mackay,MID,0,1,0,0,1,2,0,2017,Grand Final
36,18,Kamdyn McIntosh,MID,0,0,0,0,0,1,0,2017,Grand Final
37,18,Toby Nankervis,RUC,0,0,1,0,0,4,2,2017,Grand Final
38,18,Andy Otten,KEYF,0,0,1,0,0,1,0,2017,Grand Final
39,18,Alex Rance,KEYD,0,0,0,0,0,1,1,2017,Grand Final
40,18,Daniel Rioli,FWD,0,0,0,0,0,1,1,2017,Grand Final
41,18,Paul Seedsman,MID,0,0,0,0,0,3,0,2017,Grand Final
42,18,Daniel Talia,KEYD,0,0,0,0,0,0,0,2017,Grand Final
43,18,Nick Vlastuin,DEF,0,0,1,0,0,4,1,2017,Grand Final
