,Rank,Player,Position,G    ,B,GA,GA%,SAG,SI,SL,Season,Round
0,1,Josh J. Kennedy,KEYF,8,2,0,80,10,10,0,2014,Round 23
1,2,Tom Hawkins,KEYF,7,2,0,77.8,9,15,1,2014,Round 23
2,3,Jay Schulz,KEYF,6,1,1,85.7,7,13,0,2014,Round 23
3,4,Eddie Betts,FWD,5,1,4,71.4,7,11,0,2014,Round 23
4,4,Jack Gunston,FWD,5,1,0,83.3,6,10,3,2014,Round 23
5,4,Will Hoskin-Elliott,FWD,5,0,1,71.4,7,7,1,2014,Round 23
6,7,Hayden Ballantyne,FWD,4,1,0,80,5,7,0,2014,Round 23
7,7,Stewart Crameri,FWD,4,1,0,80,5,8,0,2014,Round 23
8,7,Mark LeCras,FWD,4,0,2,80,5,11,1,2014,Round 23
9,7,Jack Martin,FWD,4,0,0,80,5,10,0,2014,Round 23
10,7,Jack Riewoldt,KEYF,4,1,0,80,5,5,0,2014,Round 23
11,7,Jarryd Roughead,KEYF,4,3,1,57.1,7,10,0,2014,Round 23
12,7,Jake Stringer,FWD,4,2,0,66.7,6,9,1,2014,Round 23
13,7,Kayne Turner,FWD,4,0,0,100,4,5,0,2014,Round 23
14,7,Matthew Watson,KEYD,4,0,0,100,4,8,1,2014,Round 23
15,16,Ben Brown,KEYF,3,2,0,50,6,10,1,2014,Round 23
16,16,Josh Caddy,MID,3,1,0,75,4,11,4,2014,Round 23
17,16,Brett Deledio,FWD,3,0,0,75,4,7,0,2014,Round 23
18,16,Josh Green,FWD,3,0,3,100,3,7,2,2014,Round 23
19,16,Dean Kent,FWD,3,2,2,60,5,8,1,2014,Round 23
20,16,Tom J. Lynch,KEYF,3,1,0,60,5,6,1,2014,Round 23
21,16,Nic Naitanui,RUC,3,1,1,75,4,11,7,2014,Round 23
22,16,Rory Sloane,MID,3,0,0,100,3,9,2,2014,Round 23
23,16,James Stewart,KEYF,3,0,0,100,3,4,0,2014,Round 23
24,16,Taylor Walker,KEYF,3,3,1,50,6,10,2,2014,Round 23
