,Rank,Player,Position,G    ,B,GA,GA%,SAG,SI,SL,Season,Round
0,1,Taylor Walker,KEYF,5,2,1,71.4,7,9,0,2012,Semi Finals
1,2,Chris Mayne,FWD,3,0,2,75,4,8,1,2012,Semi Finals
2,2,Jason Porplyzia,FWD,3,0,1,100,3,6,0,2012,Semi Finals
3,2,Dale Thomas,FWD,3,1,0,75,4,8,2,2012,Semi Finals
4,2,Michael Walters,FWD,3,1,0,75,4,5,1,2012,Semi Finals
5,6,Jack Darling,KEYF,2,0,0,40,5,3,0,2012,Semi Finals
6,6,Josh Hill,FWD,2,2,1,50,4,6,1,2012,Semi Finals
7,6,Dane Swan,MID,2,0,0,50,4,8,3,2012,Semi Finals
8,9,Hayden Ballantyne,FWD,1,0,0,50,2,2,0,2012,Semi Finals
9,9,Jarryd Blair,FWD,1,0,0,100,1,4,1,2012,Semi Finals
10,9,Dean Cox,RUC,1,0,0,50,2,4,0,2012,Semi Finals
11,9,Patrick Dangerfield,MID,1,0,0,100,1,4,4,2012,Semi Finals
12,9,Nat Fyfe,MID,1,0,0,100,1,4,0,2012,Semi Finals
13,9,Tyson Goldsack,FWD,1,2,0,33.3,3,3,0,2012,Semi Finals
14,9,Garrick Ibbotson,DEF,1,0,0,100,1,2,1,2012,Semi Finals
15,9,Darren Jolly,RUC,1,0,1,100,1,4,1,2012,Semi Finals
16,9,Josh J. Kennedy,KEYF,1,0,0,50,2,3,1,2012,Semi Finals
17,9,Daniel Kerr,MID,1,1,0,50,2,4,1,2012,Semi Finals
18,9,Heritier Lumumba,DEF,1,0,0,100,1,3,1,2012,Semi Finals
19,9,Patrick McGinnity,MID,1,0,3,100,1,6,1,2012,Semi Finals
20,9,Nic Naitanui,RUC,1,0,0,50,2,2,2,2012,Semi Finals
21,9,Matthew Pavlich,KEYF,1,0,1,50,2,3,0,2012,Semi Finals
22,9,Scott Pendlebury,MID,1,0,0,50,2,3,2,2012,Semi Finals
23,9,Nicholas Suban,DEF,1,0,0,100,1,1,0,2012,Semi Finals
24,9,Kurt Tippett,KEYF,1,0,0,50,2,4,2,2012,Semi Finals
25,9,Bernie Vince,MID,1,0,1,100,1,6,0,2012,Semi Finals
26,9,Matthew Wright,FWD,1,0,1,100,1,4,0,2012,Semi Finals
27,28,Michael Barlow,MID,0,0,0,0,0,2,0,2012,Semi Finals
28,28,Dayne Beams,MID,0,0,1,0,0,7,3,2012,Semi Finals
29,28,Jacob Brennan,DEF,0,0,0,0,0,1,1,2012,Semi Finals
30,28,Nathan Brown,KEYD,0,0,0,0,0,1,0,2012,Semi Finals
31,28,Sam Butler,DEF,0,0,0,0,0,2,0,2012,Semi Finals
32,28,Ian Callinan,FWD,0,0,0,0,0,2,0,2012,Semi Finals
33,28,Zac Clarke,RUC,0,0,0,0,0,2,0,2012,Semi Finals
34,28,Travis Cloke,KEYF,0,1,1,0,2,4,0,2012,Semi Finals
35,28,Ryan Crowley,MID,0,2,0,0,2,4,2,2012,Semi Finals
36,28,Chris Dawes,KEYF,0,0,0,0,0,1,0,2012,Semi Finals
37,28,Zac Dawson,KEYD,0,0,0,0,0,1,0,2012,Semi Finals
38,28,Alan Didak,FWD,0,0,1,0,1,2,0,2012,Semi Finals
39,28,Michael Doughty,DEF,0,0,0,0,0,2,1,2012,Semi Finals
40,28,Richard Douglas,MID,0,2,0,0,2,7,1,2012,Semi Finals
41,28,Paul Duffield,DEF,0,0,0,0,0,4,3,2012,Semi Finals
42,28,Jamie Elliott,FWD,0,0,0,0,0,0,0,2012,Semi Finals
43,28,Andrew Embley,MID,0,0,0,0,0,0,0,2012,Semi Finals
44,28,Alex Fasolo,FWD,0,2,1,0,2,4,1,2012,Semi Finals
45,28,Andrew Gaff,MID,0,1,1,0,1,5,1,2012,Semi Finals
46,28,Darren Glass,KEYD,0,0,0,0,0,2,2,2012,Semi Finals
47,28,Ricky Henderson,DEF,0,0,0,0,0,4,1,2012,Semi Finals
48,28,Stephen Hill,MID,0,1,1,0,1,4,0,2012,Semi Finals
49,28,Shannon Hurn,DEF,0,0,0,0,0,2,2,2012,Semi Finals
50,28,Sam Jacobs,RUC,0,0,0,0,0,1,0,2012,Semi Finals
51,28,Graham Johncock,FWD,0,4,0,0,4,5,0,2012,Semi Finals
52,28,Michael Johnson,KEYD,0,0,0,0,0,1,0,2012,Semi Finals
53,28,Ben Johnson,MID,0,0,0,0,1,5,3,2012,Semi Finals
54,28,Andrew Krakouer,FWD,0,2,1,0,2,4,0,2012,Semi Finals
55,28,Quinten Lynch,KEYF,0,0,0,0,0,0,0,2012,Semi Finals
56,28,David Mackay,MID,0,0,0,0,0,2,0,2012,Semi Finals
57,28,Eric Mackenzie,KEYD,0,0,0,0,0,0,0,2012,Semi Finals
58,28,Chris Masten,MID,0,0,0,0,0,1,0,2012,Semi Finals
59,28,Adam McPhee,DEF,0,0,0,0,0,1,0,2012,Semi Finals
60,28,David Mundy,MID,0,0,1,0,1,7,4,2012,Semi Finals
61,28,Tendai Mzungu,MID,0,0,0,0,0,0,0,2012,Semi Finals
62,28,Clancee Pearce,MID,0,0,0,0,0,2,0,2012,Semi Finals
63,28,Jared Petrenko,FWD,0,1,1,0,1,4,0,2012,Semi Finals
64,28,Matthew Priddis,MID,0,0,0,0,0,2,0,2012,Semi Finals
65,28,Ben Reid,KEYD,0,0,0,0,0,2,2,2012,Semi Finals
66,28,Brent Reilly,DEF,0,0,0,0,0,6,0,2012,Semi Finals
67,28,Matt Rosa,MID,0,0,0,0,0,0,0,2012,Semi Finals
68,28,Ben Rutten,KEYD,0,0,0,0,0,1,1,2012,Semi Finals
69,28,Aaron Sandilands,RUC,0,0,0,0,0,3,2,2012,Semi Finals
70,28,Will Schofield,DEF,0,1,0,0,1,2,0,2012,Semi Finals
71,28,Scott Selwood,MID,0,1,0,0,1,2,0,2012,Semi Finals
72,28,Adam Selwood,DEF,0,0,0,0,0,0,0,2012,Semi Finals
73,28,Sam Shaw,DEF,0,0,0,0,0,1,1,2012,Semi Finals
74,28,Heath Shaw,DEF,0,0,0,0,0,3,1,2012,Semi Finals
75,28,Luke Shuey,MID,0,0,1,0,0,6,2,2012,Semi Finals
76,28,Steele Sidebottom,MID,0,0,0,0,0,5,0,2012,Semi Finals
77,28,Alex Silvagni,KEYD,0,0,0,0,0,1,0,2012,Semi Finals
78,28,Rory Sloane,MID,0,0,0,0,1,4,0,2012,Semi Finals
79,28,Brodie Smith,DEF,0,0,0,0,0,6,4,2012,Semi Finals
80,28,Lee Spurr,DEF,0,0,0,0,0,1,1,2012,Semi Finals
81,28,Chris Tarrant,KEYF,0,0,0,0,0,1,0,2012,Semi Finals
82,28,Luke Thompson,DEF,0,0,0,0,0,3,1,2012,Semi Finals
83,28,Scott Thompson,MID,0,0,1,0,0,5,3,2012,Semi Finals
84,28,Alan Toovey,DEF,0,0,0,0,0,1,0,2012,Semi Finals
85,28,Nathan Van Berlo,MID,0,0,1,0,0,5,0,2012,Semi Finals
86,28,Sharrod Wellingham,FWD,0,1,0,0,1,5,3,2012,Semi Finals
87,28,Matt de Boer,FWD,0,0,1,0,0,3,0,2012,Semi Finals
