,Rank,Player,Position,G    ,B,GA,GA%,SAG,SI,SL,Season,Round
0,1,Jarryd Roughead,KEYF,5,2,0,62.5,8,11,2,2013,Round 8
1,2,Jeremy Cameron,KEYF,4,0,1,100,4,5,1,2013,Round 8
2,2,Jeff Garlett,FWD,4,1,0,66.7,6,7,1,2013,Round 8
3,2,Dan Hannebery,MID,4,0,0,80,5,7,0,2013,Round 8
4,2,Tom Hawkins,KEYF,4,0,0,100,4,7,0,2013,Round 8
5,6,Aaron Black,KEYF,3,1,0,75,4,7,0,2013,Round 8
6,6,Campbell Brown,FWD,3,1,1,75,4,10,0,2013,Round 8
7,6,Aaron Davey,FWD,3,1,1,75,4,9,1,2013,Round 8
8,6,Sam Dwyer,FWD,3,0,1,75,4,9,0,2013,Round 8
9,6,Jamie Elliott,FWD,3,0,1,100,3,7,2,2013,Round 8
10,6,Jack Gunston,FWD,3,1,1,75,4,10,0,2013,Round 8
11,6,Josh Hill,FWD,3,2,1,60,5,7,1,2013,Round 8
12,6,Andrew Krakouer,FWD,3,1,1,60,5,6,1,2013,Round 8
13,6,Dustin Martin,FWD,3,0,0,100,3,6,2,2013,Round 8
14,6,Andrew Moore,MID,3,0,0,100,3,4,0,2013,Round 8
15,6,Marc Murphy,MID,3,0,2,60,5,9,1,2013,Round 8
16,6,Jack Riewoldt,KEYF,3,3,0,42.9,7,9,2,2013,Round 8
17,6,Jake Stringer,FWD,3,1,0,75,4,6,1,2013,Round 8
18,6,Dayne Zorko,FWD,3,0,1,75,4,9,2,2013,Round 8
19,20,Hayden Ballantyne,FWD,2,2,0,40,5,5,0,2013,Round 8
20,20,Jimmy Bartel,DEF,2,0,0,66.7,3,6,3,2013,Round 8
21,20,Tom Bell,MID,2,0,0,66.7,3,6,2,2013,Round 8
22,20,Tom Bellchambers,RUC,2,0,1,100,2,4,0,2013,Round 8
23,20,Jonathan Brown,KEYF,2,2,0,50,4,8,0,2013,Round 8
24,20,Shaun Burgoyne,MID,2,1,1,66.7,3,9,2,2013,Round 8
25,20,Allen Christensen,FWD,2,0,3,100,2,5,0,2013,Round 8
26,20,Stewart Crameri,KEYF,2,1,2,66.7,3,6,1,2013,Round 8
27,20,Chris Dawes,KEYF,2,1,1,66.7,3,5,0,2013,Round 8
28,20,Lynden Dunn,DEF,2,0,0,100,2,3,3,2013,Round 8
29,20,Lance Franklin,KEYF,2,2,1,50,4,9,0,2013,Round 8
30,20,Nat Fyfe,MID,2,2,0,40,5,8,2,2013,Round 8
31,20,Robbie Gray,FWD,2,0,1,100,2,6,1,2013,Round 8
32,20,Aaron Hall,FWD,2,1,0,50,4,5,0,2013,Round 8
33,20,Brent Harvey,FWD,2,0,0,100,2,6,2,2013,Round 8
34,20,Dyson Heppell,MID,2,2,1,50,4,8,0,2013,Round 8
35,20,Josh Jenkins,KEYF,2,4,1,33.3,6,11,0,2013,Round 8
36,20,Josh J. Kennedy,KEYF,2,1,0,40,5,9,2,2013,Round 8
37,20,Jake King,FWD,2,2,2,50,4,9,1,2013,Round 8
38,20,Tom Lynch,FWD,2,1,1,66.7,3,8,0,2013,Round 8
39,20,Lukas Markovic,KEYF,2,1,0,66.7,3,5,0,2013,Round 8
40,20,Ben McGlynn,FWD,2,0,0,100,2,3,0,2013,Round 8
41,20,Stephen Milne,FWD,2,0,0,100,2,3,0,2013,Round 8
42,20,Steven Motlop,FWD,2,3,1,40,5,7,1,2013,Round 8
43,20,Scott Pendlebury,MID,2,1,1,66.7,3,9,4,2013,Round 8
44,20,James Podsiadly,KEYF,2,1,0,50,4,4,0,2013,Round 8
45,20,Mitch Robinson,FWD,2,1,2,66.7,3,9,0,2013,Round 8
46,20,Ahmed Saad,FWD,2,1,0,66.7,3,3,0,2013,Round 8
47,20,Jay Schulz,KEYF,2,0,0,100,2,4,0,2013,Round 8
48,20,Heath Scotland,DEF,2,0,0,66.7,3,6,1,2013,Round 8
49,20,Luke Shuey,MID,2,1,1,50,4,9,0,2013,Round 8
50,51,Taylor Adams,MID,1,1,0,50,2,3,1,2013,Round 8
51,51,Dennis Armfield,FWD,1,0,1,100,1,6,0,2013,Round 8
52,51,David Armitage,MID,1,0,0,100,1,3,1,2013,Round 8
53,51,Rohan Bail,MID,1,1,0,50,2,3,1,2013,Round 8
54,51,Max Bailey,RUC,1,0,0,100,1,5,3,2013,Round 8
55,51,Harley Bennell,MID,1,0,1,100,1,5,0,2013,Round 8
56,51,Simon Black,MID,1,0,1,100,1,6,2,2013,Round 8
57,51,Travis Boak,MID,1,1,0,50,2,2,0,2013,Round 8
58,51,Jude Bolton,FWD,1,1,1,50,2,3,1,2013,Round 8
59,51,Joshua Bootsma,DEF,1,0,0,100,1,4,1,2013,Round 8
60,51,Tomas Bugg,DEF,1,0,0,100,1,1,1,2013,Round 8
