,Rank,Player,Position,G    ,B,GA,GA%,SAG,SI,SL,Season,Round
0,1,Gary Rohan,FWD,3,1,0,75,4,7,0,2020,Preliminary Finals
1,2,Gary Ablett,FWD,2,2,1,40,5,7,0,2020,Preliminary Finals
2,2,Charlie Cameron,FWD,2,0,0,66.7,3,2,0,2020,Preliminary Finals
3,2,Tom Hawkins,KEYF,2,3,1,33.3,6,9,2,2020,Preliminary Finals
4,2,Kane Lambert,FWD,2,1,0,66.7,3,4,1,2020,Preliminary Finals
5,2,Dustin Martin,FWD,2,0,0,66.7,3,6,0,2020,Preliminary Finals
6,2,Lachie Neale,MID,2,0,1,100,2,4,1,2020,Preliminary Finals
7,2,Connor Rozee,FWD,2,0,0,100,2,2,0,2020,Preliminary Finals
8,9,Charlie Dixon,KEYF,1,0,0,100,1,2,0,2020,Preliminary Finals
9,9,Xavier Duursma,MID,1,0,0,100,1,3,0,2020,Preliminary Finals
10,9,Jack Henry,DEF,1,0,0,100,1,3,1,2020,Preliminary Finals
11,9,Eric Hipwood,KEYF,1,1,0,50,2,2,0,2020,Preliminary Finals
12,9,Peter Ladhams,RUC,1,0,0,100,1,1,0,2020,Preliminary Finals
13,9,Scott Lycett,RUC,1,0,0,100,1,2,0,2020,Preliminary Finals
14,9,Tom J. Lynch,KEYF,1,1,0,33.3,3,5,1,2020,Preliminary Finals
15,9,Gryan Miers,FWD,1,1,0,33.3,3,5,0,2020,Preliminary Finals
16,9,Brandan Parfitt,MID,1,0,0,50,2,6,1,2020,Preliminary Finals
17,9,Cam Rayner,FWD,1,0,0,100,1,3,0,2020,Preliminary Finals
18,9,Jack Riewoldt,KEYF,1,1,0,50,2,3,0,2020,Preliminary Finals
19,9,Zach Tuohy,MID,1,0,1,33.3,3,5,0,2020,Preliminary Finals
20,21,Callum Ah Chee,DEF,0,0,1,0,0,3,1,2020,Preliminary Finals
21,21,Karl Amon,MID,0,0,0,0,1,1,0,2020,Preliminary Finals
22,21,Harris Andrews,KEYD,0,0,0,0,0,1,1,2020,Preliminary Finals
23,21,David Astbury,KEYD,0,0,0,0,0,1,1,2020,Preliminary Finals
24,21,Zac Bailey,FWD,0,1,0,0,1,2,0,2020,Preliminary Finals
25,21,Liam Baker,DEF,0,0,0,0,0,1,0,2020,Preliminary Finals
26,21,Noah Balta,KEYD,0,1,1,0,1,4,1,2020,Preliminary Finals
27,21,Jarrod Berry,MID,0,0,0,0,0,1,0,2020,Preliminary Finals
28,21,Jed Bews,DEF,0,0,0,0,0,1,1,2020,Preliminary Finals
29,21,Grant Birchall,DEF,0,0,0,0,0,2,1,2020,Preliminary Finals
30,21,Mark Blicavs,KEYD,0,1,0,0,1,6,5,2020,Preliminary Finals
31,21,Travis Boak,MID,0,0,0,0,1,2,0,2020,Preliminary Finals
32,21,Shai Bolton,MID,0,2,1,0,3,6,2,2020,Preliminary Finals
33,21,Nathan Broad,DEF,0,0,0,0,0,2,1,2020,Preliminary Finals
34,21,Ryan Burton,DEF,0,0,0,0,1,2,1,2020,Preliminary Finals
35,21,Zak Butters,FWD,0,1,1,0,1,3,0,2020,Preliminary Finals
36,21,Darcy Byrne-Jones,DEF,0,0,0,0,0,0,0,2020,Preliminary Finals
37,21,Jason Castagna,FWD,0,0,0,0,0,2,0,2020,Preliminary Finals
38,21,Tom Clurey,KEYD,0,0,0,0,0,1,1,2020,Preliminary Finals
39,21,Trent Cotchin,MID,0,0,0,0,0,2,2,2020,Preliminary Finals
40,21,Luke Dahlhaus,FWD,0,0,0,0,0,3,0,2020,Preliminary Finals
41,21,Patrick Dangerfield,MID,0,0,3,0,0,8,2,2020,Preliminary Finals
42,21,Mitch Duncan,MID,0,0,1,0,0,9,0,2020,Preliminary Finals
43,21,Brad Ebert,FWD,0,0,1,0,0,2,0,2020,Preliminary Finals
44,21,Shane Edwards,MID,0,0,0,0,0,2,0,2020,Preliminary Finals
45,21,Cameron Ellis-Yolmen,FWD,0,0,0,0,0,0,0,2020,Preliminary Finals
46,21,Jack Graham,MID,0,0,0,0,1,1,0,2020,Preliminary Finals
47,21,Robbie Gray,FWD,0,1,1,0,1,4,0,2020,Preliminary Finals
48,21,Dylan Grimes,KEYD,0,0,0,0,0,1,1,2020,Preliminary Finals
49,21,Cameron Guthrie,MID,0,0,0,0,0,5,1,2020,Preliminary Finals
50,21,Hamish Hartlett,DEF,0,0,0,0,0,2,1,2020,Preliminary Finals
51,21,Lachie Henderson,KEYD,0,0,0,0,0,3,3,2020,Preliminary Finals
