,Rank,Player,Position,G    ,B,GA,GA%,SAG,SI,SL,Season,Round
0,1,Jarryd Roughead,KEYF,6,2,0,75,8,10,1,2014,Preliminary Finals
1,2,Lance Franklin,KEYF,5,2,4,55.6,9,15,2,2014,Preliminary Finals
2,3,Angus Monfries,FWD,4,0,0,80,5,6,0,2014,Preliminary Finals
3,3,Kurt Tippett,KEYF,4,2,0,66.7,6,11,0,2014,Preliminary Finals
4,5,Adam Goodes,FWD,3,1,0,75,4,10,1,2014,Preliminary Finals
5,5,Robbie Gray,FWD,3,0,1,75,4,11,4,2014,Preliminary Finals
6,5,Luke Parker,FWD,3,1,0,75,4,14,5,2014,Preliminary Finals
7,5,Drew Petrie,KEYF,3,4,0,42.9,7,10,1,2014,Preliminary Finals
8,9,Ben Brown,KEYF,2,0,0,100,2,2,0,2014,Preliminary Finals
9,9,Jack Gunston,FWD,2,0,1,66.7,3,4,0,2014,Preliminary Finals
10,9,Isaac Smith,FWD,2,0,1,100,2,7,1,2014,Preliminary Finals
11,12,Shaun Atley,DEF,1,0,1,100,1,4,0,2014,Preliminary Finals
12,12,Craig Bird,MID,1,0,0,100,1,3,0,2014,Preliminary Finals
13,12,Travis Boak,MID,1,0,0,100,1,11,3,2014,Preliminary Finals
14,12,Taylor Duryea,DEF,1,0,0,100,1,1,0,2014,Preliminary Finals
15,12,Todd Goldstein,RUC,1,0,0,100,1,3,2,2014,Preliminary Finals
16,12,Levi Greenwood,MID,1,0,0,100,1,6,2,2014,Preliminary Finals
17,12,David Hale,RUC,1,0,1,100,1,5,2,2014,Preliminary Finals
18,12,Brent Harvey,FWD,1,1,0,50,2,5,1,2014,Preliminary Finals
19,12,Luke Hodge,MID,1,1,0,50,2,7,1,2014,Preliminary Finals
20,12,Kieren Jack,MID,1,0,1,100,1,12,3,2014,Preliminary Finals
21,12,Lewis Jetta,FWD,1,0,1,100,1,4,0,2014,Preliminary Finals
22,12,Will Langford,MID,1,1,0,50,2,8,3,2014,Preliminary Finals
23,12,Ben McGlynn,MID,1,0,2,100,1,5,0,2014,Preliminary Finals
24,12,Jake Neade,FWD,1,0,0,100,1,5,2,2014,Preliminary Finals
25,12,Jared Polec,MID,1,2,1,33.3,3,7,0,2014,Preliminary Finals
26,12,Jay Schulz,KEYF,1,2,2,20,5,9,0,2014,Preliminary Finals
27,12,Matthew Suckling,DEF,1,0,0,100,1,3,0,2014,Preliminary Finals
28,12,Justin Westhoff,KEYF,1,1,0,33.3,3,4,0,2014,Preliminary Finals
29,12,Chad Wingard,FWD,1,1,1,50,2,6,2,2014,Preliminary Finals
30,31,Ryan Bastinac,MID,0,1,0,0,1,3,1,2014,Preliminary Finals
31,31,Grant Birchall,DEF,0,0,0,0,0,3,3,2014,Preliminary Finals
32,31,Aaron Black,KEYF,0,0,0,0,0,1,0,2014,Preliminary Finals
33,31,Luke Breust,FWD,0,0,2,0,0,4,0,2014,Preliminary Finals
34,31,Matthew Broadbent,DEF,0,0,0,0,0,1,0,2014,Preliminary Finals
35,31,Shaun Burgoyne,DEF,0,1,1,0,1,5,0,2014,Preliminary Finals
36,31,Alipate Carlile,KEYD,0,0,0,0,0,4,2,2014,Preliminary Finals
37,31,Jonathon Ceglar,RUC,0,1,0,0,1,2,1,2014,Preliminary Finals
38,31,Kane Cornes,MID,0,0,1,0,0,5,1,2014,Preliminary Finals
39,31,Harry Cunningham,FWD,0,2,0,0,2,9,2,2014,Preliminary Finals
40,31,Ben Cunnington,MID,0,0,0,0,0,8,3,2014,Preliminary Finals
41,31,Nick Dal Santo,FWD,0,0,0,0,0,2,2,2014,Preliminary Finals
42,31,Brad Ebert,MID,0,1,0,0,1,4,1,2014,Preliminary Finals
43,31,Michael Firrito,DEF,0,0,0,0,0,3,1,2014,Preliminary Finals
44,31,Josh Gibson,KEYD,0,0,0,0,0,4,3,2014,Preliminary Finals
45,31,Sam Gibson,MID,0,0,0,0,0,2,0,2014,Preliminary Finals
46,31,Nathan Grima,KEYD,0,0,0,0,0,0,0,2014,Preliminary Finals
47,31,Heath Grundy,KEYD,0,0,0,0,0,2,0,2014,Preliminary Finals
48,31,Dan Hannebery,MID,0,1,0,0,1,9,3,2014,Preliminary Finals
49,31,Hamish Hartlett,FWD,0,0,0,0,0,5,1,2014,Preliminary Finals
50,31,Bradley Hill,FWD,0,0,1,0,0,7,1,2014,Preliminary Finals
51,31,Jack Hombsch,KEYD,0,0,0,0,0,5,1,2014,Preliminary Finals
52,31,Ben Jacobs,DEF,0,0,0,0,0,0,0,2014,Preliminary Finals
53,31,Tom Jonas,KEYD,0,0,1,0,0,4,2,2014,Preliminary Finals
54,31,Josh P. Kennedy,MID,0,2,1,0,2,8,1,2014,Preliminary Finals
55,31,Brian Lake,KEYD,0,0,0,0,0,2,1,2014,Preliminary Finals
56,31,Jordan Lewis,MID,0,0,2,0,0,8,2,2014,Preliminary Finals
57,31,Jake Lloyd,FWD,0,0,1,0,0,7,2,2014,Preliminary Finals
58,31,Matthew Lobbe,RUC,0,1,0,0,1,1,0,2014,Preliminary Finals
59,31,Nick Malceski,DEF,0,0,2,0,0,7,4,2014,Preliminary Finals
60,31,Luke McDonald,DEF,0,1,2,0,1,5,1,2014,Preliminary Finals
61,31,Jarrad McVeigh,MID,0,0,0,0,1,5,1,2014,Preliminary Finals
62,31,Sam Mitchell,MID,0,0,0,0,0,7,1,2014,Preliminary Finals
63,31,Andrew Moore,MID,0,0,0,0,1,3,2,2014,Preliminary Finals
64,31,Cameron O'Shea,DEF,0,0,1,0,0,6,1,2014,Preliminary Finals
65,31,Jasper Pittard,DEF,0,1,0,0,1,6,3,2014,Preliminary Finals
66,31,Paul Puopolo,FWD,0,0,1,0,1,3,0,2014,Preliminary Finals
67,31,Mike Pyke,RUC,0,0,0,0,0,5,4,2014,Preliminary Finals
68,31,Dane Rampe,DEF,0,0,2,0,0,3,2,2014,Preliminary Finals
69,31,Sam Reid,KEYF,0,2,0,0,2,4,0,2014,Preliminary Finals
70,31,Ted Richards,KEYD,0,0,0,0,0,2,1,2014,Preliminary Finals
71,31,Gary Rohan,DEF,0,0,2,0,1,11,4,2014,Preliminary Finals
72,31,Rhyce Shaw,DEF,0,0,0,0,0,3,1,2014,Preliminary Finals
73,31,Liam Shiels,MID,0,0,0,0,0,4,2,2014,Preliminary Finals
74,31,Jonathan Simpkin,FWD,0,0,0,0,0,1,0,2014,Preliminary Finals
75,31,Nick Smith,DEF,0,0,1,0,0,3,1,2014,Preliminary Finals
76,31,Matt Spangher,KEYD,0,0,0,0,0,3,0,2014,Preliminary Finals
77,31,Ben Stratton,KEYD,0,0,0,0,0,3,0,2014,Preliminary Finals
78,31,Andrew Swallow,MID,0,0,0,0,0,3,0,2014,Preliminary Finals
79,31,Lindsay Thomas,FWD,0,0,2,0,1,6,0,2014,Preliminary Finals
80,31,Scott D. Thompson,KEYD,0,0,0,0,1,1,1,2014,Preliminary Finals
81,31,Jackson Trengove,KEYD,0,0,0,0,0,2,2,2014,Preliminary Finals
82,31,Kayne Turner,FWD,0,0,1,0,0,3,1,2014,Preliminary Finals
83,31,Daniel Wells,MID,0,1,0,0,2,5,1,2014,Preliminary Finals
84,31,Matthew White,FWD,0,1,0,0,1,5,1,2014,Preliminary Finals
85,31,Ollie Wines,MID,0,2,1,0,2,5,1,2014,Preliminary Finals
86,31,Sam Wright,DEF,0,0,0,0,0,3,2,2014,Preliminary Finals
87,31,Jack Ziebell,MID,0,1,1,0,1,3,1,2014,Preliminary Finals
