,Rank,Player,Position,G    ,B,GA,GA%,SAG,SI,SL,Season,Round
0,1,Lance Franklin,KEYF,3,4,0,33.3,9,11,0,2012,Grand Final
1,2,Luke Breust,FWD,2,0,1,100,2,3,0,2012,Grand Final
2,2,Jack Gunston,FWD,2,1,0,66.7,3,4,1,2012,Grand Final
3,2,David Hale,RUC,2,2,1,50,4,8,6,2012,Grand Final
4,2,Kieren Jack,MID,2,0,1,100,2,5,0,2012,Grand Final
5,2,Josh P. Kennedy,MID,2,1,0,66.7,3,7,1,2012,Grand Final
6,2,Nick Malceski,DEF,2,0,0,100,2,4,2,2012,Grand Final
7,2,Jarrad McVeigh,MID,2,0,1,100,2,6,3,2012,Grand Final
8,2,Mitch Morton,FWD,2,0,0,100,2,6,0,2012,Grand Final
9,10,Xavier Ellis,MID,1,0,0,50,2,2,0,2012,Grand Final
10,10,Adam Goodes,FWD,1,0,3,100,1,5,0,2012,Grand Final
11,10,Dan Hannebery,MID,1,0,1,100,1,6,2,2012,Grand Final
12,10,Sam Reid,KEYF,1,1,1,50,2,5,0,2012,Grand Final
13,10,Lewis Roberts-Thomson,KEYF,1,1,0,50,2,3,1,2012,Grand Final
14,10,Isaac Smith,MID,1,0,0,100,1,4,1,2012,Grand Final
15,16,Grant Birchall,DEF,0,0,1,0,0,3,1,2012,Grand Final
16,16,Craig Bird,FWD,0,1,0,0,2,5,0,2012,Grand Final
17,16,Jude Bolton,FWD,0,0,0,0,0,5,0,2012,Grand Final
18,16,Shaun Burgoyne,DEF,0,0,0,0,0,2,2,2012,Grand Final
19,16,Josh Gibson,KEYD,0,0,0,0,0,1,0,2012,Grand Final
20,16,Heath Grundy,KEYD,0,0,0,0,0,2,1,2012,Grand Final
21,16,Luke Hodge,MID,0,0,0,0,1,2,1,2012,Grand Final
22,16,Lewis Jetta,FWD,0,1,2,0,2,7,1,2012,Grand Final
23,16,Alex Johnson,DEF,0,1,0,0,1,3,2,2012,Grand Final
24,16,Jordan Lewis,FWD,0,0,0,0,0,2,1,2012,Grand Final
25,16,Marty Mattner,DEF,0,0,0,0,0,2,0,2012,Grand Final
26,16,Sam Mitchell,MID,0,0,2,0,0,7,2,2012,Grand Final
27,16,Shane Mumford,RUC,0,0,0,0,0,1,0,2012,Grand Final
28,16,Ryan O'Keefe,MID,0,0,1,0,1,2,1,2012,Grand Final
29,16,Luke Parker,MID,0,0,0,0,0,2,0,2012,Grand Final
30,16,Paul Puopolo,FWD,0,0,1,0,0,1,0,2012,Grand Final
31,16,Mike Pyke,RUC,0,0,0,0,0,4,3,2012,Grand Final
32,16,Ted Richards,KEYD,0,0,0,0,0,3,2,2012,Grand Final
33,16,Cyril Rioli,FWD,0,0,1,0,1,4,1,2012,Grand Final
34,16,Jarryd Roughead,KEYF,0,3,0,0,4,4,1,2012,Grand Final
35,16,Shane Savage,FWD,0,0,0,0,0,0,0,2012,Grand Final
36,16,Ryan Schoenmakers,KEYD,0,0,1,0,0,2,1,2012,Grand Final
37,16,Brad Sewell,MID,0,2,0,0,2,6,3,2012,Grand Final
38,16,Rhyce Shaw,DEF,0,0,0,0,0,1,1,2012,Grand Final
39,16,Liam Shiels,MID,0,0,0,0,2,3,0,2012,Grand Final
40,16,Nick Smith,DEF,0,0,0,0,0,2,1,2012,Grand Final
41,16,Ben Stratton,KEYD,0,0,0,0,0,1,1,2012,Grand Final
42,16,Matthew Suckling,DEF,0,1,0,0,2,4,1,2012,Grand Final
43,16,Clinton Young,MID,0,0,1,0,1,8,2,2012,Grand Final
