,Rank,Player,Position,D    ,K,H,i50s,DE%,C,R50s,EK,KE%,KHB,ED,Season,Round
0,1,Ollie Wines,MID,38,15,23,6,68.4,5,2,8,53.3,0.7,26,2021,Preliminary Finals
1,2,Jack Macrae,MID,36,22,14,7,75,8,2,15,68.2,1.6,27,2021,Preliminary Finals
2,3,Jack Viney,MID,34,17,17,4,64.7,4,0,7,41.2,1,22,2021,Preliminary Finals
3,4,Riley Bonner,DEF,32,25,7,4,81.3,2,6,19,76,3.6,26,2021,Preliminary Finals
4,4,Christian Petracca,MID,32,16,16,4,65.6,4,3,8,50,1,21,2021,Preliminary Finals
5,6,Patrick Dangerfield,MID,30,19,11,6,56.7,7,1,9,47.4,1.7,17,2021,Preliminary Finals
6,7,Christian Salem,DEF,29,23,6,7,72.4,4,7,15,65.2,3.8,21,2021,Preliminary Finals
7,8,Clayton Oliver,MID,27,14,13,4,59.3,5,3,6,42.9,1.1,16,2021,Preliminary Finals
8,9,Cameron Guthrie,MID,26,13,13,1,61.5,2,0,5,38.5,1,16,2021,Preliminary Finals
9,9,Isaac Smith,MID,26,13,13,3,76.9,1,2,9,69.2,1,20,2021,Preliminary Finals
10,11,Travis Boak,MID,24,10,14,4,66.7,2,0,6,60,0.7,16,2021,Preliminary Finals
11,11,Bailey Dale,DEF,24,18,6,0,83.3,5,8,15,83.3,3,20,2021,Preliminary Finals
12,11,Joel Selwood,MID,24,8,16,3,79.2,2,1,5,62.5,0.5,19,2021,Preliminary Finals
13,14,Mitch Duncan,FWD,23,14,9,3,69.6,5,4,9,64.3,1.6,16,2021,Preliminary Finals
14,14,Bailey Smith,MID,23,16,7,6,73.9,2,2,11,68.8,2.3,17,2021,Preliminary Finals
15,14,Adam Treloar,FWD,23,13,10,4,73.9,5,2,8,61.5,1.3,17,2021,Preliminary Finals
16,17,Caleb Daniel,DEF,22,16,6,3,72.7,3,7,11,68.8,2.7,16,2021,Preliminary Finals
17,17,Josh Dunkley,FWD,22,11,11,2,63.6,2,1,5,45.5,1,14,2021,Preliminary Finals
18,17,Dan Houston,DEF,22,14,8,5,77.3,7,4,11,78.6,1.8,17,2021,Preliminary Finals
19,17,Lachie Hunter,MID,22,16,6,8,81.8,1,0,13,81.3,2.7,18,2021,Preliminary Finals
20,21,Karl Amon,MID,21,12,9,5,76.2,3,2,8,66.7,1.3,16,2021,Preliminary Finals
21,21,Ed Langdon,MID,21,8,13,3,71.4,0,0,7,87.5,0.6,15,2021,Preliminary Finals
22,21,Zach Tuohy,DEF,21,16,5,1,66.7,3,6,9,56.3,3.2,14,2021,Preliminary Finals
23,24,Marcus Bontempelli,MID,20,11,9,10,80,3,1,8,72.7,1.2,16,2021,Preliminary Finals
24,24,Sam Menegola,MID,20,12,8,4,60,3,3,7,58.3,1.5,12,2021,Preliminary Finals
25,26,Jake Bowey,DEF,19,12,7,3,68.4,2,3,7,58.3,1.7,13,2021,Preliminary Finals
26,26,Ryan Burton,DEF,19,11,8,2,78.9,3,5,8,72.7,1.4,15,2021,Preliminary Finals
27,26,Max Gawn,RUC,19,13,6,1,52.6,4,1,7,53.8,2.2,10,2021,Preliminary Finals
28,26,Tom Liberatore,MID,19,8,11,2,78.9,3,4,6,75,0.7,15,2021,Preliminary Finals
29,26,Bailey Williams,DEF,19,16,3,2,78.9,2,1,12,75,5.3,15,2021,Preliminary Finals
30,31,Miles Bergman,MID,18,9,9,2,72.2,4,1,5,55.6,1,13,2021,Preliminary Finals
31,31,Angus Brayshaw,MID,18,11,7,1,72.2,1,2,9,81.8,1.6,13,2021,Preliminary Finals
32,31,Zak Butters,FWD,18,11,7,3,61.1,2,1,5,45.5,1.6,11,2021,Preliminary Finals
33,31,Connor Rozee,FWD,18,7,11,2,83.3,5,0,5,71.4,0.6,15,2021,Preliminary Finals
34,31,Charlie Spargo,FWD,18,13,5,1,94.4,0,1,12,92.3,2.6,17,2021,Preliminary Finals
35,36,Robbie Gray,FWD,17,9,8,1,76.5,2,0,5,55.6,1.1,13,2021,Preliminary Finals
36,36,Zach Guthrie,DEF,17,15,2,1,58.8,3,5,9,60,7.5,10,2021,Preliminary Finals
37,38,Mark Blicavs,KEYD,16,8,8,1,68.8,6,2,3,37.5,1,11,2021,Preliminary Finals
38,38,Xavier Duursma,MID,16,5,11,1,68.8,1,2,3,60,0.5,11,2021,Preliminary Finals
39,38,Easton Wood,DEF,16,12,4,1,50,4,3,6,50,3,8,2021,Preliminary Finals
40,41,Aliir Aliir,KEYD,15,11,4,1,60,5,3,6,54.5,2.8,9,2021,Preliminary Finals
41,41,Tom Atkins,DEF,15,9,6,5,73.3,2,1,6,66.7,1.5,11,2021,Preliminary Finals
42,41,Brad Close,FWD,15,3,12,1,73.3,2,1,2,66.7,0.3,11,2021,Preliminary Finals
43,41,James Harmes,MID,15,7,8,1,66.7,2,0,3,42.9,0.9,10,2021,Preliminary Finals
44,41,Tom Hawkins,KEYF,15,9,6,1,53.3,2,0,3,33.3,1.5,8,2021,Preliminary Finals
45,41,Alex Neal-Bullen,FWD,15,9,6,3,66.7,0,1,7,77.8,1.5,10,2021,Preliminary Finals
46,41,Roarke Smith,MID,15,9,6,1,66.7,3,2,6,66.7,1.5,10,2021,Preliminary Finals
47,48,Mitch Hannan,FWD,14,13,1,4,57.1,3,1,7,53.8,13,8,2021,Preliminary Finals
