,Rank,Player,Position,D    ,K,H,i50s,DE%,C,R50s,EK,KE%,KHB,ED,Season,Round
0,1,Matt Crouch,MID,37,20,17,6,62.2,3,7,12,60,1.2,23,2017,Grand Final
1,2,Brad Crouch,MID,29,9,20,3,65.5,3,1,7,77.8,0.5,19,2017,Grand Final
2,2,Dustin Martin,MID,29,14,15,3,82.8,2,0,10,71.4,0.9,24,2017,Grand Final
3,4,Rory Laird,DEF,27,11,16,3,88.9,3,1,10,90.9,0.7,24,2017,Grand Final
4,4,Dion Prestia,MID,27,16,11,4,66.7,2,2,9,56.3,1.5,18,2017,Grand Final
5,6,Shane Edwards,FWD,25,12,13,8,72,1,1,7,58.3,0.9,18,2017,Grand Final
6,6,Bachar Houli,DEF,25,20,5,3,76,2,4,14,70,4,19,2017,Grand Final
7,8,Kane Lambert,FWD,22,13,9,7,63.6,4,1,8,61.5,1.4,14,2017,Grand Final
8,9,Trent Cotchin,MID,21,14,7,2,52.4,3,1,6,42.9,2,11,2017,Grand Final
9,9,Rory Sloane,MID,21,11,10,5,76.2,6,0,8,72.7,1.1,16,2017,Grand Final
10,11,Richard Douglas,MID,20,14,6,6,60,6,2,7,50,2.3,12,2017,Grand Final
11,11,Jake Kelly,DEF,20,9,11,0,80,2,4,8,88.9,0.8,16,2017,Grand Final
12,13,Tom Lynch,FWD,18,12,6,2,77.8,2,0,9,75,2,14,2017,Grand Final
13,13,Toby Nankervis,RUC,18,10,8,5,55.6,5,3,5,50,1.3,10,2017,Grand Final
14,15,Rory Atkins,MID,17,8,9,1,82.4,6,3,5,62.5,0.9,14,2017,Grand Final
15,15,Shaun Grigg,MID,17,10,7,3,64.7,6,1,7,70,1.4,11,2017,Grand Final
16,17,Charles Cameron,FWD,16,10,6,5,56.3,4,1,5,50,1.7,9,2017,Grand Final
17,17,Jack Graham,MID,16,6,10,1,68.8,3,2,4,66.7,0.6,11,2017,Grand Final
18,17,Nick Vlastuin,DEF,16,13,3,2,81.3,4,6,11,84.6,4.3,13,2017,Grand Final
19,20,Kyle Hartigan,KEYD,15,11,4,0,66.7,5,3,6,54.5,2.8,10,2017,Grand Final
20,20,Sam Jacobs,RUC,15,8,7,3,73.3,2,4,6,75,1.1,11,2017,Grand Final
21,20,Jake Lever,KEYD,15,12,3,2,80,3,2,9,75,4,12,2017,Grand Final
22,20,David Mackay,MID,15,8,7,0,73.3,2,4,5,62.5,1.1,11,2017,Grand Final
23,20,Paul Seedsman,MID,15,8,7,2,80,1,3,7,87.5,1.1,12,2017,Grand Final
24,25,Brandon Ellis,DEF,14,10,4,3,78.6,0,1,7,70,2.5,11,2017,Grand Final
25,25,Jack Riewoldt,KEYF,14,11,3,5,50,2,0,6,54.5,3.7,7,2017,Grand Final
26,27,Nathan Broad,DEF,13,10,3,1,69.2,0,5,6,60,3.3,9,2017,Grand Final
27,27,Luke Brown,DEF,13,9,4,2,76.9,1,4,7,77.8,2.3,10,2017,Grand Final
28,27,Hugh Greenwood,MID,13,9,4,1,53.8,4,2,5,55.6,2.3,7,2017,Grand Final
29,30,Josh Caddy,FWD,12,9,3,3,83.3,1,0,7,77.8,3,10,2017,Grand Final
30,31,Alex Rance,KEYD,11,9,2,0,90.9,2,3,8,88.9,4.5,10,2017,Grand Final
31,31,Daniel Rioli,FWD,11,9,2,4,54.5,0,0,4,44.4,4.5,6,2017,Grand Final
32,33,Jason Castagna,FWD,10,4,6,1,30,4,0,1,25,0.7,3,2017,Grand Final
33,33,Taylor Walker,KEYF,10,9,1,3,80,2,0,8,88.9,9,8,2017,Grand Final
34,35,Dan Butler,FWD,9,5,4,2,44.4,2,0,2,40,1.3,4,2017,Grand Final
35,35,Riley Knight,FWD,9,5,4,1,77.8,2,0,3,60,1.3,7,2017,Grand Final
36,35,Kamdyn McIntosh,MID,9,5,4,1,77.8,1,1,3,60,1.3,7,2017,Grand Final
37,38,Jacob Townsend,FWD,8,4,4,0,75,5,0,3,75,1,6,2017,Grand Final
38,39,David Astbury,KEYD,7,4,3,0,71.4,4,3,3,75,1.3,5,2017,Grand Final
39,39,Eddie Betts,FWD,7,4,3,2,71.4,1,0,2,50,1.3,5,2017,Grand Final
40,39,Josh Jenkins,KEYF,7,3,4,0,71.4,2,0,1,33.3,0.8,5,2017,Grand Final
41,42,Dylan Grimes,DEF,6,4,2,0,66.7,1,0,3,75,2,4,2017,Grand Final
42,43,Andy Otten,KEYF,5,4,1,2,60,2,0,3,75,4,3,2017,Grand Final
43,44,Daniel Talia,KEYD,3,3,0,0,100,0,0,3,100,0,3,2017,Grand Final
