,Rank,Player,Position,D    ,K,H,i50s,DE%,C,R50s,EK,KE%,KHB,ED,Season,Round
0,1,Michael Barlow,MID,32,15,17,3,65.6,7,0,8,53.3,0.9,21,2013,Finals Week 1
1,1,Kieren Jack,MID,32,18,14,9,71.9,1,4,14,77.8,1.3,23,2013,Finals Week 1
2,3,Brad Sewell,MID,30,15,15,2,63.3,3,2,6,40,1,19,2013,Finals Week 1
3,4,Jimmy Bartel,DEF,29,17,12,3,82.8,3,5,16,94.1,1.4,24,2013,Finals Week 1
4,4,Dayne Beams,MID,29,11,18,6,86.2,3,1,9,81.8,0.6,25,2013,Finals Week 1
5,4,Josh P. Kennedy,MID,29,10,19,3,65.5,1,0,5,50,0.5,19,2013,Finals Week 1
6,4,Sam Mitchell,MID,29,15,14,4,72.4,4,4,10,66.7,1.1,21,2013,Finals Week 1
7,4,Steele Sidebottom,MID,29,20,9,4,75.9,3,3,13,65,2.2,22,2013,Finals Week 1
8,4,Lee Spurr,DEF,29,22,7,3,75.9,4,8,16,72.7,3.1,22,2013,Finals Week 1
9,10,Kane Cornes,MID,28,17,11,2,82.1,4,6,14,82.4,1.5,23,2013,Finals Week 1
10,11,Craig Bird,FWD,27,13,14,3,77.8,3,2,7,53.8,0.9,21,2013,Finals Week 1
11,11,Bryce Gibbs,MID,27,21,6,4,48.1,2,2,8,38.1,3.5,13,2013,Finals Week 1
12,11,Josh Gibson,KEYD,27,13,14,1,85.2,2,3,11,84.6,0.9,23,2013,Finals Week 1
13,11,Brent Guerra,DEF,27,21,6,3,88.9,2,4,19,90.5,3.5,24,2013,Finals Week 1
14,11,Mathew Stokes,MID,27,9,18,1,70.4,4,0,6,66.7,0.5,19,2013,Finals Week 1
15,16,Grant Birchall,DEF,26,14,12,4,96.2,0,1,13,92.9,1.2,25,2013,Finals Week 1
16,16,Shaun Burgoyne,MID,26,12,14,5,76.9,2,3,8,66.7,0.9,20,2013,Finals Week 1
17,16,Trent Cotchin,MID,26,22,4,3,53.8,3,2,11,50,5.5,14,2013,Finals Week 1
18,16,Marc Murphy,MID,26,19,7,3,76.9,3,4,14,73.7,2.7,20,2013,Finals Week 1
19,16,Luke Parker,MID,26,9,17,1,80.8,2,3,6,66.7,0.5,21,2013,Finals Week 1
20,21,Nat Fyfe,MID,25,12,13,4,68,7,1,8,66.7,0.9,17,2013,Finals Week 1
21,21,Chris Judd,MID,25,14,11,6,64,2,1,10,71.4,1.3,16,2013,Finals Week 1
22,21,Andrew Mackie,DEF,25,21,4,6,68,4,5,13,61.9,5.3,17,2013,Finals Week 1
23,21,Cameron O'Shea,DEF,25,15,10,1,68,3,4,7,46.7,1.5,17,2013,Finals Week 1
24,25,Brett Deledio,MID,24,16,8,4,87.5,0,4,14,87.5,2,21,2013,Finals Week 1
25,25,Brad Ebert,MID,24,18,6,2,79.2,2,3,13,72.2,3,19,2013,Finals Week 1
26,25,Luke Hodge,DEF,24,17,7,2,75,3,5,13,76.5,2.4,18,2013,Finals Week 1
27,25,Tom Logan,DEF,24,14,10,3,87.5,0,1,12,85.7,1.4,21,2013,Finals Week 1
28,25,Scott Pendlebury,MID,24,17,7,6,79.2,4,0,12,70.6,2.4,19,2013,Finals Week 1
29,30,Joel Corey,MID,22,8,14,1,54.5,0,1,4,50,0.6,12,2013,Finals Week 1
30,30,Mitch Duncan,MID,22,15,7,6,68.2,2,2,11,73.3,2.1,15,2013,Finals Week 1
31,30,Dane Swan,MID,22,15,7,3,40.9,4,2,5,33.3,2.1,9,2013,Finals Week 1
32,33,Hamish Hartlett,MID,21,12,9,4,76.2,6,1,9,75,1.3,16,2013,Finals Week 1
33,33,Stephen Hill,MID,21,11,10,4,90.5,4,3,9,81.8,1.1,19,2013,Finals Week 1
34,33,Daniel Jackson,MID,21,12,9,4,61.9,4,2,4,33.3,1.3,13,2013,Finals Week 1
35,33,Lachie Neale,MID,21,10,11,3,76.2,2,0,6,60,0.9,16,2013,Finals Week 1
36,33,Ryan O'Keefe,MID,21,10,11,2,57.1,3,3,4,40,0.9,12,2013,Finals Week 1
37,33,Mitch Robinson,FWD,21,15,6,3,61.9,4,2,8,53.3,2.5,13,2013,Finals Week 1
38,33,Joel Selwood,MID,21,9,12,3,90.5,5,1,7,77.8,0.8,19,2013,Finals Week 1
39,33,Brendan Whitecross,DEF,21,13,8,4,85.7,1,0,10,76.9,1.6,18,2013,Finals Week 1
40,41,Bachar Houli,DEF,20,15,5,3,85,2,3,12,80,3,17,2013,Finals Week 1
41,41,Steve Johnson,MID,20,12,8,4,75,2,1,8,66.7,1.5,15,2013,Finals Week 1
42,41,Steven Motlop,FWD,20,15,5,6,55,3,1,7,46.7,3,11,2013,Finals Week 1
43,41,Danyle Pearce,MID,20,13,7,6,75,3,0,8,61.5,1.9,15,2013,Finals Week 1
44,41,Paul Puopolo,FWD,20,9,11,3,75,2,0,5,55.6,0.8,15,2013,Finals Week 1
45,41,Alex Rance,KEYD,20,12,8,3,80,3,2,9,75,1.5,16,2013,Finals Week 1
46,41,Travis Varcoe,FWD,20,4,16,3,70,4,0,2,50,0.3,14,2013,Finals Week 1
47,48,Luke Ball,MID,19,8,11,1,63.2,3,0,2,25,0.7,12,2013,Finals Week 1
48,48,Jordan Lewis,MID,19,10,9,2,73.7,2,0,5,50,1.1,14,2013,Finals Week 1
49,48,Dustin Martin,FWD,19,12,7,6,57.9,4,0,5,41.7,1.7,11,2013,Finals Week 1
50,48,Andrew Moore,MID,19,9,10,3,78.9,2,0,6,66.7,0.9,15,2013,Finals Week 1
51,48,Chad Wingard,FWD,19,12,7,4,57.9,2,1,9,75,1.7,11,2013,Finals Week 1
52,53,James Kelly,MID,18,11,7,4,72.2,3,3,8,72.7,1.6,13,2013,Finals Week 1
53,53,Heritier Lumumba,MID,18,13,5,4,77.8,2,3,9,69.2,2.6,14,2013,Finals Week 1
54,53,Nick Malceski,DEF,18,12,6,1,83.3,1,7,10,83.3,2,15,2013,Finals Week 1
55,53,Jarrad McVeigh,DEF,18,11,7,3,61.1,2,2,8,72.7,1.6,11,2013,Finals Week 1
56,53,David Mundy,MID,18,13,5,3,77.8,1,3,9,69.2,2.6,14,2013,Finals Week 1
57,53,Kade Simpson,DEF,18,14,4,3,83.3,4,3,11,78.6,3.5,15,2013,Finals Week 1
58,53,Cam Sutcliffe,DEF,18,13,5,2,77.8,1,6,10,76.9,2.6,14,2013,Finals Week 1
59,53,Shane Tuck,MID,18,8,10,3,66.7,3,0,5,62.5,0.8,12,2013,Finals Week 1
60,53,Nick Vlastuin,DEF,18,13,5,3,83.3,1,3,10,76.9,2.6,15,2013,Finals Week 1
61,53,Ollie Wines,MID,18,9,9,0,66.7,4,5,6,66.7,1,12,2013,Finals Week 1
62,63,Tom Bell,MID,17,11,6,3,52.9,6,2,4,36.4,1.8,9,2013,Finals Week 1
63,63,Ed Curnow,MID,17,6,11,3,70.6,5,0,3,50,0.5,12,2013,Finals Week 1
64,63,Paul Duffield,DEF,17,15,2,1,35.3,4,6,6,40,7.5,6,2013,Finals Week 1
65,63,Cameron Guthrie,DEF,17,9,8,0,88.2,1,4,7,77.8,1.1,15,2013,Finals Week 1
66,63,Bradley Hill,MID,17,10,7,3,70.6,3,0,5,50,1.4,12,2013,Finals Week 1
67,68,Matthew Broadbent,DEF,16,12,4,0,62.5,0,7,7,58.3,3,10,2013,Finals Week 1
68,68,Jack Gunston,FWD,16,13,3,2,81.3,0,0,10,76.9,4.3,13,2013,Finals Week 1
69,68,David Hale,RUC,16,8,8,2,87.5,2,0,8,100,1,14,2013,Finals Week 1
70,68,Tom Jonas,DEF,16,7,9,0,93.8,1,3,6,85.7,0.8,15,2013,Finals Week 1
71,68,Ivan Maric,RUC,16,5,11,0,87.5,2,1,5,100,0.5,14,2013,Finals Week 1
72,68,Ricky Petterd,DEF,16,8,8,1,93.8,1,0,8,100,1,15,2013,Finals Week 1
73,68,Ben Stratton,KEYD,16,9,7,2,87.5,2,1,8,88.9,1.3,14,2013,Finals Week 1
74,68,Jesse White,KEYF,16,9,7,3,62.5,4,0,5,55.6,1.3,10,2013,Finals Week 1
75,76,Mark Blicavs,RUC,15,4,11,3,86.7,1,0,2,50,0.4,13,2013,Finals Week 1
76,76,Nick Duigan,DEF,15,10,5,3,73.3,1,0,7,70,2,11,2013,Finals Week 1
77,76,Heath Grundy,KEYD,15,5,10,1,86.7,1,1,4,80,0.5,13,2013,Finals Week 1
78,76,Brian Lake,KEYD,15,10,5,0,73.3,1,2,7,70,2,11,2013,Finals Week 1
79,76,Nick Maxwell,DEF,15,9,6,1,66.7,2,5,5,55.6,1.5,10,2013,Finals Week 1
80,76,Tom Mitchell,FWD,15,8,7,2,86.7,1,2,6,75,1.1,13,2013,Finals Week 1
81,76,Angus Monfries,FWD,15,12,3,4,73.3,0,1,9,75,4,11,2013,Finals Week 1
82,76,Chris Newman,DEF,15,11,4,3,73.3,0,1,8,72.7,2.8,11,2013,Finals Week 1
83,76,Jasper Pittard,DEF,15,12,3,5,86.7,0,5,10,83.3,4,13,2013,Finals Week 1
84,76,Jay Schulz,KEYF,15,10,5,3,66.7,1,0,7,70,2,10,2013,Finals Week 1
85,76,Heath Scotland,DEF,15,7,8,2,80,1,1,5,71.4,0.9,12,2013,Finals Week 1
86,76,Paul Seedsman,DEF,15,8,7,4,73.3,1,2,5,62.5,1.1,11,2013,Finals Week 1
87,76,Michael Walters,FWD,15,9,6,1,53.3,2,2,3,33.3,1.5,8,2013,Finals Week 1
88,89,Travis Boak,MID,14,9,5,1,50,1,0,5,55.6,1.8,7,2013,Finals Week 1
89,89,Allen Christensen,FWD,14,8,6,3,71.4,0,0,4,50,1.3,10,2013,Finals Week 1
