,Rank,Player,Position,D    ,K,H,i50s,DE%,C,R50s,EK,KE%,KHB,ED,Season,Round
0,1,Dayne Beams,MID,30,16,14,5,76.7,1,5,12,75,1.1,23,2012,Semi Finals
1,1,Daniel Kerr,MID,30,19,11,5,56.7,4,5,10,55.6,1.6,16,2012,Semi Finals
2,1,David Mundy,MID,30,22,8,6,60,2,1,11,50,2.8,18,2012,Semi Finals
3,4,Scott Pendlebury,MID,29,16,13,7,79.3,1,1,11,68.8,1.2,23,2012,Semi Finals
4,4,Dane Swan,MID,29,20,9,3,58.6,4,1,12,60,2.2,17,2012,Semi Finals
5,6,Scott Thompson,MID,28,16,12,2,71.4,4,2,11,73.3,1.3,19,2012,Semi Finals
6,7,Andrew Embley,MID,26,20,6,1,61.5,4,7,12,66.7,3,14,2012,Semi Finals
7,7,Andrew Gaff,MID,26,18,8,7,65.4,3,1,11,61.1,2.3,17,2012,Semi Finals
8,9,Steele Sidebottom,MID,25,19,6,2,80,4,3,15,78.9,3.2,20,2012,Semi Finals
9,9,Bernie Vince,MID,25,19,6,6,68,5,4,11,61.1,3,16,2012,Semi Finals
10,11,Richard Douglas,MID,24,18,6,6,75,1,2,12,70.6,2.8,17,2012,Semi Finals
11,11,Jason Porplyzia,FWD,24,16,8,2,79.2,4,3,11,73.3,1.9,18,2012,Semi Finals
12,11,Brent Reilly,DEF,24,16,8,0,87.5,2,6,14,87.5,2,21,2012,Semi Finals
13,14,Matthew Priddis,MID,23,10,13,1,56.5,2,1,5,50,0.8,13,2012,Semi Finals
14,14,Luke Shuey,MID,23,13,10,6,78.3,3,3,9,69.2,1.3,18,2012,Semi Finals
15,14,Dale Thomas,FWD,23,17,6,1,65.2,4,1,11,64.7,2.8,15,2012,Semi Finals
16,17,Michael Johnson,KEYD,22,16,6,3,77.3,0,2,13,81.3,2.7,17,2012,Semi Finals
17,17,Ben Johnson,MID,22,13,9,3,72.7,3,2,8,61.5,1.4,16,2012,Semi Finals
18,17,Rory Sloane,MID,22,11,11,2,77.3,3,1,9,81.8,1,17,2012,Semi Finals
19,20,Chris Masten,MID,21,9,12,3,76.2,2,2,5,62.5,0.7,15,2012,Semi Finals
20,20,Adam McPhee,DEF,21,16,5,1,66.7,4,5,10,62.5,3.2,14,2012,Semi Finals
21,22,Michael Barlow,MID,20,13,7,3,75,0,3,10,76.9,1.9,15,2012,Semi Finals
22,22,Sam Butler,DEF,20,11,9,0,80,4,3,6,60,1.1,15,2012,Semi Finals
23,22,Paul Duffield,DEF,20,17,3,2,85,3,7,14,82.4,5.7,17,2012,Semi Finals
24,22,Heath Shaw,DEF,20,13,7,1,80,5,4,10,76.9,1.9,16,2012,Semi Finals
25,22,Brodie Smith,DEF,20,10,10,2,95,0,3,10,100,1,19,2012,Semi Finals
26,27,Nat Fyfe,MID,19,13,6,7,36.8,6,0,4,30.8,2.2,7,2012,Semi Finals
27,27,Sharrod Wellingham,FWD,19,14,5,4,63.2,2,2,8,57.1,2.8,12,2012,Semi Finals
28,29,Dean Cox,RUC,18,11,7,2,83.3,2,1,8,80,1.4,14,2012,Semi Finals
29,29,Patrick Dangerfield,MID,18,5,13,1,72.2,3,1,4,80,0.4,13,2012,Semi Finals
30,29,Alan Didak,FWD,18,13,5,5,72.2,2,0,7,58.3,2.4,12,2012,Semi Finals
31,29,Ricky Henderson,DEF,18,12,6,1,72.2,6,4,7,58.3,2,13,2012,Semi Finals
32,29,Matthew Wright,FWD,18,9,9,2,83.3,2,1,7,77.8,1,15,2012,Semi Finals
33,34,Nathan Van Berlo,MID,17,15,2,5,64.7,1,1,10,66.7,7.5,11,2012,Semi Finals
34,35,David Mackay,MID,16,9,7,1,81.3,3,1,7,77.8,1.3,13,2012,Semi Finals
35,35,Ben Reid,KEYD,16,12,4,1,93.8,0,2,11,91.7,3,15,2012,Semi Finals
36,37,Michael Doughty,DEF,15,11,4,1,86.7,1,0,9,81.8,2.8,13,2012,Semi Finals
37,37,Tyson Goldsack,FWD,15,10,5,2,66.7,2,1,5,50,2,10,2012,Semi Finals
38,37,Patrick McGinnity,MID,15,8,7,2,86.7,1,0,5,71.4,1,12,2012,Semi Finals
39,37,Scott Selwood,MID,15,3,12,1,46.7,2,0,1,33.3,0.3,7,2012,Semi Finals
40,37,Luke Thompson,DEF,15,9,6,1,73.3,0,0,6,66.7,1.5,11,2012,Semi Finals
41,37,Michael Walters,FWD,15,12,3,3,73.3,1,3,8,66.7,4,11,2012,Semi Finals
42,43,Jarryd Blair,FWD,14,10,4,4,85.7,2,1,8,80,2.5,12,2012,Semi Finals
43,43,Josh Hill,FWD,14,10,4,2,64.3,2,0,7,70,2.5,9,2012,Semi Finals
44,43,Shannon Hurn,DEF,14,12,2,1,78.6,5,5,10,83.3,6,11,2012,Semi Finals
45,43,Tendai Mzungu,MID,14,9,5,1,85.7,1,0,8,88.9,1.8,12,2012,Semi Finals
46,43,Clancee Pearce,MID,14,11,3,2,64.3,2,1,7,63.6,3.7,10,2012,Semi Finals
47,43,Kurt Tippett,KEYF,14,5,9,2,50,5,0,1,20,0.6,7,2012,Semi Finals
48,43,Matt de Boer,FWD,14,3,11,0,78.6,1,0,2,66.7,0.3,11,2012,Semi Finals
49,50,Garrick Ibbotson,DEF,13,12,1,1,76.9,1,2,9,75,12,10,2012,Semi Finals
50,50,Chris Mayne,FWD,13,9,4,1,76.9,0,0,7,77.8,2.3,10,2012,Semi Finals
51,50,Taylor Walker,KEYF,13,10,3,2,69.2,1,0,7,70,3.3,9,2012,Semi Finals
52,53,Ian Callinan,FWD,12,10,2,2,91.7,1,0,5,83.3,3,7,2012,Semi Finals
53,53,Darren Glass,KEYD,12,5,7,1,100,0,1,5,100,0.7,12,2012,Semi Finals
54,53,Stephen Hill,MID,12,8,4,3,58.3,0,2,6,75,2,7,2012,Semi Finals
55,53,Sam Jacobs,RUC,12,7,5,1,66.7,1,1,5,71.4,1.4,8,2012,Semi Finals
56,53,Darren Jolly,RUC,12,9,3,2,58.3,3,4,5,55.6,3,7,2012,Semi Finals
57,53,Nic Naitanui,RUC,12,4,8,1,75,1,1,2,50,0.5,9,2012,Semi Finals
58,53,Ben Rutten,KEYD,12,9,3,0,100,0,2,8,100,2.7,11,2012,Semi Finals
59,53,Alan Toovey,DEF,12,9,3,2,83.3,1,2,7,77.8,3,10,2012,Semi Finals
60,61,Nathan Brown,KEYD,11,4,7,0,90.9,1,2,3,75,0.6,10,2012,Semi Finals
61,61,Andrew Krakouer,FWD,11,8,3,4,45.5,0,0,4,50,2.7,5,2012,Semi Finals
62,61,Will Schofield,DEF,11,8,3,1,72.7,0,3,6,75,2.7,8,2012,Semi Finals
63,61,Lee Spurr,DEF,11,6,5,0,90.9,2,1,4,100,0.8,9,2012,Semi Finals
64,61,Chris Tarrant,KEYF,11,7,4,2,81.8,2,1,6,85.7,1.8,9,2012,Semi Finals
65,66,Hayden Ballantyne,FWD,10,9,1,3,90,2,0,8,88.9,9,9,2012,Semi Finals
66,66,Graham Johncock,FWD,10,6,4,2,30,0,0,0,0,1.5,3,2012,Semi Finals
67,66,Josh J. Kennedy,KEYF,10,6,4,3,90,3,0,5,83.3,1.5,9,2012,Semi Finals
68,66,Heritier Lumumba,DEF,10,8,2,2,80,0,1,6,75,4,8,2012,Semi Finals
69,66,Matthew Pavlich,KEYF,10,6,4,2,60,1,0,3,50,1.5,6,2012,Semi Finals
70,66,Adam Selwood,DEF,10,5,5,1,60,3,2,3,60,1,6,2012,Semi Finals
71,72,Travis Cloke,KEYF,9,7,2,3,77.8,1,0,5,71.4,3.5,7,2012,Semi Finals
72,72,Ryan Crowley,MID,9,7,2,2,55.6,3,0,3,50,3,5,2012,Semi Finals
73,72,Jack Darling,KEYF,9,6,3,0,55.6,1,0,2,33.3,2,5,2012,Semi Finals
74,72,Alex Fasolo,FWD,9,5,4,3,55.6,6,0,3,60,1.3,5,2012,Semi Finals
75,72,Quinten Lynch,KEYF,9,4,5,2,88.9,1,0,3,75,0.8,8,2012,Semi Finals
76,72,Jared Petrenko,FWD,9,8,1,3,66.7,6,0,4,57.1,7,5,2012,Semi Finals
77,72,Matt Rosa,MID,9,4,5,2,88.9,0,3,3,75,0.8,8,2012,Semi Finals
78,72,Alex Silvagni,KEYD,9,7,2,0,77.8,4,1,5,71.4,3.5,7,2012,Semi Finals
79,80,Zac Clarke,RUC,8,5,3,3,75,3,0,4,80,1.7,6,2012,Semi Finals
80,81,Chris Dawes,KEYF,7,4,3,1,71.4,2,0,3,75,1.3,5,2012,Semi Finals
81,81,Aaron Sandilands,RUC,7,2,5,0,28.6,2,0,1,50,0.4,2,2012,Semi Finals
82,83,Zac Dawson,KEYD,6,1,5,0,100,0,0,1,100,0.2,6,2012,Semi Finals
83,84,Jacob Brennan,DEF,5,3,2,1,80,0,1,2,66.7,1.5,4,2012,Semi Finals
84,85,Eric Mackenzie,KEYD,4,2,2,0,100,2,3,2,100,1,4,2012,Semi Finals
85,86,Jamie Elliott,FWD,3,3,0,0,66.7,1,0,2,66.7,0,2,2012,Semi Finals
86,87,Sam Shaw,DEF,2,1,1,0,100,1,0,1,100,1,2,2012,Semi Finals
87,87,Nicholas Suban,DEF,2,2,0,0,50,1,1,1,50,0,1,2012,Semi Finals
