,Rank,Player,Position,D    ,K,H,i50s,DE%,C,R50s,EK,KE%,KHB,ED,Season,Round
0,1,Brad Sewell,MID,34,17,17,6,64.7,5,2,7,43.8,0.9,21,2012,Grand Final
1,2,Dan Hannebery,MID,29,12,17,2,72.4,1,2,8,66.7,0.7,21,2012,Grand Final
2,2,Ryan O'Keefe,MID,29,16,13,4,69,6,1,8,53.3,1.2,19,2012,Grand Final
3,4,Josh P. Kennedy,MID,26,14,12,2,57.7,7,1,6,42.9,1.2,15,2012,Grand Final
4,5,Lance Franklin,KEYF,24,14,10,7,62.5,4,0,7,50,1.4,15,2012,Grand Final
5,5,Sam Mitchell,MID,24,9,15,5,79.2,2,0,5,55.6,0.6,19,2012,Grand Final
6,7,Shaun Burgoyne,DEF,21,11,10,2,61.9,1,3,5,45.5,1.1,13,2012,Grand Final
7,7,Jarrad McVeigh,MID,21,17,4,5,66.7,3,2,10,58.8,4.3,14,2012,Grand Final
8,9,Jordan Lewis,FWD,20,7,13,2,50,2,0,3,42.9,0.5,10,2012,Grand Final
9,10,Craig Bird,FWD,19,10,9,1,73.7,4,4,6,60,1.1,14,2012,Grand Final
10,10,Clinton Young,MID,19,13,6,6,73.7,3,3,9,69.2,2.2,14,2012,Grand Final
11,12,Luke Hodge,MID,18,14,4,1,66.7,5,1,7,53.8,3.3,11,2012,Grand Final
12,12,Liam Shiels,MID,18,13,5,5,61.1,3,0,7,53.8,2.6,11,2012,Grand Final
13,14,Nick Malceski,DEF,17,14,3,2,76.5,1,10,10,71.4,4.7,13,2012,Grand Final
14,14,Mike Pyke,RUC,17,8,9,2,76.5,2,0,4,57.1,0.8,12,2012,Grand Final
15,14,Matthew Suckling,DEF,17,15,2,5,64.7,3,3,8,57.1,7,10,2012,Grand Final
16,17,Kieren Jack,MID,15,10,5,1,66.7,2,0,6,66.7,1.8,9,2012,Grand Final
17,17,Alex Johnson,DEF,15,10,5,1,46.7,1,4,5,50,2,7,2012,Grand Final
18,17,Jarryd Roughead,KEYF,15,10,5,2,53.3,4,1,3,33.3,1.8,7,2012,Grand Final
19,17,Rhyce Shaw,DEF,15,9,6,1,86.7,1,3,8,88.9,1.5,13,2012,Grand Final
20,17,Isaac Smith,MID,15,10,5,2,40,1,3,4,40,2,6,2012,Grand Final
21,22,Grant Birchall,DEF,14,10,4,1,85.7,0,3,8,80,2.5,12,2012,Grand Final
22,22,Luke Breust,FWD,14,7,7,2,71.4,2,0,5,71.4,1,10,2012,Grand Final
23,22,Adam Goodes,FWD,14,7,7,2,92.9,1,1,7,100,1,13,2012,Grand Final
24,22,Heath Grundy,KEYD,14,7,7,1,85.7,3,5,6,85.7,1,12,2012,Grand Final
25,22,Cyril Rioli,FWD,14,4,10,3,57.1,2,0,2,50,0.4,8,2012,Grand Final
26,22,Lewis Roberts-Thomson,KEYF,14,6,8,1,78.6,1,1,5,83.3,0.8,11,2012,Grand Final
27,28,Jude Bolton,FWD,13,6,7,5,76.9,1,0,4,66.7,0.9,10,2012,Grand Final
28,28,Sam Reid,KEYF,13,6,7,6,69.2,2,0,5,83.3,0.9,9,2012,Grand Final
29,30,David Hale,RUC,12,6,6,2,75,0,0,3,50,1,9,2012,Grand Final
30,30,Lewis Jetta,FWD,12,12,0,2,66.7,1,2,8,66.7,0,8,2012,Grand Final
31,30,Ryan Schoenmakers,KEYD,12,7,5,3,83.3,0,2,5,71.4,1.4,10,2012,Grand Final
32,33,Xavier Ellis,MID,11,9,2,2,36.4,2,3,2,22.2,4.5,4,2012,Grand Final
33,33,Josh Gibson,KEYD,11,3,8,1,81.8,0,0,2,66.7,0.4,9,2012,Grand Final
34,33,Marty Mattner,DEF,11,5,6,1,63.6,2,3,3,60,0.8,7,2012,Grand Final
35,33,Mitch Morton,FWD,11,6,5,2,63.6,3,0,3,50,1.2,7,2012,Grand Final
36,33,Ted Richards,KEYD,11,7,4,0,90.9,2,4,6,85.7,1.8,10,2012,Grand Final
37,33,Nick Smith,DEF,11,6,5,0,90.9,2,3,5,83.3,1.2,10,2012,Grand Final
38,39,Ben Stratton,KEYD,9,5,4,0,77.8,3,1,3,60,1.3,7,2012,Grand Final
39,40,Jack Gunston,FWD,8,6,2,1,75,0,0,4,66.7,3,6,2012,Grand Final
40,41,Paul Puopolo,FWD,7,5,2,2,71.4,0,0,3,75,2,4,2012,Grand Final
41,42,Shane Mumford,RUC,6,3,3,1,83.3,2,0,2,66.7,1,5,2012,Grand Final
42,43,Shane Savage,FWD,4,4,0,1,25,0,1,1,25,0,1,2012,Grand Final
43,44,Luke Parker,MID,3,2,1,1,66.7,1,0,1,50,2,2,2012,Grand Final
