,Rank,Player,Position,D    ,K,H,i50s,DE%,C,R50s,EK,KE%,KHB,ED,Season,Round
0,1,Nick Dal Santo,FWD,35,22,13,6,77.1,2,5,14,63.6,1.7,27,2014,Semi Finals
1,1,Sam Gibson,MID,35,17,18,6,71.4,1,2,10,58.8,0.9,25,2014,Semi Finals
2,3,Hamish Hartlett,FWD,33,17,16,5,66.7,5,1,8,47.1,1.1,22,2014,Semi Finals
3,4,Lachie Neale,MID,32,18,14,3,50,2,1,4,22.2,1.3,16,2014,Semi Finals
4,5,Nat Fyfe,MID,28,7,21,0,64.3,3,0,3,42.9,0.3,18,2014,Semi Finals
5,5,Stephen Hill,MID,28,20,8,7,67.9,1,3,12,60,2.5,19,2014,Semi Finals
6,7,Josh Caddy,MID,26,13,13,5,65.4,4,1,9,69.2,1,17,2014,Semi Finals
7,7,Ollie Wines,MID,26,13,13,7,57.7,5,1,8,61.5,1,15,2014,Semi Finals
8,9,Brent Harvey,FWD,25,14,11,6,92,2,0,12,85.7,1.3,23,2014,Semi Finals
9,10,David Mundy,MID,24,16,8,3,66.7,3,5,10,62.5,2,16,2014,Semi Finals
10,10,Joel Selwood,MID,24,14,10,4,79.2,2,2,10,71.4,1.4,19,2014,Semi Finals
11,12,Michael Barlow,MID,23,12,11,3,60.9,3,1,6,50,1.1,14,2014,Semi Finals
12,13,Ben Cunnington,MID,22,7,15,2,72.7,4,0,2,28.6,0.5,16,2014,Semi Finals
13,13,Levi Greenwood,MID,22,14,8,3,63.6,1,1,8,57.1,1.8,14,2014,Semi Finals
14,13,Daniel Wells,MID,22,11,11,3,68.2,5,1,7,63.6,1,15,2014,Semi Finals
15,16,Robbie Gray,FWD,21,10,11,0,81,2,0,8,80,0.9,17,2014,Semi Finals
16,16,Andrew Swallow,MID,21,9,12,3,71.4,5,3,5,55.6,0.8,15,2014,Semi Finals
17,16,Sam Wright,DEF,21,12,9,3,90.5,1,5,10,83.3,1.3,19,2014,Semi Finals
18,19,Matthew Broadbent,DEF,20,15,5,5,70,0,2,9,60,3,14,2014,Semi Finals
19,19,Mitch Duncan,MID,20,11,9,6,80,1,2,9,81.8,1.2,16,2014,Semi Finals
20,19,Luke McDonald,DEF,20,11,9,4,85,3,2,10,90.9,1.2,17,2014,Semi Finals
21,19,Danyle Pearce,FWD,20,15,5,3,65,5,0,9,60,3,13,2014,Semi Finals
22,19,Justin Westhoff,KEYF,20,15,5,5,60,4,1,10,66.7,3,12,2014,Semi Finals
23,24,Cam Sutcliffe,DEF,19,13,6,2,84.2,1,3,12,92.3,2.2,16,2014,Semi Finals
24,25,Brad Ebert,MID,18,10,8,2,66.7,6,1,6,60,1.3,12,2014,Semi Finals
25,25,Tom Hawkins,KEYF,18,15,3,3,66.7,1,0,9,60,5,12,2014,Semi Finals
26,25,Andrew Mackie,DEF,18,14,4,6,72.2,1,2,10,71.4,3.5,13,2014,Semi Finals
27,25,Chad Wingard,FWD,18,14,4,4,72.2,2,2,10,71.4,3.5,13,2014,Semi Finals
28,29,Jake Neade,FWD,17,11,6,3,52.9,0,0,6,54.5,1.8,9,2014,Semi Finals
29,29,Jared Polec,MID,17,9,8,3,52.9,3,2,5,55.6,1.1,9,2014,Semi Finals
30,29,Scott D. Thompson,KEYD,17,10,7,2,88.2,3,3,9,90,1.4,15,2014,Semi Finals
31,32,Travis Boak,MID,16,6,10,2,50,3,0,2,33.3,0.6,8,2014,Semi Finals
32,32,Kane Cornes,MID,16,6,10,1,93.8,3,1,6,100,0.6,15,2014,Semi Finals
33,32,Jack Hombsch,KEYD,16,12,4,2,62.5,2,1,7,58.3,3,10,2014,Semi Finals
34,32,Jasper Pittard,DEF,16,13,3,2,87.5,2,4,11,84.6,4.3,14,2014,Semi Finals
35,36,Corey Enright,DEF,15,11,4,3,73.3,3,1,9,81.8,2.8,11,2014,Semi Finals
36,36,Todd Goldstein,RUC,15,8,7,3,66.7,2,1,4,50,1.1,10,2014,Semi Finals
37,36,Cameron O'Shea,DEF,15,9,6,1,73.3,3,4,5,55.6,1.5,11,2014,Semi Finals
38,39,Jimmy Bartel,FWD,14,10,4,5,64.3,5,1,6,60,2.5,9,2014,Semi Finals
39,39,Garrick Ibbotson,DEF,14,10,4,4,78.6,3,4,7,70,2.5,11,2014,Semi Finals
40,39,Steven Motlop,FWD,14,11,3,3,42.9,3,3,3,27.3,3.7,6,2014,Semi Finals
