,Rank,Player,Position,D    ,K,H,i50s,DE%,C,R50s,EK,KE%,KHB,ED,Season,Round
0,1,Sam Mitchell,MID,35,19,16,1,65.7,3,2,12,63.2,1.2,23,2015,Preliminary Finals
1,2,David Mundy,MID,27,10,17,2,70.4,1,1,4,40,0.6,19,2015,Preliminary Finals
2,2,Lee Spurr,DEF,27,20,7,2,77.8,2,4,16,80,2.9,21,2015,Preliminary Finals
3,2,Sharrod Wellingham,DEF,27,17,10,4,77.8,6,4,11,64.7,1.7,21,2015,Preliminary Finals
4,5,Taylor Duryea,DEF,26,17,9,1,84.6,1,5,14,82.4,1.9,22,2015,Preliminary Finals
5,5,Brent Harvey,FWD,26,15,11,6,61.5,3,0,8,53.3,1.4,16,2015,Preliminary Finals
6,5,Matthew Priddis,MID,26,9,17,6,69.2,1,0,4,44.4,0.5,18,2015,Preliminary Finals
7,8,Josh Gibson,KEYD,25,15,10,3,88,1,1,13,86.7,1.5,22,2015,Preliminary Finals
8,8,Bradley Hill,MID,25,15,10,2,84,4,3,12,80,1.5,21,2015,Preliminary Finals
9,8,Luke Hodge,MID,25,20,5,4,76,4,2,14,70,4,19,2015,Preliminary Finals
10,8,Andrew Swallow,MID,25,14,11,3,56,5,2,9,64.3,1.3,14,2015,Preliminary Finals
11,12,Nick Dal Santo,MID,24,11,13,4,83.3,5,3,7,63.6,0.8,20,2015,Preliminary Finals
12,12,Nat Fyfe,MID,24,7,17,3,75,3,1,3,42.9,0.4,18,2015,Preliminary Finals
13,12,Garrick Ibbotson,DEF,24,19,5,2,91.7,1,3,17,89.5,3.8,22,2015,Preliminary Finals
14,12,Isaac Smith,MID,24,19,5,3,87.5,3,2,16,84.2,3.8,21,2015,Preliminary Finals
15,16,Tendai Mzungu,MID,23,9,14,0,82.6,3,1,8,88.9,0.6,19,2015,Preliminary Finals
16,16,Liam Shiels,MID,23,12,11,3,82.6,2,1,10,83.3,1.1,19,2015,Preliminary Finals
17,16,Sam Wright,DEF,23,17,6,2,73.9,5,6,12,70.6,2.8,17,2015,Preliminary Finals
18,19,Grant Birchall,DEF,22,13,9,0,86.4,2,1,10,76.9,1.4,19,2015,Preliminary Finals
19,19,Lachie Neale,MID,22,7,15,2,59.1,2,0,2,28.6,0.5,13,2015,Preliminary Finals
20,19,Jarryd Roughead,KEYF,22,12,10,4,72.7,4,0,8,66.7,1.2,16,2015,Preliminary Finals
21,19,Tommy Sheridan,DEF,22,15,7,2,90.9,4,2,13,86.7,2.1,20,2015,Preliminary Finals
22,23,Xavier Ellis,DEF,21,16,5,0,90.5,2,4,15,93.8,3.2,19,2015,Preliminary Finals
23,23,Sam Gibson,MID,21,11,10,1,66.7,0,0,6,54.5,1.1,14,2015,Preliminary Finals
24,23,Brian Lake,KEYD,21,16,5,1,76.2,3,2,11,68.8,3.2,16,2015,Preliminary Finals
25,23,Danyle Pearce,MID,21,16,5,3,57.1,4,4,9,56.3,3.2,12,2015,Preliminary Finals
26,23,Michael Walters,FWD,21,16,5,1,61.9,4,0,10,62.5,3.2,13,2015,Preliminary Finals
27,28,Shaun Burgoyne,DEF,20,12,8,0,75,3,2,9,75,1.5,15,2015,Preliminary Finals
28,28,Ben Cunnington,MID,20,8,12,2,75,1,2,6,75,0.7,15,2015,Preliminary Finals
29,28,Andrew Gaff,MID,20,9,11,1,65,0,2,3,33.3,0.8,13,2015,Preliminary Finals
30,28,Josh J. Kennedy,KEYF,20,18,2,3,70,1,0,13,72.2,9,14,2015,Preliminary Finals
31,28,Jordan Lewis,MID,20,10,10,3,70,1,0,6,60,1,14,2015,Preliminary Finals
32,28,Matt de Boer,FWD,20,10,10,5,70,4,1,4,40,1,14,2015,Preliminary Finals
33,34,Shaun Atley,DEF,19,13,6,5,78.9,0,5,9,69.2,2.2,15,2015,Preliminary Finals
34,34,Stephen Hill,MID,19,12,7,3,57.9,4,2,5,41.7,1.7,11,2015,Preliminary Finals
35,34,Jeremy McGovern,KEYD,19,10,9,2,63.2,3,2,3,30,1.1,12,2015,Preliminary Finals
36,34,Cyril Rioli,FWD,19,12,7,5,78.9,1,1,10,83.3,1.7,15,2015,Preliminary Finals
37,34,Dom Sheed,MID,19,15,4,1,68.4,2,4,9,60,3.8,13,2015,Preliminary Finals
38,34,Matthew Suckling,DEF,19,15,4,5,73.7,2,0,11,73.3,3.8,14,2015,Preliminary Finals
39,40,James Frawley,KEYD,18,15,3,0,88.9,0,0,13,86.7,5,16,2015,Preliminary Finals
40,40,Mark LeCras,FWD,18,15,3,4,50,1,0,6,40,5,9,2015,Preliminary Finals
41,42,Michael Barlow,FWD,17,7,10,1,76.5,0,0,4,57.1,0.7,13,2015,Preliminary Finals
42,42,Shaun Higgins,FWD,17,10,7,4,64.7,4,0,5,50,1.4,11,2015,Preliminary Finals
43,44,Sam Butler,DEF,16,8,8,1,75,2,1,5,62.5,1,12,2015,Preliminary Finals
44,44,Ryan Schoenmakers,KEYF,16,10,6,2,75,2,0,7,70,1.7,12,2015,Preliminary Finals
45,44,Kayne Turner,FWD,16,10,6,2,87.5,1,2,8,80,1.7,14,2015,Preliminary Finals
46,44,Elliot Yeo,MID,16,8,8,0,62.5,6,4,4,50,1,10,2015,Preliminary Finals
47,44,Jack Ziebell,MID,16,9,7,1,56.3,4,3,6,66.7,1.3,9,2015,Preliminary Finals
48,49,Luke Breust,FWD,15,5,10,2,73.3,3,0,4,80,0.5,11,2015,Preliminary Finals
49,49,Mark Hutchings,MID,15,7,8,3,80,1,0,4,57.1,0.9,12,2015,Preliminary Finals
50,49,Michael Johnson,KEYD,15,7,8,0,93.3,0,4,7,100,0.9,14,2015,Preliminary Finals
51,49,Brad Sheppard,DEF,15,11,4,0,73.3,1,2,7,63.6,2.8,11,2015,Preliminary Finals
52,49,Callum Sinclair,RUC,15,8,7,4,53.3,1,2,3,37.5,1.1,8,2015,Preliminary Finals
53,54,Jonathon Griffin,RUC,14,8,6,3,78.6,2,0,6,75,1.3,11,2015,Preliminary Finals
54,54,Paul Puopolo,FWD,14,6,8,0,100,1,0,6,100,0.8,14,2015,Preliminary Finals
55,54,Scott D. Thompson,KEYD,14,5,9,2,85.7,2,1,5,100,0.6,12,2015,Preliminary Finals
56,57,Jamie Cripps,FWD,13,9,4,6,61.5,0,0,4,44.4,2.3,8,2015,Preliminary Finals
57,57,Lachlan Hansen,KEYD,13,8,5,1,69.2,4,2,5,62.5,1.6,9,2015,Preliminary Finals
58,57,Shannon Hurn,DEF,13,6,7,1,84.6,0,2,5,83.3,0.9,11,2015,Preliminary Finals
59,57,Ben McEvoy,RUC,13,6,7,0,100,0,1,6,100,0.9,13,2015,Preliminary Finals
60,57,Aaron Sandilands,RUC,13,0,13,0,92.3,2,0,0,0,0,12,2015,Preliminary Finals
61,57,Robbie Tarrant,KEYD,13,4,9,1,76.9,5,4,2,50,0.4,10,2015,Preliminary Finals
62,63,Todd Goldstein,RUC,12,5,7,1,75,4,0,3,60,0.7,9,2015,Preliminary Finals
63,63,Chris Mayne,FWD,12,6,6,1,75,0,0,4,66.7,1,9,2015,Preliminary Finals
64,63,Drew Petrie,KEYF,12,11,1,3,41.7,3,1,4,36.4,11,5,2015,Preliminary Finals
65,63,Will Schofield,KEYD,12,8,4,2,58.3,1,3,4,50,2,7,2015,Preliminary Finals
66,63,Cam Sutcliffe,DEF,12,7,5,0,83.3,1,2,5,71.4,1.4,10,2015,Preliminary Finals
67,68,Hayden Ballantyne,FWD,11,10,1,3,63.6,4,1,6,60,10,7,2015,Preliminary Finals
68,68,Jack Darling,KEYF,11,10,1,1,45.5,2,0,5,50,10,5,2015,Preliminary Finals
69,68,Zac Dawson,KEYD,11,2,9,0,81.8,3,0,1,50,0.2,9,2015,Preliminary Finals
70,68,Jamie Macmillan,DEF,11,6,5,1,72.7,0,3,4,66.7,1.2,8,2015,Preliminary Finals
71,68,Nic Naitanui,RUC,11,6,5,4,36.4,4,1,1,16.7,1.2,4,2015,Preliminary Finals
72,68,Matthew Pavlich,KEYF,11,8,3,3,90.9,1,0,7,87.5,2.7,10,2015,Preliminary Finals
73,68,Luke Shuey,MID,11,7,4,3,72.7,2,0,5,71.4,1.8,8,2015,Preliminary Finals
74,68,Jarrad Waite,KEYF,11,7,4,1,36.4,6,0,3,42.9,1.8,4,2015,Preliminary Finals
75,76,Ben Brown,KEYF,10,5,5,0,60,1,0,2,40,1,6,2015,Preliminary Finals
76,76,Michael Firrito,KEYD,10,5,5,1,60,4,1,3,60,1,6,2015,Preliminary Finals
77,76,Josh Hill,FWD,10,5,5,3,80,2,0,3,60,1,8,2015,Preliminary Finals
78,76,Chris Masten,MID,10,5,5,3,90,1,0,4,80,1,9,2015,Preliminary Finals
79,80,Ben Stratton,DEF,8,6,2,0,62.5,3,4,4,66.7,3,5,2015,Preliminary Finals
80,80,Nicholas Suban,MID,8,6,2,2,75,1,0,5,83.3,3,6,2015,Preliminary Finals
81,80,Matt Taberner,KEYF,8,4,4,3,50,3,0,2,50,1,4,2015,Preliminary Finals
82,83,Taylor Garner,FWD,7,5,2,2,85.7,0,0,4,80,2.5,6,2015,Preliminary Finals
83,83,David Hale,RUC,7,4,3,2,71.4,1,1,3,75,1.3,5,2015,Preliminary Finals
84,83,Ben Jacobs,MID,7,3,4,0,85.7,2,0,2,66.7,0.8,6,2015,Preliminary Finals
85,86,Billy Hartung,MID,5,4,1,1,80,1,0,3,75,4,4,2015,Preliminary Finals
86,87,Matt Rosa,MID,3,1,2,0,66.7,1,0,0,0,0.5,2,2015,Preliminary Finals
87,88,Lindsay Thomas,FWD,2,2,0,1,100,1,0,2,100,0,2,2015,Preliminary Finals
