,Rank,Player,Position,D    ,K,H,i50s,DE%,C,R50s,EK,KE%,KHB,ED,Season,Round
0,1,Tom Green,MID,38,16,22,6,57.9,7,3,6,37.5,0.7,22,2023,Round 21
1,2,Angus Brayshaw,MID,37,10,27,5,64.9,2,0,4,40,0.4,24,2023,Round 21
2,2,James Sicily,KEYD,37,24,13,3,89.2,1,4,22,91.7,1.8,33,2023,Round 21
3,4,Mason Wood,MID,36,27,9,3,66.7,6,2,16,59.3,3,24,2023,Round 21
4,5,Nic Newman,DEF,35,26,9,6,88.6,4,6,23,88.5,2.9,31,2023,Round 21
5,5,Caleb Serong,MID,35,17,18,4,77.1,5,2,12,70.6,0.9,27,2023,Round 21
6,7,Lachie Hunter,MID,33,12,21,5,78.8,1,2,7,58.3,0.6,26,2023,Round 21
7,7,Darcy Parish,MID,33,17,16,7,60.6,6,1,7,41.2,1.1,20,2023,Round 21
8,9,Marcus Bontempelli,MID,32,21,11,10,62.5,8,1,12,57.1,1.9,20,2023,Round 21
9,9,Zac Fisher,FWD,32,21,11,3,84.4,4,4,16,76.2,1.9,27,2023,Round 21
10,9,Errol Gulden,MID,32,25,7,7,65.6,9,3,15,60,3.6,21,2023,Round 21
11,9,Adam Treloar,MID,32,14,18,4,68.8,2,2,9,64.3,0.8,22,2023,Round 21
12,9,Jack Ziebell,DEF,32,26,6,1,81.3,5,10,21,80.8,4.3,26,2023,Round 21
13,14,Matt Crouch,MID,31,13,18,3,80.6,3,1,8,61.5,0.7,25,2023,Round 21
14,14,Brad Crouch,MID,31,15,16,3,74.2,6,3,8,53.3,0.9,23,2023,Round 21
15,14,Nick Hind,DEF,31,24,7,6,80.6,1,7,21,87.5,3.4,25,2023,Round 21
16,14,Mitchell Hinge,DEF,31,21,10,3,74.2,4,6,14,66.7,2.1,23,2023,Round 21
17,14,Tom Liberatore,MID,31,17,14,12,64.5,3,2,8,47.1,1.2,20,2023,Round 21
18,14,Conor Nash,MID,31,16,15,4,80.6,5,1,11,68.8,1.1,25,2023,Round 21
19,14,Bailey Scott,MID,31,16,15,5,80.6,5,5,10,62.5,1.1,25,2023,Round 21
20,21,Zak Butters,MID,30,21,9,7,73.3,5,2,14,66.7,2.3,22,2023,Round 21
21,21,Bailey Dale,DEF,30,23,7,2,86.7,1,6,19,82.6,3.3,26,2023,Round 21
22,21,Tim Kelly,MID,30,16,14,4,80,6,5,11,68.8,1.1,24,2023,Round 21
23,24,Andrew Brayshaw,MID,29,11,18,4,93.1,1,1,10,90.9,0.6,27,2023,Round 21
24,24,Will Day,MID,29,15,14,8,75.9,5,2,11,73.3,1.1,22,2023,Round 21
25,24,Liam Duggan,DEF,29,21,8,9,75.9,6,3,14,66.7,2.6,22,2023,Round 21
26,24,Zach Merrett,MID,29,14,15,7,79.3,3,1,9,64.3,0.9,23,2023,Round 21
27,24,Hayden Young,DEF,29,17,12,3,75.9,4,1,11,64.7,1.4,22,2023,Round 21
28,29,Lachie Ash,DEF,28,24,4,7,71.4,3,6,16,66.7,6,20,2023,Round 21
29,29,Jarrod Berry,MID,28,16,12,3,78.6,0,3,13,81.3,1.3,22,2023,Round 21
30,29,Callum Mills,MID,28,12,16,4,60.7,5,0,5,41.7,0.8,17,2023,Round 21
31,29,Jai Newcombe,MID,28,9,19,4,75,2,1,7,77.8,0.5,21,2023,Round 21
32,29,Jy Simpkin,MID,28,16,12,5,75,2,1,10,62.5,1.3,21,2023,Round 21
33,34,Blake Acres,MID,27,14,13,3,85.2,3,2,10,71.4,1.1,23,2023,Round 21
34,34,Jack Crisp,MID,27,15,12,3,66.7,6,3,9,60,1.3,18,2023,Round 21
