,Rank,Player,Position,D    ,K,H,i50s,DE%,C,R50s,EK,KE%,KHB,ED,Season,Round
0,1,Rory Laird,MID,42,13,29,5,71.4,8,2,8,61.5,0.4,30,2022,Round 17
1,2,Andrew Brayshaw,MID,36,20,16,6,66.7,8,3,12,60,1.3,24,2022,Round 17
2,3,Jack Viney,MID,35,17,18,9,62.9,6,3,9,52.9,0.9,22,2022,Round 17
3,4,Clayton Oliver,MID,34,13,21,3,64.7,9,6,6,46.2,0.6,22,2022,Round 17
4,5,Jed Anderson,FWD,33,19,14,7,81.8,1,3,14,73.7,1.4,27,2022,Round 17
5,5,Luke Davies-Uniacke,MID,33,22,11,14,75.8,4,4,16,72.7,2,25,2022,Round 17
6,7,Stephen Coniglio,FWD,32,18,14,3,59.4,5,3,6,33.3,1.3,19,2022,Round 17
7,7,Mitch Duncan,DEF,32,28,4,7,75,2,4,20,71.4,7,24,2022,Round 17
8,7,Blake Hardwick,DEF,32,19,13,1,87.5,0,5,16,84.2,1.5,28,2022,Round 17
9,7,Adam Treloar,MID,32,13,19,1,71.9,4,10,8,61.5,0.7,23,2022,Round 17
10,11,Patrick Dangerfield,MID,31,18,13,8,58.1,4,3,8,44.4,1.4,18,2022,Round 17
11,11,Zach Merrett,MID,31,16,15,6,77.4,2,0,11,68.8,1.1,24,2022,Round 17
12,11,Daniel Rioli,DEF,31,12,19,3,77.4,3,6,10,83.3,0.6,24,2022,Round 17
13,11,Jy Simpkin,MID,31,18,13,1,67.7,5,4,9,50,1.4,21,2022,Round 17
14,15,Jordan Clark,DEF,30,13,17,4,83.3,3,4,10,76.9,0.8,25,2022,Round 17
15,15,Brad Crouch,MID,30,14,16,2,80,5,3,9,64.3,0.9,24,2022,Round 17
16,15,Andrew Gaff,MID,30,20,10,5,66.7,5,5,11,55,2,20,2022,Round 17
17,15,Ben Keays,MID,30,14,16,1,76.7,5,0,9,64.3,0.9,23,2022,Round 17
18,19,Shai Bolton,FWD,29,19,10,6,58.6,6,1,10,52.6,1.9,17,2022,Round 17
19,19,Will Brodie,MID,29,12,17,4,82.8,5,4,9,75,0.7,24,2022,Round 17
20,19,Hugh McCluggage,MID,29,16,13,4,58.6,7,1,7,43.8,1.2,17,2022,Round 17
21,19,Dylan Moore,FWD,29,18,11,8,86.2,3,1,15,83.3,1.6,25,2022,Round 17
22,23,Taylor Adams,MID,28,13,15,7,60.7,5,1,6,46.2,0.9,17,2022,Round 17
23,23,Matt Crouch,MID,28,10,18,1,85.7,1,1,8,80,0.6,24,2022,Round 17
24,23,Josh Daicos,MID,28,13,15,2,89.3,3,1,11,84.6,0.9,25,2022,Round 17
25,23,Sam Docherty,DEF,28,21,7,7,85.7,1,6,18,85.7,3,24,2022,Round 17
26,23,Cameron Guthrie,MID,28,14,14,5,67.9,9,1,8,57.1,1,19,2022,Round 17
27,23,Bradley Hill,DEF,28,13,15,2,85.7,2,2,9,69.2,0.9,24,2022,Round 17
