,Rank,Player,Position,D    ,K,H,i50s,DE%,C,R50s,EK,KE%,KHB,ED,Season,Round
66,64,Lewis Jetta,FWD,11,9,2,2,100,3,2,9,100,4.5,11,2014,Preliminary Finals
67,64,Dane Rampe,DEF,11,7,4,3,100,2,2,7,100,1.8,11,2014,Preliminary Finals
68,64,Matt Spangher,KEYD,11,6,5,2,90.9,6,0,6,100,1.2,10,2014,Preliminary Finals
69,64,Matthew White,FWD,11,8,3,4,72.7,0,1,5,62.5,2.7,8,2014,Preliminary Finals
70,71,Angus Monfries,FWD,10,6,4,2,80,0,0,4,66.7,1.5,8,2014,Preliminary Finals
71,71,Mike Pyke,RUC,10,5,5,1,70,2,0,2,40,1,7,2014,Preliminary Finals
72,71,Ted Richards,KEYD,10,4,6,2,70,2,3,2,50,0.7,7,2014,Preliminary Finals
73,71,Ben Stratton,KEYD,10,5,5,0,70,1,2,3,60,1,7,2014,Preliminary Finals
74,75,Craig Bird,MID,9,4,5,0,77.8,0,0,3,75,0.8,7,2014,Preliminary Finals
75,75,Heath Grundy,KEYD,9,4,5,1,88.9,2,3,3,75,0.8,8,2014,Preliminary Finals
76,75,Brian Lake,KEYD,9,2,7,0,100,1,1,2,100,0.3,9,2014,Preliminary Finals
77,75,Scott D. Thompson,KEYD,9,2,7,1,77.8,1,3,1,50,0.3,7,2014,Preliminary Finals
78,79,Ben Brown,KEYF,8,6,2,1,50,0,0,3,50,3,4,2014,Preliminary Finals
79,79,Sam Reid,KEYF,8,3,5,1,62.5,0,0,1,33.3,0.6,5,2014,Preliminary Finals
80,79,Jonathan Simpkin,FWD,8,3,5,1,87.5,0,0,3,100,0.6,7,2014,Preliminary Finals
81,82,Andrew Moore,MID,7,4,3,1,71.4,1,1,2,50,1.3,5,2014,Preliminary Finals
82,82,Jake Neade,FWD,7,3,4,2,71.4,1,0,2,66.7,0.8,5,2014,Preliminary Finals
83,82,Jackson Trengove,KEYD,7,3,4,0,71.4,1,0,2,66.7,0.8,5,2014,Preliminary Finals
84,82,Kayne Turner,FWD,7,5,2,4,71.4,4,1,3,60,2.5,5,2014,Preliminary Finals
85,86,Ryan Bastinac,MID,6,3,3,0,66.7,0,0,1,33.3,1,4,2014,Preliminary Finals
86,86,Matthew Lobbe,RUC,6,3,3,0,33.3,3,2,0,0,1,2,2014,Preliminary Finals
87,88,Aaron Black,KEYF,2,1,1,0,50,1,0,0,0,1,1,2014,Preliminary Finals
