,Rank,Player,Position,D    ,K,H,i50s,DE%,C,R50s,EK,KE%,KHB,ED,Season,Round
0,1,Lachie Neale,MID,40,19,21,1,75,3,2,11,57.9,0.9,30,2016,Round 22
1,2,Andrew Gaff,MID,38,18,20,6,71.1,5,3,9,50,0.9,27,2016,Round 22
2,2,Adam Treloar,MID,38,18,20,7,78.9,2,4,13,72.2,0.9,30,2016,Round 22
3,4,Zach Merrett,MID,35,22,13,5,77.1,3,4,17,77.3,1.7,27,2016,Round 22
4,4,Josh Smith,DEF,35,19,16,5,82.9,3,5,14,73.7,1.2,29,2016,Round 22
5,6,Sebastian Ross,MID,34,17,17,6,67.6,3,1,9,52.9,1,23,2016,Round 22
6,7,Matt Crouch,MID,33,13,20,3,78.8,4,1,9,69.2,0.7,26,2016,Round 22
7,7,Bryce Gibbs,MID,33,17,16,7,69.7,3,0,10,58.8,1.1,23,2016,Round 22
8,7,Dan Hannebery,MID,33,14,19,5,69.7,5,2,10,71.4,0.7,23,2016,Round 22
9,7,Sam Menegola,MID,33,12,21,8,75.8,1,1,10,83.3,0.6,25,2016,Round 22
10,7,Leigh Montagna,DEF,33,20,13,2,84.8,3,5,17,85,1.5,28,2016,Round 22
11,7,Liam Picken,MID,33,15,18,5,78.8,5,2,12,80,0.8,26,2016,Round 22
12,13,Brent Harvey,FWD,32,16,16,3,68.8,2,0,9,56.3,1,22,2016,Round 22
13,13,Touk Miller,FWD,32,15,17,4,53.1,2,1,7,46.7,0.9,17,2016,Round 22
14,13,Scott Pendlebury,MID,32,15,17,7,90.6,1,0,15,100,0.9,29,2016,Round 22
15,16,Nick Dal Santo,MID,31,17,14,5,77.4,2,2,12,70.6,1.2,24,2016,Round 22
16,16,Stephen Hill,MID,31,18,13,2,51.6,7,6,7,38.9,1.4,16,2016,Round 22
17,16,Jason Johannisen,DEF,31,27,4,8,77.4,1,2,21,77.8,6.8,24,2016,Round 22
18,16,Jamie Macmillan,DEF,31,21,10,7,80.6,2,9,18,85.7,2.1,25,2016,Round 22
19,16,Dustin Martin,MID,31,20,11,7,67.7,6,4,10,50,1.8,21,2016,Round 22
20,16,Luke Parker,MID,31,15,16,4,74.2,2,1,8,53.3,0.9,23,2016,Round 22
21,16,Mathew Stokes,FWD,31,16,15,5,77.4,3,3,12,75,1.1,24,2016,Round 22
22,16,Daniel Wells,MID,31,17,14,7,90.3,1,3,15,88.2,1.2,28,2016,Round 22
23,16,David Zaharakis,MID,31,12,19,1,71,6,2,7,58.3,0.6,22,2016,Round 22
24,25,Matthew Boyd,DEF,30,21,9,2,80,2,3,18,85.7,2.3,24,2016,Round 22
25,25,Patrick Cripps,MID,30,10,20,5,70,5,2,5,50,0.5,21,2016,Round 22
26,25,Ryan Griffen,MID,30,16,14,7,70,1,2,10,62.5,1.1,21,2016,Round 22
27,25,Lachie Hunter,MID,30,15,15,4,66.7,4,2,8,53.3,1,20,2016,Round 22
28,25,James Kelly,DEF,30,13,17,1,93.3,3,3,13,100,0.8,28,2016,Round 22
29,25,Chris Masten,MID,30,16,14,6,73.3,4,4,11,68.8,1.1,22,2016,Round 22
30,25,Tom Mitchell,MID,30,11,19,3,66.7,2,1,6,54.5,0.6,20,2016,Round 22
31,25,Dom Tyson,MID,30,16,14,6,63.3,5,1,8,50,1.1,19,2016,Round 22
32,33,Jeremy Howe,DEF,29,21,8,0,89.7,4,6,18,85.7,2.6,26,2016,Round 22
33,33,Nathan Jones,MID,29,12,17,3,82.8,5,2,9,75,0.7,24,2016,Round 22
34,33,Matthew Priddis,MID,29,10,19,2,79.3,7,1,5,50,0.5,23,2016,Round 22
35,36,Trent Cotchin,MID,28,13,15,3,67.9,5,3,8,61.5,0.9,19,2016,Round 22
36,36,Patrick Dangerfield,MID,28,14,14,6,71.4,5,0,7,50,1,20,2016,Round 22
37,36,Luke Hodge,DEF,28,21,7,2,67.9,6,5,14,66.7,3,19,2016,Round 22
38,36,Nathan Hrovat,FWD,28,10,18,2,67.9,2,4,6,60,0.6,19,2016,Round 22
39,36,Josh P. Kennedy,MID,28,14,14,5,64.3,6,2,5,35.7,1,18,2016,Round 22
40,36,Jack Newnes,MID,28,13,15,3,67.9,2,3,7,53.8,0.9,19,2016,Round 22
41,36,Travis Varcoe,FWD,28,13,15,2,82.1,4,1,10,76.9,0.9,23,2016,Round 22
42,36,Lachie Weller,FWD,28,15,13,3,78.6,1,8,12,80,1.2,22,2016,Round 22
43,36,Ollie Wines,MID,28,16,12,7,71.4,4,4,9,56.3,1.3,20,2016,Round 22
44,45,Marcus Bontempelli,MID,27,12,15,6,70.4,4,1,6,50,0.8,19,2016,Round 22
45,45,Robbie Gray,MID,27,13,14,3,66.7,1,2,8,61.5,0.9,18,2016,Round 22
46,45,Jordan Lewis,MID,27,12,15,0,88.9,4,2,9,75,0.8,24,2016,Round 22
47,45,Tom Rockliff,MID,27,20,7,6,55.6,3,6,11,55,2.9,15,2016,Round 22
48,45,Andrew Swallow,MID,27,9,18,3,66.7,4,2,5,55.6,0.5,18,2016,Round 22
49,45,Jack Viney,MID,27,13,14,4,70.4,5,2,7,53.8,0.9,19,2016,Round 22
50,51,Blake Acres,FWD,26,15,11,5,73.1,3,3,8,53.3,1.4,19,2016,Round 22
51,51,Travis Boak,MID,26,11,15,4,73.1,4,0,6,54.5,0.7,19,2016,Round 22
52,51,Sam Docherty,DEF,26,19,7,1,80.8,2,6,15,78.9,2.7,21,2016,Round 22
53,51,Brodie Grundy,RUC,26,12,14,0,69.2,11,2,7,58.3,0.9,18,2016,Round 22
54,51,Aaron Hall,MID,26,15,11,6,76.9,0,4,11,73.3,1.4,20,2016,Round 22
