,Rank,Player,Position,D    ,K,H,i50s,DE%,C,R50s,EK,KE%,KHB,ED,Season,Round
0,1,Tom Green,MID,37,19,18,4,70.3,5,3,12,63.2,1.1,26,2023,Round 1
1,1,Darcy Parish,MID,37,22,15,10,75.7,4,1,13,59.1,1.5,28,2023,Round 1
2,1,Luke Ryan,DEF,37,30,7,1,91.9,2,10,27,90,4.3,34,2023,Round 1
3,4,Nick Daicos,MID,35,21,14,5,91.4,2,3,20,95.2,1.5,32,2023,Round 1
4,5,Harry Sheezel,DEF,34,22,12,4,73.5,5,8,15,68.2,1.8,25,2023,Round 1
5,6,Jack Macrae,FWD,33,14,19,4,60.6,5,3,7,50,0.7,20,2023,Round 1
6,6,Clayton Oliver,MID,33,15,18,3,69.7,5,1,5,33.3,0.8,23,2023,Round 1
7,8,Stephen Coniglio,MID,32,20,12,9,78.1,2,1,15,75,1.7,25,2023,Round 1
8,8,Luke Davies-Uniacke,MID,32,12,20,7,78.1,1,0,8,66.7,0.6,25,2023,Round 1
9,8,Tom Liberatore,MID,32,13,19,6,71.9,5,1,8,61.5,0.7,23,2023,Round 1
10,8,Tim Taranto,MID,32,18,14,4,56.3,8,3,9,50,1.3,18,2023,Round 1
11,8,Adam Treloar,MID,32,11,21,2,75,1,2,6,54.5,0.5,24,2023,Round 1
12,13,Callan Ward,MID,31,12,19,5,77.4,3,1,8,66.7,0.6,24,2023,Round 1
13,14,Brennan Cox,KEYD,30,22,8,2,90,1,5,20,90.9,2.8,27,2023,Round 1
14,14,Brad Crouch,MID,30,7,23,2,80,6,3,4,57.1,0.3,24,2023,Round 1
15,14,Christian Petracca,MID,30,18,12,6,50,6,1,7,38.9,1.5,15,2023,Round 1
16,14,James Sicily,KEYD,30,22,8,1,73.3,5,10,15,68.2,2.8,22,2023,Round 1
17,14,Chad Warner,MID,30,21,9,8,56.7,6,0,8,38.1,2.3,17,2023,Round 1
18,14,Hayden Young,DEF,30,18,12,2,96.7,1,6,17,94.4,1.5,29,2023,Round 1
19,20,Caleb Daniel,FWD,29,17,12,1,79.3,5,7,13,76.5,1.4,23,2023,Round 1
20,20,Zach Merrett,MID,29,14,15,6,69,3,1,6,42.9,0.9,20,2023,Round 1
21,20,Touk Miller,MID,29,13,16,5,69,5,3,8,61.5,0.8,20,2023,Round 1
22,20,John Noble,DEF,29,23,6,5,82.8,4,6,19,82.6,3.8,24,2023,Round 1
23,20,Caleb Serong,MID,29,11,18,5,65.5,3,1,3,27.3,0.6,19,2023,Round 1
24,20,Ollie Wines,MID,29,12,17,6,65.5,8,1,4,33.3,0.7,19,2023,Round 1
25,20,James Worpel,MID,29,18,11,7,69,2,1,11,61.1,1.6,20,2023,Round 1
26,27,Jordan Clark,DEF,28,18,10,3,85.7,4,3,16,88.9,1.8,24,2023,Round 1
27,27,George Hewett,MID,28,10,18,2,71.4,3,3,6,60,0.6,20,2023,Round 1
28,27,Jake Lloyd,DEF,28,15,13,0,100,2,5,15,100,1.2,28,2023,Round 1
29,27,Matt Rowell,MID,28,17,11,3,57.1,4,2,9,52.9,1.5,16,2023,Round 1
30,27,Jack Steele,MID,28,17,11,7,75,4,1,11,64.7,1.5,21,2023,Round 1
31,32,Darcy Byrne-Jones,FWD,27,12,15,3,88.9,3,2,9,75,0.8,24,2023,Round 1
32,32,Ryan Byrnes,MID,27,19,8,5,59.3,6,3,11,57.9,2.4,16,2023,Round 1
33,32,Josh Daicos,MID,27,16,11,6,77.8,0,5,12,75,1.5,21,2023,Round 1
34,32,Scott Pendlebury,MID,27,13,14,2,77.8,1,0,10,76.9,0.9,21,2023,Round 1
35,32,Ed Richards,DEF,27,21,6,5,59.3,6,7,10,47.6,3.5,16,2023,Round 1
36,32,Daniel Rioli,DEF,27,17,10,5,92.6,2,5,15,88.2,1.7,25,2023,Round 1
37,32,Luke Shuey,MID,27,18,9,7,66.7,4,2,11,61.1,2,18,2023,Round 1
38,32,Bailey Smith,FWD,27,19,8,9,51.9,5,1,8,42.1,2.4,14,2023,Round 1
39,32,Dylan Stephens,MID,27,19,8,3,59.3,3,2,10,52.6,2.4,16,2023,Round 1
40,41,Andrew Brayshaw,MID,26,19,7,5,50,6,4,8,42.1,2.7,13,2023,Round 1
41,41,Charlie Constable,DEF,26,23,3,2,46.2,6,8,11,47.8,7.7,12,2023,Round 1
42,41,Josh Kelly,MID,26,12,14,5,69.2,7,2,6,50,0.9,18,2023,Round 1
43,41,Daniel Rich,DEF,26,23,3,2,84.6,5,18,19,82.6,7.7,22,2023,Round 1
44,41,Jack Sinclair,DEF,26,18,8,2,84.6,2,10,14,77.8,2.3,22,2023,Round 1
45,41,Josh Ward,MID,26,12,14,2,84.6,1,6,8,66.7,0.9,22,2023,Round 1
46,41,Jack Ziebell,DEF,26,22,4,4,96.2,0,6,21,95.5,5.5,25,2023,Round 1
47,48,Marcus Bontempelli,MID,25,13,12,1,60,2,3,5,38.5,1.1,15,2023,Round 1
48,48,Finn Callaghan,MID,25,15,10,1,84,1,4,13,86.7,1.5,21,2023,Round 1
49,48,Patrick Cripps,MID,25,9,16,2,68,3,2,4,44.4,0.6,17,2023,Round 1
50,48,Jordan De Goey,MID,25,12,13,6,76,3,0,9,75,0.9,19,2023,Round 1
51,48,Sam Docherty,MID,25,23,2,2,76,3,6,17,73.9,11.5,19,2023,Round 1
52,48,Jason Horne-Francis,MID,25,17,8,10,76,2,0,14,82.4,2.1,19,2023,Round 1
53,48,Shannon Hurn,DEF,25,19,6,2,88,3,7,17,89.5,3.2,22,2023,Round 1
54,48,Andrew McGrath,DEF,25,12,13,3,84,3,4,8,66.7,0.9,21,2023,Round 1
55,48,Luke Parker,MID,25,9,16,3,76,2,0,4,44.4,0.6,19,2023,Round 1
56,48,Dane Rampe,KEYD,25,13,12,1,84,0,3,11,84.6,1.1,21,2023,Round 1
57,48,Will Setterfield,MID,25,12,13,3,76,1,4,8,66.7,0.9,19,2023,Round 1
58,48,Dom Sheed,MID,25,12,13,2,80,4,1,8,66.7,0.9,20,2023,Round 1
59,48,Jy Simpkin,MID,25,13,12,3,80,6,2,8,61.5,1.1,20,2023,Round 1
60,48,Jarrod Witts,RUC,25,15,10,5,56,4,2,5,33.3,1.5,14,2023,Round 1
61,62,Ryan Burton,DEF,24,21,3,4,75,3,5,16,76.2,7,18,2023,Round 1
62,62,Zak Butters,MID,24,13,11,6,75,0,2,8,61.5,1.2,18,2023,Round 1
63,62,Tim English,RUC,24,12,12,6,66.7,4,1,6,50,1,16,2023,Round 1
64,62,Errol Gulden,MID,24,18,6,10,54.2,2,2,10,55.6,3,13,2023,Round 1
65,62,Tom Powell,FWD,24,8,16,4,70.8,6,0,4,50,0.5,17,2023,Round 1
66,62,Mason Redman,DEF,24,22,2,1,79.2,0,6,18,81.8,11,19,2023,Round 1
67,62,Trent Rivers,DEF,24,15,9,4,87.5,1,4,13,86.7,1.7,21,2023,Round 1
68,62,Callum Wilkie,KEYD,24,14,10,1,79.2,6,5,10,71.4,1.4,19,2023,Round 1
69,70,Miles Bergman,DEF,23,18,5,4,47.8,4,0,9,50,3.6,11,2023,Round 1
70,70,Jordan Dawson,MID,23,19,4,3,87,0,9,16,84.2,4.8,20,2023,Round 1
71,70,Andrew Gaff,MID,23,11,12,3,87,0,2,8,72.7,0.9,20,2023,Round 1
72,70,Dustin Martin,FWD,23,15,8,8,56.5,5,1,7,46.7,1.9,13,2023,Round 1
73,70,Justin McInerney,MID,23,15,8,4,65.2,4,0,8,53.3,1.9,15,2023,Round 1
74,70,Dion Prestia,MID,23,10,13,2,73.9,3,1,7,70,0.8,17,2023,Round 1
75,70,Connor Rozee,MID,23,12,11,6,73.9,2,0,7,58.3,1.1,17,2023,Round 1
76,70,Dylan Shiel,MID,23,12,11,7,82.6,2,3,9,75,1.1,19,2023,Round 1
77,78,Angus Brayshaw,MID,22,14,8,2,95.5,3,4,13,92.9,1.8,21,2023,Round 1
78,78,Heath Chapman,DEF,22,12,10,1,90.9,3,2,11,91.7,1.2,20,2023,Round 1
79,78,Jack Crisp,MID,22,11,11,4,54.5,3,1,5,45.5,1,12,2023,Round 1
80,78,Patrick Dangerfield,MID,22,9,13,2,54.5,10,0,4,44.4,0.7,12,2023,Round 1
81,78,Will Day,MID,22,12,10,7,72.7,3,3,6,50,1.2,16,2023,Round 1
82,78,Xavier Duursma,MID,22,9,13,1,81.8,3,2,7,77.8,0.7,18,2023,Round 1
83,78,Tim Kelly,MID,22,13,9,4,59.1,7,1,7,53.8,1.4,13,2023,Round 1
84,78,Matthew Kennedy,MID,22,13,9,5,72.7,1,3,9,69.2,1.4,16,2023,Round 1
85,78,Kyle Langford,KEYF,22,17,5,3,72.7,5,3,12,70.6,3.4,16,2023,Round 1
86,78,Jayden Laverde,KEYD,22,11,11,0,86.4,3,8,8,72.7,1,19,2023,Round 1
87,78,Darcy Macpherson,DEF,22,14,8,1,72.7,2,2,9,64.3,1.8,16,2023,Round 1
88,78,Luke McDonald,DEF,22,15,7,1,72.7,5,5,12,80,2.1,16,2023,Round 1
89,78,Jeremy McGovern,KEYD,22,15,7,1,86.4,3,5,13,86.7,2.1,19,2023,Round 1
90,91,Lachie Ash,DEF,21,11,10,1,76.2,6,2,8,72.7,1.1,16,2023,Round 1
91,91,Tom Atkins,MID,21,9,12,2,85.7,2,2,8,88.9,0.8,18,2023,Round 1
92,91,Adam Cerra,MID,21,14,7,3,76.2,3,1,12,85.7,2,16,2023,Round 1
93,91,Isaac Cumming,DEF,21,12,9,1,71.4,2,7,9,75,1.3,15,2023,Round 1
94,91,Kane Farrell,DEF,21,15,6,3,81,0,3,11,73.3,2.5,17,2023,Round 1
95,91,Max Gawn,RUC,21,14,7,5,66.7,5,3,8,57.1,2,14,2023,Round 1
96,91,Liam Henry,MID,21,9,12,3,76.2,3,0,7,77.8,0.8,16,2023,Round 1
