,Rank,Player,Position,D    ,K,H,i50s,DE%,C,R50s,EK,KE%,KHB,ED,Season,Round
0,1,Sam Walsh,MID,34,17,17,6,70.6,5,3,10,58.8,1,24,2023,Semi Finals
1,2,Lachie Whitfield,DEF,33,19,14,2,87.9,1,4,16,84.2,1.4,29,2023,Semi Finals
2,3,Jack Viney,MID,31,15,16,4,64.5,7,1,9,60,0.9,20,2023,Semi Finals
3,4,Stephen Coniglio,MID,30,20,10,5,60,2,0,9,45,2,18,2023,Semi Finals
4,4,Nic Newman,DEF,30,19,11,3,66.7,7,6,12,63.2,1.7,20,2023,Semi Finals
5,6,Tom Green,MID,29,16,13,6,58.6,4,1,7,43.8,1.2,17,2023,Semi Finals
6,7,Patrick Cripps,MID,27,13,14,4,70.4,6,0,6,46.2,0.9,19,2023,Semi Finals
7,7,Clayton Oliver,MID,27,14,13,4,63,7,3,7,50,1.1,17,2023,Semi Finals
8,9,Zak Butters,MID,25,12,13,4,60,5,0,7,58.3,0.9,15,2023,Semi Finals
9,9,Lachie Hunter,MID,25,12,13,2,64,1,2,7,58.3,0.9,16,2023,Semi Finals
10,11,Harry Himmelberg,KEYD,24,18,6,2,79.2,7,10,16,88.9,3,19,2023,Semi Finals
11,11,Christian Petracca,MID,24,17,7,8,58.3,7,0,7,41.2,2.4,14,2023,Semi Finals
12,11,Adam Saad,DEF,24,15,9,2,75,4,6,9,60,1.7,18,2023,Semi Finals
13,11,Callan Ward,MID,24,14,10,5,70.8,1,4,9,64.3,1.4,17,2023,Semi Finals
14,15,Dan Houston,DEF,22,16,6,4,77.3,1,6,11,68.8,2.7,17,2023,Semi Finals
15,15,Christian Salem,DEF,22,12,10,1,68.2,4,4,7,58.3,1.2,15,2023,Semi Finals
16,17,Travis Boak,MID,21,15,6,7,66.7,3,3,10,66.7,2.5,14,2023,Semi Finals
17,17,Josh Kelly,MID,21,13,8,4,81,1,2,9,69.2,1.6,17,2023,Semi Finals
18,17,Steven May,KEYD,21,16,5,1,76.2,3,8,13,81.3,3.2,16,2023,Semi Finals
19,17,Tom Sparrow,MID,21,15,6,7,42.9,6,1,4,26.7,2.5,9,2023,Semi Finals
20,21,Lachie Ash,DEF,20,7,13,0,70,4,5,5,71.4,0.5,14,2023,Semi Finals
21,21,Adam Cerra,MID,20,12,8,9,80,3,1,9,75,1.5,16,2023,Semi Finals
22,21,Jason Horne-Francis,MID,20,12,8,6,70,3,0,7,58.3,1.5,14,2023,Semi Finals
23,21,Ed Langdon,MID,20,11,9,2,80,7,0,8,72.7,1.2,16,2023,Semi Finals
24,21,Mitch McGovern,DEF,20,18,2,2,75,3,7,13,72.2,9,15,2023,Semi Finals
25,26,Sam Docherty,MID,19,13,6,3,78.9,1,3,9,69.2,2.2,15,2023,Semi Finals
26,26,Jacob Weitering,KEYD,19,15,4,0,73.7,2,6,12,80,3.8,14,2023,Semi Finals
27,28,Jack Buckley,KEYD,18,11,7,2,83.3,3,4,10,90.9,1.6,15,2023,Semi Finals
28,28,Willem Drew,MID,18,7,11,1,66.7,3,3,6,85.7,0.6,12,2023,Semi Finals
29,28,Kane Farrell,DEF,18,15,3,5,66.7,0,5,11,73.3,5,12,2023,Semi Finals
30,28,George Hewett,MID,18,8,10,3,77.8,3,1,5,62.5,0.8,14,2023,Semi Finals
31,28,Alex Neal-Bullen,FWD,18,9,9,5,66.7,4,0,4,44.4,1,12,2023,Semi Finals
32,33,Blake Acres,MID,17,8,9,1,64.7,2,0,5,62.5,0.9,11,2023,Semi Finals
33,33,Brent Daniels,FWD,17,11,6,3,64.7,1,0,5,45.5,1.8,11,2023,Semi Finals
34,33,Max Gawn,RUC,17,6,11,1,64.7,3,0,2,33.3,0.5,11,2023,Semi Finals
35,33,Jesse Hogan,KEYF,17,14,3,0,58.8,1,0,9,64.3,4.7,10,2023,Semi Finals
36,33,Trent Rivers,DEF,17,11,6,1,58.8,3,7,6,54.5,1.8,10,2023,Semi Finals
37,33,Connor Rozee,MID,17,10,7,3,64.7,4,2,6,60,1.4,11,2023,Semi Finals
38,39,Toby Bedford,FWD,16,6,10,4,62.5,3,0,3,50,0.6,10,2023,Semi Finals
39,39,Ryan Burton,DEF,16,13,3,2,87.5,1,6,12,92.3,4.3,14,2023,Semi Finals
40,39,Ollie Wines,MID,16,5,11,3,81.3,0,0,4,80,0.5,13,2023,Semi Finals
41,42,Miles Bergman,DEF,15,11,4,4,53.3,5,2,5,45.5,2.8,8,2023,Semi Finals
42,42,Kieren Briggs,RUC,15,11,4,2,46.7,5,2,3,27.3,2.8,7,2023,Semi Finals
43,42,Finn Callaghan,MID,15,1,14,1,73.3,4,1,1,100,0.1,11,2023,Semi Finals
44,42,Tom De Koning,RUC,15,8,7,4,73.3,4,1,6,75,1.1,11,2023,Semi Finals
45,42,Toby Greene,FWD,15,11,4,7,73.3,2,0,7,63.6,2.8,11,2023,Semi Finals
46,42,Connor Idun,DEF,15,11,4,0,93.3,1,4,10,90.9,2.8,14,2023,Semi Finals
47,42,Harry Perryman,DEF,15,9,6,0,80,3,5,8,88.9,1.5,12,2023,Semi Finals
48,42,Kysaiah Pickett,FWD,15,8,7,2,73.3,4,1,4,50,1.1,11,2023,Semi Finals
49,50,Lachie Fogarty,FWD,14,6,8,0,64.3,4,1,3,50,0.8,9,2023,Semi Finals
50,50,Brodie Kemp,KEYD,14,11,3,2,78.6,4,4,8,72.7,3.7,11,2023,Semi Finals
51,50,Jake Lever,KEYD,14,9,5,1,71.4,4,2,6,66.7,1.8,10,2023,Semi Finals
