,Rank,Player,Position,D    ,K,H,i50s,DE%,C,R50s,EK,KE%,KHB,ED,Season,Round
0,1,Nat Fyfe,MID,28,13,15,2,60.7,6,1,3,23.1,0.9,17,2013,Grand Final
1,1,David Mundy,MID,28,19,9,4,75,2,3,12,63.2,2.1,21,2013,Grand Final
2,3,Grant Birchall,DEF,26,16,10,0,76.9,1,5,11,68.8,1.6,20,2013,Grand Final
3,3,Jordan Lewis,MID,26,14,12,4,73.1,4,2,11,78.6,1.2,19,2013,Grand Final
4,5,Michael Barlow,MID,23,14,9,4,47.8,7,4,6,42.9,1.6,11,2013,Grand Final
5,6,Brian Lake,KEYD,22,16,6,1,63.6,4,5,9,56.3,2.7,14,2013,Grand Final
6,7,Stephen Hill,MID,21,10,11,1,76.2,4,1,6,60,0.9,16,2013,Grand Final
7,7,Luke Hodge,DEF,21,17,4,4,57.1,2,3,9,52.9,4.3,12,2013,Grand Final
8,9,Michael Johnson,KEYD,20,13,7,4,80,1,1,10,76.9,1.9,16,2013,Grand Final
9,9,Jarryd Roughead,KEYF,20,14,6,3,70,2,0,8,57.1,2.3,14,2013,Grand Final
10,11,Josh Gibson,KEYD,19,16,3,2,73.7,4,5,11,68.8,5.3,14,2013,Grand Final
11,11,Tendai Mzungu,MID,19,14,5,2,73.7,2,4,10,71.4,2.8,14,2013,Grand Final
12,13,Lance Franklin,KEYF,18,9,9,5,61.1,2,0,5,55.6,1,11,2013,Grand Final
13,13,Isaac Smith,MID,18,13,5,1,61.1,3,3,7,53.8,2.6,11,2013,Grand Final
14,15,Paul Duffield,DEF,17,12,5,4,76.5,0,4,9,75,2.4,13,2013,Grand Final
15,15,Danyle Pearce,MID,17,11,6,5,58.8,4,2,6,54.5,1.8,10,2013,Grand Final
16,17,Jack Gunston,FWD,16,13,3,4,62.5,1,0,9,69.2,4.3,10,2013,Grand Final
17,17,Luke McPharlin,KEYD,16,9,7,1,62.5,3,5,6,66.7,1.3,10,2013,Grand Final
18,17,Matt de Boer,FWD,16,3,13,0,81.3,2,0,1,33.3,0.2,13,2013,Grand Final
19,20,Ryan Crowley,MID,15,6,9,0,46.7,3,1,2,33.3,0.7,7,2013,Grand Final
20,20,Bradley Hill,MID,15,10,5,3,60,1,0,6,60,2,9,2013,Grand Final
21,20,Cyril Rioli,FWD,15,8,7,1,46.7,1,0,4,50,1.1,7,2013,Grand Final
22,23,Hayden Ballantyne,FWD,14,8,6,2,42.9,3,0,2,25,1.3,6,2013,Grand Final
23,23,Shaun Burgoyne,MID,14,7,7,0,78.6,0,0,4,57.1,1,11,2013,Grand Final
24,23,Ben Stratton,KEYD,14,8,6,2,64.3,1,0,5,62.5,1.3,9,2013,Grand Final
25,26,Luke Breust,FWD,13,8,5,3,84.6,0,1,6,75,1.6,11,2013,Grand Final
26,26,Chris Mayne,FWD,13,4,9,1,84.6,1,0,4,100,0.4,11,2013,Grand Final
27,26,Matthew Pavlich,KEYF,13,12,1,5,53.8,1,0,6,50,12,7,2013,Grand Final
28,26,Aaron Sandilands,RUC,13,2,11,1,84.6,0,1,2,100,0.2,11,2013,Grand Final
29,26,Brad Sewell,MID,13,8,5,2,69.2,1,1,6,75,1.6,9,2013,Grand Final
30,31,David Hale,RUC,12,6,6,2,58.3,2,0,4,66.7,1,7,2013,Grand Final
31,31,Sam Mitchell,MID,12,8,4,1,66.7,1,0,4,50,2,8,2013,Grand Final
32,31,Nicholas Suban,MID,12,5,7,2,75,0,1,3,60,0.7,9,2013,Grand Final
33,34,Liam Shiels,MID,11,8,3,2,90.9,2,1,7,87.5,2.7,10,2013,Grand Final
34,34,Michael Walters,FWD,11,6,5,2,81.8,0,0,5,83.3,1.2,9,2013,Grand Final
35,36,Paul Puopolo,FWD,10,7,3,3,70,2,1,4,57.1,2.3,7,2013,Grand Final
36,36,Lee Spurr,DEF,10,8,2,1,100,1,0,8,100,4,10,2013,Grand Final
37,38,Brent Guerra,DEF,9,9,0,1,55.6,3,1,5,55.6,0,5,2013,Grand Final
38,39,Cam Sutcliffe,DEF,8,6,2,1,37.5,0,2,2,33.3,3,3,2013,Grand Final
39,40,Max Bailey,RUC,7,2,5,0,71.4,1,0,1,50,0.4,5,2013,Grand Final
40,40,Zac Dawson,KEYD,7,0,7,0,100,4,1,0,0,0,7,2013,Grand Final
41,40,Lachie Neale,MID,7,5,2,1,100,0,1,5,100,2.5,7,2013,Grand Final
42,43,Jonathan Simpkin,MID,6,4,2,1,66.7,2,0,2,50,2,4,2013,Grand Final
43,44,Zac Clarke,RUC,5,1,4,1,60,2,0,0,0,0.3,3,2013,Grand Final
